indic_bt,nace_r2,s_adj,unit,geo\time,date,value
IMPR,C,NSA,I2015_NSA,CH,2017-10-01,101.6 
IMPR,C,NSA,I2015_NSA,CH,2017-11-01,102.4 
IMPR,C,NSA,I2015_NSA,CH,2017-12-01,102.7 
IMPR,C,NSA,I2015_NSA,CH,2018-01-01,103.1 
IMPR,C,NSA,I2015_NSA,CH,2018-02-01,103.4 
IMPR,C,NSA,I2015_NSA,CH,2018-03-01,102.6 
IMPR,C,NSA,I2015_NSA,CH,2018-04-01,103.5 
IMPR,C,NSA,I2015_NSA,CH,2018-05-01,104.4 
IMPR,C,NSA,I2015_NSA,CH,2018-06-01,104.8 
IMPR,C,NSA,I2015_NSA,CH,2018-07-01,104.7 
IMPR,C,NSA,I2015_NSA,CH,2018-08-01,104.8 
IMPR,C,NSA,I2015_NSA,CH,2018-09-01,104.6 
IMPR,C,NSA,I2015_NSA,DE,2017-10-01,99.8 
IMPR,C,NSA,I2015_NSA,DE,2017-11-01,100.1 
IMPR,C,NSA,I2015_NSA,DE,2017-12-01,100.1 
IMPR,C,NSA,I2015_NSA,DE,2018-01-01,100.3 
IMPR,C,NSA,I2015_NSA,DE,2018-02-01,100.2 
IMPR,C,NSA,I2015_NSA,DE,2018-03-01,100.2 
IMPR,C,NSA,I2015_NSA,DE,2018-04-01,100.5 
IMPR,C,NSA,I2015_NSA,DE,2018-05-01,101.4 
IMPR,C,NSA,I2015_NSA,DE,2018-06-01,101.8 
IMPR,C,NSA,I2015_NSA,DE,2018-07-01,101.7 
IMPR,C,NSA,I2015_NSA,DE,2018-08-01,101.8 
IMPR,C,NSA,I2015_NSA,DE,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,DK,2017-10-01,99.6 
IMPR,C,NSA,I2015_NSA,DK,2017-11-01,99.8 
IMPR,C,NSA,I2015_NSA,DK,2017-12-01,99.6 
IMPR,C,NSA,I2015_NSA,DK,2018-01-01,100.1 
IMPR,C,NSA,I2015_NSA,DK,2018-02-01,99.7 
IMPR,C,NSA,I2015_NSA,DK,2018-03-01,99.7 
IMPR,C,NSA,I2015_NSA,DK,2018-04-01,100.3 
IMPR,C,NSA,I2015_NSA,DK,2018-05-01,100.6 
IMPR,C,NSA,I2015_NSA,DK,2018-06-01,101.2 
IMPR,C,NSA,I2015_NSA,DK,2018-07-01,101.5 
IMPR,C,NSA,I2015_NSA,DK,2018-08-01,101.6 
IMPR,C,NSA,I2015_NSA,DK,2018-09-01,101.5 
IMPR,C,NSA,I2015_NSA,EA19,2017-10-01,100.0 
IMPR,C,NSA,I2015_NSA,EA19,2017-11-01,100.4 
IMPR,C,NSA,I2015_NSA,EA19,2017-12-01,100.4 
IMPR,C,NSA,I2015_NSA,EA19,2018-01-01,100.5 
IMPR,C,NSA,I2015_NSA,EA19,2018-02-01,100.2 
IMPR,C,NSA,I2015_NSA,EA19,2018-03-01,100.2 
IMPR,C,NSA,I2015_NSA,EA19,2018-04-01,100.6 
IMPR,C,NSA,I2015_NSA,EA19,2018-05-01,101.5 
IMPR,C,NSA,I2015_NSA,EA19,2018-06-01,101.8 
IMPR,C,NSA,I2015_NSA,EA19,2018-07-01,101.8 
IMPR,C,NSA,I2015_NSA,EA19,2018-08-01,: 
IMPR,C,NSA,I2015_NSA,EA19,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,EE,2017-10-01,102.7 
IMPR,C,NSA,I2015_NSA,EE,2017-11-01,103.3 
IMPR,C,NSA,I2015_NSA,EE,2017-12-01,103.2 
IMPR,C,NSA,I2015_NSA,EE,2018-01-01,103.4 
IMPR,C,NSA,I2015_NSA,EE,2018-02-01,103.4 
IMPR,C,NSA,I2015_NSA,EE,2018-03-01,103.6 
IMPR,C,NSA,I2015_NSA,EE,2018-04-01,104.2 
IMPR,C,NSA,I2015_NSA,EE,2018-05-01,105.0 
IMPR,C,NSA,I2015_NSA,EE,2018-06-01,105.7 
IMPR,C,NSA,I2015_NSA,EE,2018-07-01,105.5 
IMPR,C,NSA,I2015_NSA,EE,2018-08-01,105.7 
IMPR,C,NSA,I2015_NSA,EE,2018-09-01,106.1 
IMPR,C,NSA,I2015_NSA,EL,2017-10-01,100.6 
IMPR,C,NSA,I2015_NSA,EL,2017-11-01,100.9 
IMPR,C,NSA,I2015_NSA,EL,2017-12-01,101.1 
IMPR,C,NSA,I2015_NSA,EL,2018-01-01,101.3 
IMPR,C,NSA,I2015_NSA,EL,2018-02-01,100.6 
IMPR,C,NSA,I2015_NSA,EL,2018-03-01,100.8 
IMPR,C,NSA,I2015_NSA,EL,2018-04-01,101.3 
IMPR,C,NSA,I2015_NSA,EL,2018-05-01,102.3 
IMPR,C,NSA,I2015_NSA,EL,2018-06-01,102.3 
IMPR,C,NSA,I2015_NSA,EL,2018-07-01,102.4 
IMPR,C,NSA,I2015_NSA,EL,2018-08-01,102.4 
IMPR,C,NSA,I2015_NSA,EL,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,ES,2017-10-01,100.5 
IMPR,C,NSA,I2015_NSA,ES,2017-11-01,101.1 
IMPR,C,NSA,I2015_NSA,ES,2017-12-01,101.0 
IMPR,C,NSA,I2015_NSA,ES,2018-01-01,100.9 
IMPR,C,NSA,I2015_NSA,ES,2018-02-01,100.8 
IMPR,C,NSA,I2015_NSA,ES,2018-03-01,101.0 
IMPR,C,NSA,I2015_NSA,ES,2018-04-01,101.2 
IMPR,C,NSA,I2015_NSA,ES,2018-05-01,102.2 
IMPR,C,NSA,I2015_NSA,ES,2018-06-01,102.5 p
IMPR,C,NSA,I2015_NSA,ES,2018-07-01,102.7 p
IMPR,C,NSA,I2015_NSA,ES,2018-08-01,102.9 p
IMPR,C,NSA,I2015_NSA,ES,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,FI,2017-10-01,100.6 
IMPR,C,NSA,I2015_NSA,FI,2017-11-01,101.0 
IMPR,C,NSA,I2015_NSA,FI,2017-12-01,101.1 
IMPR,C,NSA,I2015_NSA,FI,2018-01-01,101.3 
IMPR,C,NSA,I2015_NSA,FI,2018-02-01,101.0 
IMPR,C,NSA,I2015_NSA,FI,2018-03-01,101.2 
IMPR,C,NSA,I2015_NSA,FI,2018-04-01,101.7 
IMPR,C,NSA,I2015_NSA,FI,2018-05-01,103.1 
IMPR,C,NSA,I2015_NSA,FI,2018-06-01,103.2 
IMPR,C,NSA,I2015_NSA,FI,2018-07-01,103.2 
IMPR,C,NSA,I2015_NSA,FI,2018-08-01,103.5 
IMPR,C,NSA,I2015_NSA,FI,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,FR,2017-10-01,99.6 
IMPR,C,NSA,I2015_NSA,FR,2017-11-01,99.9 
IMPR,C,NSA,I2015_NSA,FR,2017-12-01,99.9 
IMPR,C,NSA,I2015_NSA,FR,2018-01-01,99.9 
IMPR,C,NSA,I2015_NSA,FR,2018-02-01,99.5 
IMPR,C,NSA,I2015_NSA,FR,2018-03-01,99.7 
IMPR,C,NSA,I2015_NSA,FR,2018-04-01,100.2 
IMPR,C,NSA,I2015_NSA,FR,2018-05-01,101.0 
IMPR,C,NSA,I2015_NSA,FR,2018-06-01,101.3 p
IMPR,C,NSA,I2015_NSA,FR,2018-07-01,101.4 p
IMPR,C,NSA,I2015_NSA,FR,2018-08-01,101.4 p
IMPR,C,NSA,I2015_NSA,FR,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,IT,2017-10-01,100.1 
IMPR,C,NSA,I2015_NSA,IT,2017-11-01,100.4 
IMPR,C,NSA,I2015_NSA,IT,2017-12-01,100.4 
IMPR,C,NSA,I2015_NSA,IT,2018-01-01,100.4 
IMPR,C,NSA,I2015_NSA,IT,2018-02-01,100.2 
IMPR,C,NSA,I2015_NSA,IT,2018-03-01,100.3 
IMPR,C,NSA,I2015_NSA,IT,2018-04-01,100.4 
IMPR,C,NSA,I2015_NSA,IT,2018-05-01,100.4 
IMPR,C,NSA,I2015_NSA,IT,2018-06-01,100.9 
IMPR,C,NSA,I2015_NSA,IT,2018-07-01,101.3 
IMPR,C,NSA,I2015_NSA,IT,2018-08-01,101.4 p
IMPR,C,NSA,I2015_NSA,IT,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,LT,2017-10-01,99.5 
IMPR,C,NSA,I2015_NSA,LT,2017-11-01,99.6 
IMPR,C,NSA,I2015_NSA,LT,2017-12-01,99.8 
IMPR,C,NSA,I2015_NSA,LT,2018-01-01,99.8 
IMPR,C,NSA,I2015_NSA,LT,2018-02-01,99.6 
IMPR,C,NSA,I2015_NSA,LT,2018-03-01,99.4 
IMPR,C,NSA,I2015_NSA,LT,2018-04-01,99.7 
IMPR,C,NSA,I2015_NSA,LT,2018-05-01,99.8 
IMPR,C,NSA,I2015_NSA,LT,2018-06-01,100.0 
IMPR,C,NSA,I2015_NSA,LT,2018-07-01,100.2 
IMPR,C,NSA,I2015_NSA,LT,2018-08-01,: 
IMPR,C,NSA,I2015_NSA,LT,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,LV,2017-10-01,97.2 
IMPR,C,NSA,I2015_NSA,LV,2017-11-01,97.9 
IMPR,C,NSA,I2015_NSA,LV,2017-12-01,98.1 
IMPR,C,NSA,I2015_NSA,LV,2018-01-01,97.9 
IMPR,C,NSA,I2015_NSA,LV,2018-02-01,98.1 
IMPR,C,NSA,I2015_NSA,LV,2018-03-01,97.7 
IMPR,C,NSA,I2015_NSA,LV,2018-04-01,98.2 
IMPR,C,NSA,I2015_NSA,LV,2018-05-01,98.4 
IMPR,C,NSA,I2015_NSA,LV,2018-06-01,99.0 
IMPR,C,NSA,I2015_NSA,LV,2018-07-01,98.8 
IMPR,C,NSA,I2015_NSA,LV,2018-08-01,99.0 
IMPR,C,NSA,I2015_NSA,LV,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,NL,2017-10-01,99.6 
IMPR,C,NSA,I2015_NSA,NL,2017-11-01,100.2 
IMPR,C,NSA,I2015_NSA,NL,2017-12-01,100.3 
IMPR,C,NSA,I2015_NSA,NL,2018-01-01,100.1 
IMPR,C,NSA,I2015_NSA,NL,2018-02-01,99.4 
IMPR,C,NSA,I2015_NSA,NL,2018-03-01,99.4 
IMPR,C,NSA,I2015_NSA,NL,2018-04-01,99.6 p
IMPR,C,NSA,I2015_NSA,NL,2018-05-01,101.3 p
IMPR,C,NSA,I2015_NSA,NL,2018-06-01,101.9 p
IMPR,C,NSA,I2015_NSA,NL,2018-07-01,101.6 p
IMPR,C,NSA,I2015_NSA,NL,2018-08-01,102.1 p
IMPR,C,NSA,I2015_NSA,NL,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,NO,2017-10-01,: c
IMPR,C,NSA,I2015_NSA,NO,2017-11-01,: c
IMPR,C,NSA,I2015_NSA,NO,2017-12-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-01-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-02-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-03-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-04-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-05-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-06-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-07-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-08-01,: c
IMPR,C,NSA,I2015_NSA,NO,2018-09-01,: c
IMPR,C,NSA,I2015_NSA,SE,2017-10-01,101.4 
IMPR,C,NSA,I2015_NSA,SE,2017-11-01,102.5 
IMPR,C,NSA,I2015_NSA,SE,2017-12-01,104.6 
IMPR,C,NSA,I2015_NSA,SE,2018-01-01,105.1 
IMPR,C,NSA,I2015_NSA,SE,2018-02-01,103.9 
IMPR,C,NSA,I2015_NSA,SE,2018-03-01,105.4 
IMPR,C,NSA,I2015_NSA,SE,2018-04-01,106.9 
IMPR,C,NSA,I2015_NSA,SE,2018-05-01,109.6 
IMPR,C,NSA,I2015_NSA,SE,2018-06-01,110.1 
IMPR,C,NSA,I2015_NSA,SE,2018-07-01,110.8 
IMPR,C,NSA,I2015_NSA,SE,2018-08-01,110.6 
IMPR,C,NSA,I2015_NSA,SE,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,SI,2017-10-01,102.0 
IMPR,C,NSA,I2015_NSA,SI,2017-11-01,102.7 
IMPR,C,NSA,I2015_NSA,SI,2017-12-01,102.9 
IMPR,C,NSA,I2015_NSA,SI,2018-01-01,102.7 
IMPR,C,NSA,I2015_NSA,SI,2018-02-01,102.6 
IMPR,C,NSA,I2015_NSA,SI,2018-03-01,102.7 
IMPR,C,NSA,I2015_NSA,SI,2018-04-01,103.3 
IMPR,C,NSA,I2015_NSA,SI,2018-05-01,103.9 
IMPR,C,NSA,I2015_NSA,SI,2018-06-01,104.5 
IMPR,C,NSA,I2015_NSA,SI,2018-07-01,104.3 
IMPR,C,NSA,I2015_NSA,SI,2018-08-01,105.0 
IMPR,C,NSA,I2015_NSA,SI,2018-09-01,: 
IMPR,C,NSA,I2015_NSA,SK,2017-10-01,97.3 
IMPR,C,NSA,I2015_NSA,SK,2017-11-01,97.6 
IMPR,C,NSA,I2015_NSA,SK,2017-12-01,97.7 
IMPR,C,NSA,I2015_NSA,SK,2018-01-01,100.1 
IMPR,C,NSA,I2015_NSA,SK,2018-02-01,100.0 
IMPR,C,NSA,I2015_NSA,SK,2018-03-01,99.7 
IMPR,C,NSA,I2015_NSA,SK,2018-04-01,99.4 
IMPR,C,NSA,I2015_NSA,SK,2018-05-01,100.1 
IMPR,C,NSA,I2015_NSA,SK,2018-06-01,100.4 
IMPR,C,NSA,I2015_NSA,SK,2018-07-01,100.6 
IMPR,C,NSA,I2015_NSA,SK,2018-08-01,: 
IMPR,C,NSA,I2015_NSA,SK,2018-09-01,: 
IMPR,C,NSA,PCH_M12_NSA,CH,2017-10-01,3.5 
IMPR,C,NSA,PCH_M12_NSA,CH,2017-11-01,4.3 
IMPR,C,NSA,PCH_M12_NSA,CH,2017-12-01,4.3 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-01-01,4.1 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-02-01,4.3 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-03-01,3.5 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-04-01,4.9 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-05-01,5.8 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-06-01,6.0 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-07-01,6.0 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-08-01,5.0 
IMPR,C,NSA,PCH_M12_NSA,CH,2018-09-01,4.0 
IMPR,C,NSA,PCH_M12_NSA,DE,2017-10-01,1.7 
IMPR,C,NSA,PCH_M12_NSA,DE,2017-11-01,1.5 
IMPR,C,NSA,PCH_M12_NSA,DE,2017-12-01,0.7 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-01-01,0.3 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-02-01,-0.3 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-03-01,-0.4 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-04-01,-0.2 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-05-01,1.3 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-06-01,2.2 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-07-01,2.4 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-08-01,2.7 
IMPR,C,NSA,PCH_M12_NSA,DE,2018-09-01,: 
IMPR,C,NSA,PCH_M12_NSA,DK,2017-10-01,1.3 
IMPR,C,NSA,PCH_M12_NSA,DK,2017-11-01,1.3 
IMPR,C,NSA,PCH_M12_NSA,DK,2017-12-01,0.3 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-01-01,0.1 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-02-01,-0.5 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-03-01,-0.2 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-04-01,0.3 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-05-01,0.9 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-06-01,2.3 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-07-01,2.5 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-08-01,2.7 
IMPR,C,NSA,PCH_M12_NSA,DK,2018-09-01,2.2 
