indic_bt,nace_r2,s_adj,unit,geotime,date,value
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2017-10-01,96.5 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2017-11-01,98.3 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2017-12-01,98.4 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-01-01,98.5 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-02-01,98.0 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-03-01,97.6 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-04-01,98.4 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-05-01,100.0 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-06-01,100.9 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-07-01,101.5 
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-08-01,102.1 p
PRIN,MIG_NRG,NSA,I2015_NSA,AT,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2017-10-01,112.2 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2017-11-01,116.4 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2017-12-01,115.9 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-01-01,117.0 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-02-01,115.3 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-03-01,114.7 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-04-01,114.4 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-05-01,117.6 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-06-01,119.9 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-07-01,123.5 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-08-01,125.8 
PRIN,MIG_NRG,NSA,I2015_NSA,BE,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2017-10-01,103.0 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2017-11-01,103.9 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2017-12-01,103.9 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-01-01,106.4 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-02-01,105.5 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-03-01,105.6 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-04-01,106.2 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-05-01,107.1 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-06-01,107.4 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-07-01,108.4 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-08-01,108.5 
PRIN,MIG_NRG,NSA,I2015_NSA,BG,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2017-10-01,97.3 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2017-11-01,99.1 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2017-12-01,98.5 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-01-01,101.3 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-02-01,100.8 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-03-01,99.6 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-04-01,101.4 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-05-01,103.1 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-06-01,103.8 
PRIN,MIG_NRG,NSA,I2015_NSA,CH,2018-07-01,104.3 
