indic_bt,nace_r2,unit,geotime,date,value
TOVT,G473,I2015_SCA,AT,2017-10-01,108
TOVT,G473,I2015_SCA,AT,2017-11-01,112
TOVT,G473,I2015_SCA,AT,2017-12-01,110
TOVT,G473,I2015_SCA,AT,2018-01-01,110
TOVT,G473,I2015_SCA,AT,2018-02-01,110
TOVT,G473,I2015_SCA,AT,2018-03-01,113
TOVT,G473,I2015_SCA,AT,2018-04-01,114
TOVT,G473,I2015_SCA,AT,2018-05-01,116
TOVT,G473,I2015_SCA,AT,2018-06-01,117
TOVT,G473,I2015_SCA,AT,2018-07-01,119
TOVT,G473,I2015_SCA,AT,2018-08-01,120
TOVT,G473,I2015_SCA,AT,2018-09-01,
TOVT,G473,I2015_SCA,BE,2017-10-01,97
TOVT,G473,I2015_SCA,BE,2017-11-01,99
TOVT,G473,I2015_SCA,BE,2017-12-01,97
TOVT,G473,I2015_SCA,BE,2018-01-01,101
TOVT,G473,I2015_SCA,BE,2018-02-01,101
TOVT,G473,I2015_SCA,BE,2018-03-01,103
TOVT,G473,I2015_SCA,BE,2018-04-01,102
TOVT,G473,I2015_SCA,BE,2018-05-01,104
TOVT,G473,I2015_SCA,BE,2018-06-01,106
TOVT,G473,I2015_SCA,BE,2018-07-01,107
TOVT,G473,I2015_SCA,BE,2018-08-01,109
TOVT,G473,I2015_SCA,BE,2018-09-01,
TOVT,G473,I2015_SCA,BG,2017-10-01,93
TOVT,G473,I2015_SCA,BG,2017-11-01,94
TOVT,G473,I2015_SCA,BG,2017-12-01,94
TOVT,G473,I2015_SCA,BG,2018-01-01,97
TOVT,G473,I2015_SCA,BG,2018-02-01,91
TOVT,G473,I2015_SCA,BG,2018-03-01,91
TOVT,G473,I2015_SCA,BG,2018-04-01,96
TOVT,G473,I2015_SCA,BG,2018-05-01,100
TOVT,G473,I2015_SCA,BG,2018-06-01,100
TOVT,G473,I2015_SCA,BG,2018-07-01,100
TOVT,G473,I2015_SCA,BG,2018-08-01,102
TOVT,G473,I2015_SCA,BG,2018-09-01,
TOVT,G473,I2015_SCA,CH,2017-10-01,99
TOVT,G473,I2015_SCA,CH,2017-11-01,100
TOVT,G473,I2015_SCA,CH,2017-12-01,101
TOVT,G473,I2015_SCA,CH,2018-01-01,101
TOVT,G473,I2015_SCA,CH,2018-02-01,101
TOVT,G473,I2015_SCA,CH,2018-03-01,101
TOVT,G473,I2015_SCA,CH,2018-04-01,102
TOVT,G473,I2015_SCA,CH,2018-05-01,101
TOVT,G473,I2015_SCA,CH,2018-06-01,102
TOVT,G473,I2015_SCA,CH,2018-07-01,100
