s_adj,nace_r2,unit,indic_bt,geotime,date,value
SCA,B-E36,I2015_SCA,EMPL,AT,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,AT,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,AT,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,AT,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,AT,2016-07-01,100
SCA,B-E36,I2015_SCA,EMPL,AT,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,AT,2017-01-01,101
SCA,B-E36,I2015_SCA,EMPL,AT,2017-04-01,102
SCA,B-E36,I2015_SCA,EMPL,AT,2017-07-01,102
SCA,B-E36,I2015_SCA,EMPL,AT,2017-10-01,103
SCA,B-E36,I2015_SCA,EMPL,AT,2018-01-01,105
SCA,B-E36,I2015_SCA,EMPL,AT,2018-04-01,105
SCA,B-E36,I2015_SCA,EMPL,BE,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,BE,2015-10-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2016-01-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2016-04-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2016-07-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2016-10-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2017-01-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2017-04-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2017-07-01,99
SCA,B-E36,I2015_SCA,EMPL,BE,2017-10-01,100
SCA,B-E36,I2015_SCA,EMPL,BE,2018-01-01,100
SCA,B-E36,I2015_SCA,EMPL,BE,2018-04-01,
SCA,B-E36,I2015_SCA,EMPL,BG,2015-07-01,100
SCA,B-E36,I2015_SCA,EMPL,BG,2015-10-01,100
SCA,B-E36,I2015_SCA,EMPL,BG,2016-01-01,100
SCA,B-E36,I2015_SCA,EMPL,BG,2016-04-01,100
SCA,B-E36,I2015_SCA,EMPL,BG,2016-07-01,100
SCA,B-E36,I2015_SCA,EMPL,BG,2016-10-01,101
SCA,B-E36,I2015_SCA,EMPL,BG,2017-01-01,97
SCA,B-E36,I2015_SCA,EMPL,BG,2017-04-01,97
SCA,B-E36,I2015_SCA,EMPL,BG,2017-07-01,96
SCA,B-E36,I2015_SCA,EMPL,BG,2017-10-01,97
