nace_r2,unit,indic_bt,geo\time,date,value
F,I2015_SCA,EMPL,AL,2015-07-01,99.1 s
F,I2015_SCA,EMPL,AL,2015-10-01,106.5 s
F,I2015_SCA,EMPL,AL,2016-01-01,102.9 s
F,I2015_SCA,EMPL,AL,2016-04-01,104.2 s
F,I2015_SCA,EMPL,AL,2016-07-01,108.3 s
F,I2015_SCA,EMPL,AL,2016-10-01,109.5 s
F,I2015_SCA,EMPL,AL,2017-01-01,106.4 s
F,I2015_SCA,EMPL,AL,2017-04-01,108.3 s
F,I2015_SCA,EMPL,AL,2017-07-01,110.9 s
F,I2015_SCA,EMPL,AL,2017-10-01,111.5 s
F,I2015_SCA,EMPL,AL,2018-01-01,112.2 s
F,I2015_SCA,EMPL,AL,2018-04-01,114.4 s
F,I2015_SCA,EMPL,AT,2015-07-01,100.1 s
F,I2015_SCA,EMPL,AT,2015-10-01,100.0 s
F,I2015_SCA,EMPL,AT,2016-01-01,100.2 s
F,I2015_SCA,EMPL,AT,2016-04-01,99.8 s
F,I2015_SCA,EMPL,AT,2016-07-01,99.8 s
F,I2015_SCA,EMPL,AT,2016-10-01,101.6 s
F,I2015_SCA,EMPL,AT,2017-01-01,102.7 s
F,I2015_SCA,EMPL,AT,2017-04-01,102.7 s
F,I2015_SCA,EMPL,AT,2017-07-01,102.7 s
F,I2015_SCA,EMPL,AT,2017-10-01,103.3 s
F,I2015_SCA,EMPL,AT,2018-01-01,108.1 s
F,I2015_SCA,EMPL,AT,2018-04-01,107.1 s
F,I2015_SCA,EMPL,BE,2015-07-01,100.0 s
F,I2015_SCA,EMPL,BE,2015-10-01,100.4 s
F,I2015_SCA,EMPL,BE,2016-01-01,100.8 s
F,I2015_SCA,EMPL,BE,2016-04-01,101.6 s
F,I2015_SCA,EMPL,BE,2016-07-01,101.8 s
F,I2015_SCA,EMPL,BE,2016-10-01,102.5 s
F,I2015_SCA,EMPL,BE,2017-01-01,102.6 ps
F,I2015_SCA,EMPL,BE,2017-04-01,103.5 ps
F,I2015_SCA,EMPL,BE,2017-07-01,103.2 ps
F,I2015_SCA,EMPL,BE,2017-10-01,103.9 ps
F,I2015_SCA,EMPL,BE,2018-01-01,104.2 ps
F,I2015_SCA,EMPL,BE,2018-04-01,: 
F,I2015_SCA,EMPL,BG,2015-07-01,99.3 s
F,I2015_SCA,EMPL,BG,2015-10-01,98.5 s
F,I2015_SCA,EMPL,BG,2016-01-01,97.0 s
F,I2015_SCA,EMPL,BG,2016-04-01,95.3 s
F,I2015_SCA,EMPL,BG,2016-07-01,94.5 s
F,I2015_SCA,EMPL,BG,2016-10-01,96.7 s
F,I2015_SCA,EMPL,BG,2017-01-01,87.2 ps
F,I2015_SCA,EMPL,BG,2017-04-01,87.2 ps
F,I2015_SCA,EMPL,BG,2017-07-01,87.0 ps
F,I2015_SCA,EMPL,BG,2017-10-01,88.5 ps
F,I2015_SCA,EMPL,BG,2018-01-01,90.8 ps
F,I2015_SCA,EMPL,BG,2018-04-01,91.9 ps
F,I2015_SCA,EMPL,CH,2015-07-01,100.0 
F,I2015_SCA,EMPL,CH,2015-10-01,99.7 
F,I2015_SCA,EMPL,CH,2016-01-01,99.0 
F,I2015_SCA,EMPL,CH,2016-04-01,99.3 
F,I2015_SCA,EMPL,CH,2016-07-01,98.4 
F,I2015_SCA,EMPL,CH,2016-10-01,98.5 
F,I2015_SCA,EMPL,CH,2017-01-01,98.3 
F,I2015_SCA,EMPL,CH,2017-04-01,98.3 
F,I2015_SCA,EMPL,CH,2017-07-01,98.3 
F,I2015_SCA,EMPL,CH,2017-10-01,98.7 
F,I2015_SCA,EMPL,CH,2018-01-01,98.9 
F,I2015_SCA,EMPL,CH,2018-04-01,: 
F,I2015_SCA,EMPL,CY,2015-07-01,100.5 s
F,I2015_SCA,EMPL,CY,2015-10-01,101.6 s
F,I2015_SCA,EMPL,CY,2016-01-01,104.3 s
F,I2015_SCA,EMPL,CY,2016-04-01,106.2 s
F,I2015_SCA,EMPL,CY,2016-07-01,108.9 s
F,I2015_SCA,EMPL,CY,2016-10-01,111.3 s
F,I2015_SCA,EMPL,CY,2017-01-01,114.3 s
F,I2015_SCA,EMPL,CY,2017-04-01,117.8 s
F,I2015_SCA,EMPL,CY,2017-07-01,121.0 s
F,I2015_SCA,EMPL,CY,2017-10-01,125.3 s
F,I2015_SCA,EMPL,CY,2018-01-01,128.2 s
F,I2015_SCA,EMPL,CY,2018-04-01,131.1 s
F,I2015_SCA,EMPL,CZ,2015-07-01,99.6 s
F,I2015_SCA,EMPL,CZ,2015-10-01,98.6 s
F,I2015_SCA,EMPL,CZ,2016-01-01,97.6 s
F,I2015_SCA,EMPL,CZ,2016-04-01,97.6 s
F,I2015_SCA,EMPL,CZ,2016-07-01,96.9 s
F,I2015_SCA,EMPL,CZ,2016-10-01,97.2 s
F,I2015_SCA,EMPL,CZ,2017-01-01,98.4 s
F,I2015_SCA,EMPL,CZ,2017-04-01,97.9 s
F,I2015_SCA,EMPL,CZ,2017-07-01,98.3 s
F,I2015_SCA,EMPL,CZ,2017-10-01,98.3 s
F,I2015_SCA,EMPL,CZ,2018-01-01,99.5 s
F,I2015_SCA,EMPL,CZ,2018-04-01,99.2 s
F,I2015_SCA,EMPL,DE,2015-07-01,100.0 s
F,I2015_SCA,EMPL,DE,2015-10-01,100.1 s
F,I2015_SCA,EMPL,DE,2016-01-01,100.5 s
F,I2015_SCA,EMPL,DE,2016-04-01,100.8 s
F,I2015_SCA,EMPL,DE,2016-07-01,101.2 s
F,I2015_SCA,EMPL,DE,2016-10-01,101.6 s
F,I2015_SCA,EMPL,DE,2017-01-01,102.1 s
F,I2015_SCA,EMPL,DE,2017-04-01,102.2 s
F,I2015_SCA,EMPL,DE,2017-07-01,102.6 s
F,I2015_SCA,EMPL,DE,2017-10-01,103.0 ps
F,I2015_SCA,EMPL,DE,2018-01-01,103.4 ps
F,I2015_SCA,EMPL,DE,2018-04-01,104.2 ps
F,I2015_SCA,EMPL,DK,2015-07-01,100.2 
F,I2015_SCA,EMPL,DK,2015-10-01,101.5 
F,I2015_SCA,EMPL,DK,2016-01-01,102.3 
F,I2015_SCA,EMPL,DK,2016-04-01,103.1 
F,I2015_SCA,EMPL,DK,2016-07-01,103.9 
F,I2015_SCA,EMPL,DK,2016-10-01,104.7 
F,I2015_SCA,EMPL,DK,2017-01-01,105.8 
F,I2015_SCA,EMPL,DK,2017-04-01,106.4 
F,I2015_SCA,EMPL,DK,2017-07-01,107.4 
F,I2015_SCA,EMPL,DK,2017-10-01,108.5 
F,I2015_SCA,EMPL,DK,2018-01-01,109.8 p
F,I2015_SCA,EMPL,DK,2018-04-01,110.5 p
F,I2015_SCA,EMPL,EA19,2015-07-01,99.6 
F,I2015_SCA,EMPL,EA19,2015-10-01,99.7 
F,I2015_SCA,EMPL,EA19,2016-01-01,99.5 
F,I2015_SCA,EMPL,EA19,2016-04-01,100.0 
F,I2015_SCA,EMPL,EA19,2016-07-01,100.0 
F,I2015_SCA,EMPL,EA19,2016-10-01,100.3 
F,I2015_SCA,EMPL,EA19,2017-01-01,101.2 
F,I2015_SCA,EMPL,EA19,2017-04-01,101.5 
F,I2015_SCA,EMPL,EA19,2017-07-01,101.7 
F,I2015_SCA,EMPL,EA19,2017-10-01,102.7 
F,I2015_SCA,EMPL,EA19,2018-01-01,103.6 
F,I2015_SCA,EMPL,EA19,2018-04-01,104.1 s
F,I2015_SCA,EMPL,EE,2015-07-01,100.2 s
F,I2015_SCA,EMPL,EE,2015-10-01,97.5 s
F,I2015_SCA,EMPL,EE,2016-01-01,100.1 s
F,I2015_SCA,EMPL,EE,2016-04-01,99.7 s
F,I2015_SCA,EMPL,EE,2016-07-01,96.2 s
F,I2015_SCA,EMPL,EE,2016-10-01,100.1 s
F,I2015_SCA,EMPL,EE,2017-01-01,107.5 s
F,I2015_SCA,EMPL,EE,2017-04-01,104.1 s
F,I2015_SCA,EMPL,EE,2017-07-01,102.3 s
F,I2015_SCA,EMPL,EE,2017-10-01,106.2 s
F,I2015_SCA,EMPL,EE,2018-01-01,104.4 s
F,I2015_SCA,EMPL,EE,2018-04-01,107.7 s
F,I2015_SCA,EMPL,EL,2015-07-01,92.9 s
F,I2015_SCA,EMPL,EL,2015-10-01,114.0 s
F,I2015_SCA,EMPL,EL,2016-01-01,111.1 s
F,I2015_SCA,EMPL,EL,2016-04-01,118.9 s
F,I2015_SCA,EMPL,EL,2016-07-01,120.4 s
F,I2015_SCA,EMPL,EL,2016-10-01,123.7 s
F,I2015_SCA,EMPL,EL,2017-01-01,121.2 s
F,I2015_SCA,EMPL,EL,2017-04-01,123.8 s
F,I2015_SCA,EMPL,EL,2017-07-01,123.4 s
F,I2015_SCA,EMPL,EL,2017-10-01,128.8 s
F,I2015_SCA,EMPL,EL,2018-01-01,138.5 s
F,I2015_SCA,EMPL,EL,2018-04-01,134.4 s
F,I2015_SCA,EMPL,ES,2015-07-01,99.2 s
F,I2015_SCA,EMPL,ES,2015-10-01,99.3 s
F,I2015_SCA,EMPL,ES,2016-01-01,98.1 s
F,I2015_SCA,EMPL,ES,2016-04-01,99.3 s
F,I2015_SCA,EMPL,ES,2016-07-01,101.3 s
F,I2015_SCA,EMPL,ES,2016-10-01,101.3 s
F,I2015_SCA,EMPL,ES,2017-01-01,102.8 s
F,I2015_SCA,EMPL,ES,2017-04-01,104.4 s
F,I2015_SCA,EMPL,ES,2017-07-01,105.6 s
F,I2015_SCA,EMPL,ES,2017-10-01,107.4 s
F,I2015_SCA,EMPL,ES,2018-01-01,109.6 s
F,I2015_SCA,EMPL,ES,2018-04-01,111.9 s
F,I2015_SCA,EMPL,EU28,2015-07-01,99.7 
F,I2015_SCA,EMPL,EU28,2015-10-01,99.8 
F,I2015_SCA,EMPL,EU28,2016-01-01,100.0 
F,I2015_SCA,EMPL,EU28,2016-04-01,100.4 
F,I2015_SCA,EMPL,EU28,2016-07-01,100.5 
F,I2015_SCA,EMPL,EU28,2016-10-01,100.9 
F,I2015_SCA,EMPL,EU28,2017-01-01,101.8 
F,I2015_SCA,EMPL,EU28,2017-04-01,102.1 
F,I2015_SCA,EMPL,EU28,2017-07-01,102.3 
F,I2015_SCA,EMPL,EU28,2017-10-01,103.3 
F,I2015_SCA,EMPL,EU28,2018-01-01,104.7 
F,I2015_SCA,EMPL,EU28,2018-04-01,105.1 s
F,I2015_SCA,EMPL,FI,2015-07-01,100.4 s
F,I2015_SCA,EMPL,FI,2015-10-01,102.8 s
F,I2015_SCA,EMPL,FI,2016-01-01,103.4 s
F,I2015_SCA,EMPL,FI,2016-04-01,106.5 s
F,I2015_SCA,EMPL,FI,2016-07-01,103.4 s
F,I2015_SCA,EMPL,FI,2016-10-01,106.6 s
F,I2015_SCA,EMPL,FI,2017-01-01,108.6 s
F,I2015_SCA,EMPL,FI,2017-04-01,109.6 s
F,I2015_SCA,EMPL,FI,2017-07-01,110.7 s
F,I2015_SCA,EMPL,FI,2017-10-01,110.8 s
F,I2015_SCA,EMPL,FI,2018-01-01,116.5 s
F,I2015_SCA,EMPL,FI,2018-04-01,113.7 s
F,I2015_SCA,EMPL,FR,2015-07-01,99.6 s
F,I2015_SCA,EMPL,FR,2015-10-01,99.2 s
F,I2015_SCA,EMPL,FR,2016-01-01,99.0 s
F,I2015_SCA,EMPL,FR,2016-04-01,98.7 s
F,I2015_SCA,EMPL,FR,2016-07-01,98.7 s
F,I2015_SCA,EMPL,FR,2016-10-01,98.1 s
F,I2015_SCA,EMPL,FR,2017-01-01,98.4 s
F,I2015_SCA,EMPL,FR,2017-04-01,98.8 s
F,I2015_SCA,EMPL,FR,2017-07-01,99.0 s
F,I2015_SCA,EMPL,FR,2017-10-01,100.0 s
F,I2015_SCA,EMPL,FR,2018-01-01,100.3 s
F,I2015_SCA,EMPL,FR,2018-04-01,100.8 s
F,I2015_SCA,EMPL,HR,2015-07-01,100.2 s
F,I2015_SCA,EMPL,HR,2015-10-01,100.1 s
F,I2015_SCA,EMPL,HR,2016-01-01,99.0 s
F,I2015_SCA,EMPL,HR,2016-04-01,98.8 s
F,I2015_SCA,EMPL,HR,2016-07-01,99.0 s
F,I2015_SCA,EMPL,HR,2016-10-01,99.0 s
F,I2015_SCA,EMPL,HR,2017-01-01,101.1 s
F,I2015_SCA,EMPL,HR,2017-04-01,102.4 s
F,I2015_SCA,EMPL,HR,2017-07-01,102.4 s
F,I2015_SCA,EMPL,HR,2017-10-01,103.0 s
F,I2015_SCA,EMPL,HR,2018-01-01,102.5 ps
F,I2015_SCA,EMPL,HR,2018-04-01,: 
F,I2015_SCA,EMPL,HU,2015-07-01,100.3 ps
F,I2015_SCA,EMPL,HU,2015-10-01,100.0 ps
F,I2015_SCA,EMPL,HU,2016-01-01,103.0 ps
F,I2015_SCA,EMPL,HU,2016-04-01,103.3 ps
F,I2015_SCA,EMPL,HU,2016-07-01,103.6 ps
F,I2015_SCA,EMPL,HU,2016-10-01,104.4 ps
F,I2015_SCA,EMPL,HU,2017-01-01,105.9 ps
F,I2015_SCA,EMPL,HU,2017-04-01,107.0 ps
F,I2015_SCA,EMPL,HU,2017-07-01,107.4 ps
F,I2015_SCA,EMPL,HU,2017-10-01,109.3 ps
F,I2015_SCA,EMPL,HU,2018-01-01,114.3 ps
F,I2015_SCA,EMPL,HU,2018-04-01,115.2 ps
F,I2015_SCA,EMPL,IE,2015-07-01,100.7 s
F,I2015_SCA,EMPL,IE,2015-10-01,101.5 s
F,I2015_SCA,EMPL,IE,2016-01-01,108.4 s
F,I2015_SCA,EMPL,IE,2016-04-01,116.9 s
F,I2015_SCA,EMPL,IE,2016-07-01,113.7 s
F,I2015_SCA,EMPL,IE,2016-10-01,117.8 s
F,I2015_SCA,EMPL,IE,2017-01-01,126.6 s
F,I2015_SCA,EMPL,IE,2017-04-01,125.0 s
F,I2015_SCA,EMPL,IE,2017-07-01,118.1 s
F,I2015_SCA,EMPL,IE,2017-10-01,125.0 s
F,I2015_SCA,EMPL,IE,2018-01-01,131.7 s
F,I2015_SCA,EMPL,IE,2018-04-01,145.5 ps
F,I2015_SCA,EMPL,IS,2015-07-01,101.1 s
F,I2015_SCA,EMPL,IS,2015-10-01,104.0 s
F,I2015_SCA,EMPL,IS,2016-01-01,108.8 s
F,I2015_SCA,EMPL,IS,2016-04-01,114.2 s
F,I2015_SCA,EMPL,IS,2016-07-01,119.7 s
F,I2015_SCA,EMPL,IS,2016-10-01,124.6 s
F,I2015_SCA,EMPL,IS,2017-01-01,129.4 s
F,I2015_SCA,EMPL,IS,2017-04-01,134.5 s
F,I2015_SCA,EMPL,IS,2017-07-01,140.3 s
