indic_bt,nace_r2,unit,geo\time,date,value
PSQM,F_CC1,I2015_SCA,BE,2017-10-01,116.6 ps
PSQM,F_CC1,I2015_SCA,BE,2017-11-01,97.0 ps
PSQM,F_CC1,I2015_SCA,BE,2017-12-01,97.6 ps
PSQM,F_CC1,I2015_SCA,BE,2018-01-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-02-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-03-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-04-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-05-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-06-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-07-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,BE,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,CY,2017-10-01,185.7 s
PSQM,F_CC1,I2015_SCA,CY,2017-11-01,260.4 s
PSQM,F_CC1,I2015_SCA,CY,2017-12-01,227.5 s
PSQM,F_CC1,I2015_SCA,CY,2018-01-01,185.3 s
PSQM,F_CC1,I2015_SCA,CY,2018-02-01,150.3 s
PSQM,F_CC1,I2015_SCA,CY,2018-03-01,190.9 s
PSQM,F_CC1,I2015_SCA,CY,2018-04-01,190.3 s
PSQM,F_CC1,I2015_SCA,CY,2018-05-01,192.5 s
PSQM,F_CC1,I2015_SCA,CY,2018-06-01,190.0 s
PSQM,F_CC1,I2015_SCA,CY,2018-07-01,248.2 s
PSQM,F_CC1,I2015_SCA,CY,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,CY,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,DE,2017-10-01,109.8 s
PSQM,F_CC1,I2015_SCA,DE,2017-11-01,107.7 s
PSQM,F_CC1,I2015_SCA,DE,2017-12-01,116.4 s
PSQM,F_CC1,I2015_SCA,DE,2018-01-01,112.1 s
PSQM,F_CC1,I2015_SCA,DE,2018-02-01,109.4 s
PSQM,F_CC1,I2015_SCA,DE,2018-03-01,112.3 s
PSQM,F_CC1,I2015_SCA,DE,2018-04-01,116.9 s
PSQM,F_CC1,I2015_SCA,DE,2018-05-01,116.4 s
PSQM,F_CC1,I2015_SCA,DE,2018-06-01,113.7 s
PSQM,F_CC1,I2015_SCA,DE,2018-07-01,119.8 s
PSQM,F_CC1,I2015_SCA,DE,2018-08-01,115.8 s
PSQM,F_CC1,I2015_SCA,DE,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,EA19,2017-10-01,131.5 
PSQM,F_CC1,I2015_SCA,EA19,2017-11-01,130.9 
PSQM,F_CC1,I2015_SCA,EA19,2017-12-01,129.1 
PSQM,F_CC1,I2015_SCA,EA19,2018-01-01,130.5 s
PSQM,F_CC1,I2015_SCA,EA19,2018-02-01,130.7 s
PSQM,F_CC1,I2015_SCA,EA19,2018-03-01,127.7 s
PSQM,F_CC1,I2015_SCA,EA19,2018-04-01,130.1 s
PSQM,F_CC1,I2015_SCA,EA19,2018-05-01,126.8 s
PSQM,F_CC1,I2015_SCA,EA19,2018-06-01,130.9 s
PSQM,F_CC1,I2015_SCA,EA19,2018-07-01,: 
PSQM,F_CC1,I2015_SCA,EA19,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,EA19,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,EL,2017-10-01,124.2 s
PSQM,F_CC1,I2015_SCA,EL,2017-11-01,122.6 s
PSQM,F_CC1,I2015_SCA,EL,2017-12-01,117.1 s
PSQM,F_CC1,I2015_SCA,EL,2018-01-01,123.1 s
PSQM,F_CC1,I2015_SCA,EL,2018-02-01,119.5 s
PSQM,F_CC1,I2015_SCA,EL,2018-03-01,116.3 s
PSQM,F_CC1,I2015_SCA,EL,2018-04-01,122.3 s
PSQM,F_CC1,I2015_SCA,EL,2018-05-01,120.9 s
PSQM,F_CC1,I2015_SCA,EL,2018-06-01,117.0 s
PSQM,F_CC1,I2015_SCA,EL,2018-07-01,: 
PSQM,F_CC1,I2015_SCA,EL,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,EL,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,ES,2017-10-01,229.2 s
PSQM,F_CC1,I2015_SCA,ES,2017-11-01,240.9 s
PSQM,F_CC1,I2015_SCA,ES,2017-12-01,209.0 ps
PSQM,F_CC1,I2015_SCA,ES,2018-01-01,212.1 s
PSQM,F_CC1,I2015_SCA,ES,2018-02-01,236.3 s
PSQM,F_CC1,I2015_SCA,ES,2018-03-01,215.8 s
PSQM,F_CC1,I2015_SCA,ES,2018-04-01,240.1 s
PSQM,F_CC1,I2015_SCA,ES,2018-05-01,214.5 s
PSQM,F_CC1,I2015_SCA,ES,2018-06-01,255.3 s
PSQM,F_CC1,I2015_SCA,ES,2018-07-01,: 
PSQM,F_CC1,I2015_SCA,ES,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,ES,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,FI,2017-10-01,114.7 s
PSQM,F_CC1,I2015_SCA,FI,2017-11-01,127.4 s
PSQM,F_CC1,I2015_SCA,FI,2017-12-01,127.9 s
PSQM,F_CC1,I2015_SCA,FI,2018-01-01,132.3 s
PSQM,F_CC1,I2015_SCA,FI,2018-02-01,131.4 s
PSQM,F_CC1,I2015_SCA,FI,2018-03-01,104.7 s
PSQM,F_CC1,I2015_SCA,FI,2018-04-01,112.7 s
PSQM,F_CC1,I2015_SCA,FI,2018-05-01,105.0 s
PSQM,F_CC1,I2015_SCA,FI,2018-06-01,107.5 s
PSQM,F_CC1,I2015_SCA,FI,2018-07-01,: 
PSQM,F_CC1,I2015_SCA,FI,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,FI,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,FR,2017-10-01,119.3 s
PSQM,F_CC1,I2015_SCA,FR,2017-11-01,117.8 s
PSQM,F_CC1,I2015_SCA,FR,2017-12-01,117.2 s
PSQM,F_CC1,I2015_SCA,FR,2018-01-01,121.6 s
PSQM,F_CC1,I2015_SCA,FR,2018-02-01,116.5 s
PSQM,F_CC1,I2015_SCA,FR,2018-03-01,115.6 s
PSQM,F_CC1,I2015_SCA,FR,2018-04-01,108.3 s
PSQM,F_CC1,I2015_SCA,FR,2018-05-01,109.6 s
PSQM,F_CC1,I2015_SCA,FR,2018-06-01,107.8 s
PSQM,F_CC1,I2015_SCA,FR,2018-07-01,109.5 s
PSQM,F_CC1,I2015_SCA,FR,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,FR,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,HU,2017-10-01,168.2 s
PSQM,F_CC1,I2015_SCA,HU,2017-11-01,153.6 s
PSQM,F_CC1,I2015_SCA,HU,2017-12-01,151.7 s
PSQM,F_CC1,I2015_SCA,HU,2018-01-01,231.7 s
PSQM,F_CC1,I2015_SCA,HU,2018-02-01,224.3 s
PSQM,F_CC1,I2015_SCA,HU,2018-03-01,198.4 s
PSQM,F_CC1,I2015_SCA,HU,2018-04-01,174.6 s
PSQM,F_CC1,I2015_SCA,HU,2018-05-01,195.7 s
PSQM,F_CC1,I2015_SCA,HU,2018-06-01,141.9 s
PSQM,F_CC1,I2015_SCA,HU,2018-07-01,163.7 s
PSQM,F_CC1,I2015_SCA,HU,2018-08-01,: 
PSQM,F_CC1,I2015_SCA,HU,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,MK,2017-10-01,143.8 s
PSQM,F_CC1,I2015_SCA,MK,2017-11-01,59.2 s
PSQM,F_CC1,I2015_SCA,MK,2017-12-01,54.7 s
PSQM,F_CC1,I2015_SCA,MK,2018-01-01,66.0 s
PSQM,F_CC1,I2015_SCA,MK,2018-02-01,81.7 s
PSQM,F_CC1,I2015_SCA,MK,2018-03-01,54.6 s
PSQM,F_CC1,I2015_SCA,MK,2018-04-01,113.2 s
PSQM,F_CC1,I2015_SCA,MK,2018-05-01,92.0 s
PSQM,F_CC1,I2015_SCA,MK,2018-06-01,78.0 s
PSQM,F_CC1,I2015_SCA,MK,2018-07-01,96.7 s
PSQM,F_CC1,I2015_SCA,MK,2018-08-01,66.5 s
PSQM,F_CC1,I2015_SCA,MK,2018-09-01,: 
PSQM,F_CC1,I2015_SCA,NO,2017-10-01,86.0 s
PSQM,F_CC1,I2015_SCA,NO,2017-11-01,127.8 s
PSQM,F_CC1,I2015_SCA,NO,2017-12-01,83.3 s
PSQM,F_CC1,I2015_SCA,NO,2018-01-01,111.7 s
PSQM,F_CC1,I2015_SCA,NO,2018-02-01,96.4 s
PSQM,F_CC1,I2015_SCA,NO,2018-03-01,94.9 s
PSQM,F_CC1,I2015_SCA,NO,2018-04-01,138.2 s
PSQM,F_CC1,I2015_SCA,NO,2018-05-01,118.7 s
PSQM,F_CC1,I2015_SCA,NO,2018-06-01,116.6 s
PSQM,F_CC1,I2015_SCA,NO,2018-07-01,117.8 s
PSQM,F_CC1,I2015_SCA,NO,2018-08-01,99.3 s
PSQM,F_CC1,I2015_SCA,NO,2018-09-01,103.3 s
PSQM,F_CC1,I2015_SCA,PT,2017-10-01,153.6 s
PSQM,F_CC1,I2015_SCA,PT,2017-11-01,157.8 s
PSQM,F_CC1,I2015_SCA,PT,2017-12-01,153.7 s
PSQM,F_CC1,I2015_SCA,PT,2018-01-01,172.8 s
PSQM,F_CC1,I2015_SCA,PT,2018-02-01,170.1 s
PSQM,F_CC1,I2015_SCA,PT,2018-03-01,175.7 s
PSQM,F_CC1,I2015_SCA,PT,2018-04-01,176.2 s
PSQM,F_CC1,I2015_SCA,PT,2018-05-01,180.4 s
PSQM,F_CC1,I2015_SCA,PT,2018-06-01,185.2 s
