indic_bt,s_adj,unit,nace_r2,geotime,date,value
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2015-10-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2016-01-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2016-04-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2016-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2016-10-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2017-01-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2017-04-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2017-07-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2017-10-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2018-01-01,109
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,AT,2018-04-01,
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2015-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2015-10-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2016-01-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2016-04-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2016-07-01,100
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2016-10-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2017-01-01,105
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2017-04-01,107
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2017-07-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2017-10-01,110
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2018-01-01,111
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BE,2018-04-01,112
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2015-07-01,99
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2015-10-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2016-01-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2016-04-01,102
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2016-07-01,101
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2016-10-01,106
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2017-01-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2017-04-01,104
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2017-07-01,108
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2017-10-01,110
TOVT,SCA,I2015_SCA,G-N_STS_X_G47,BG,2018-01-01,108
