s_adj,age,sex,unit,geotime,date,value
SA,Y_LT25,F,THS_PER,AT,2017-10-01,24.0
SA,Y_LT25,F,THS_PER,AT,2017-11-01,21.0
SA,Y_LT25,F,THS_PER,AT,2017-12-01,20.0
SA,Y_LT25,F,THS_PER,AT,2018-01-01,21.0
SA,Y_LT25,F,THS_PER,AT,2018-02-01,24.0
SA,Y_LT25,F,THS_PER,AT,2018-03-01,27.0
SA,Y_LT25,F,THS_PER,AT,2018-04-01,29.0
SA,Y_LT25,F,THS_PER,AT,2018-05-01,27.0
SA,Y_LT25,F,THS_PER,AT,2018-06-01,22.0
SA,Y_LT25,F,THS_PER,AT,2018-07-01,22.0
SA,Y_LT25,F,THS_PER,AT,2018-08-01,23.0
SA,Y_LT25,F,THS_PER,AT,2018-09-01,
SA,Y_LT25,F,THS_PER,BE,2017-10-01,29.0
SA,Y_LT25,F,THS_PER,BE,2017-11-01,29.0
SA,Y_LT25,F,THS_PER,BE,2017-12-01,29.0
SA,Y_LT25,F,THS_PER,BE,2018-01-01,27.0
SA,Y_LT25,F,THS_PER,BE,2018-02-01,27.0
SA,Y_LT25,F,THS_PER,BE,2018-03-01,27.0
SA,Y_LT25,F,THS_PER,BE,2018-04-01,31.0
SA,Y_LT25,F,THS_PER,BE,2018-05-01,31.0
SA,Y_LT25,F,THS_PER,BE,2018-06-01,31.0
SA,Y_LT25,F,THS_PER,BE,2018-07-01,
SA,Y_LT25,F,THS_PER,BE,2018-08-01,
SA,Y_LT25,F,THS_PER,BE,2018-09-01,
SA,Y_LT25,F,THS_PER,BG,2017-10-01,8.0
SA,Y_LT25,F,THS_PER,BG,2017-11-01,7.0
SA,Y_LT25,F,THS_PER,BG,2017-12-01,7.0
SA,Y_LT25,F,THS_PER,BG,2018-01-01,7.0
SA,Y_LT25,F,THS_PER,BG,2018-02-01,7.0
SA,Y_LT25,F,THS_PER,BG,2018-03-01,8.0
SA,Y_LT25,F,THS_PER,BG,2018-04-01,8.0
SA,Y_LT25,F,THS_PER,BG,2018-05-01,8.0
SA,Y_LT25,F,THS_PER,BG,2018-06-01,8.0
SA,Y_LT25,F,THS_PER,BG,2018-07-01,8.0
SA,Y_LT25,F,THS_PER,BG,2018-08-01,7.0
SA,Y_LT25,F,THS_PER,BG,2018-09-01,
SA,Y_LT25,F,THS_PER,CY,2017-10-01,4.0
SA,Y_LT25,F,THS_PER,CY,2017-11-01,4.0
SA,Y_LT25,F,THS_PER,CY,2017-12-01,4.0
SA,Y_LT25,F,THS_PER,CY,2018-01-01,4.0
SA,Y_LT25,F,THS_PER,CY,2018-02-01,4.0
SA,Y_LT25,F,THS_PER,CY,2018-03-01,4.0
SA,Y_LT25,F,THS_PER,CY,2018-04-01,3.0
SA,Y_LT25,F,THS_PER,CY,2018-05-01,3.0
SA,Y_LT25,F,THS_PER,CY,2018-06-01,3.0
SA,Y_LT25,F,THS_PER,CY,2018-07-01,
SA,Y_LT25,F,THS_PER,CY,2018-08-01,
SA,Y_LT25,F,THS_PER,CY,2018-09-01,
SA,Y_LT25,F,THS_PER,CZ,2017-10-01,7.0
SA,Y_LT25,F,THS_PER,CZ,2017-11-01,6.0
SA,Y_LT25,F,THS_PER,CZ,2017-12-01,7.0
SA,Y_LT25,F,THS_PER,CZ,2018-01-01,8.0
SA,Y_LT25,F,THS_PER,CZ,2018-02-01,11.0
SA,Y_LT25,F,THS_PER,CZ,2018-03-01,11.0
SA,Y_LT25,F,THS_PER,CZ,2018-04-01,14.0
