s_adj,age,sex,unit,geo\time,date,value
SA,Y_LT25,F,PC_ACT,AT,2017-10-01,9.7 u
SA,Y_LT25,F,PC_ACT,AT,2017-11-01,8.6 u
SA,Y_LT25,F,PC_ACT,AT,2017-12-01,8.1 u
SA,Y_LT25,F,PC_ACT,AT,2018-01-01,8.6 u
SA,Y_LT25,F,PC_ACT,AT,2018-02-01,9.5 u
SA,Y_LT25,F,PC_ACT,AT,2018-03-01,10.8 u
SA,Y_LT25,F,PC_ACT,AT,2018-04-01,11.4 u
SA,Y_LT25,F,PC_ACT,AT,2018-05-01,10.7 u
SA,Y_LT25,F,PC_ACT,AT,2018-06-01,8.8 u
SA,Y_LT25,F,PC_ACT,AT,2018-07-01,8.8 u
SA,Y_LT25,F,PC_ACT,AT,2018-08-01,9.2 u
SA,Y_LT25,F,PC_ACT,AT,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,BE,2017-10-01,17.0 
SA,Y_LT25,F,PC_ACT,BE,2017-11-01,17.0 
SA,Y_LT25,F,PC_ACT,BE,2017-12-01,17.0 
SA,Y_LT25,F,PC_ACT,BE,2018-01-01,15.3 
SA,Y_LT25,F,PC_ACT,BE,2018-02-01,15.3 
SA,Y_LT25,F,PC_ACT,BE,2018-03-01,15.3 
SA,Y_LT25,F,PC_ACT,BE,2018-04-01,18.6 
SA,Y_LT25,F,PC_ACT,BE,2018-05-01,18.6 
SA,Y_LT25,F,PC_ACT,BE,2018-06-01,18.6 
SA,Y_LT25,F,PC_ACT,BE,2018-07-01,: 
SA,Y_LT25,F,PC_ACT,BE,2018-08-01,: 
SA,Y_LT25,F,PC_ACT,BE,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,BG,2017-10-01,11.2 
SA,Y_LT25,F,PC_ACT,BG,2017-11-01,11.1 
SA,Y_LT25,F,PC_ACT,BG,2017-12-01,11.3 
SA,Y_LT25,F,PC_ACT,BG,2018-01-01,11.8 
SA,Y_LT25,F,PC_ACT,BG,2018-02-01,12.1 
SA,Y_LT25,F,PC_ACT,BG,2018-03-01,12.8 
SA,Y_LT25,F,PC_ACT,BG,2018-04-01,13.2 
SA,Y_LT25,F,PC_ACT,BG,2018-05-01,13.5 
SA,Y_LT25,F,PC_ACT,BG,2018-06-01,13.9 
SA,Y_LT25,F,PC_ACT,BG,2018-07-01,13.9 
SA,Y_LT25,F,PC_ACT,BG,2018-08-01,13.4 
SA,Y_LT25,F,PC_ACT,BG,2018-09-01,: 
SA,Y_LT25,F,PC_ACT,CY,2017-10-01,19.3 
SA,Y_LT25,F,PC_ACT,CY,2017-11-01,19.3 
SA,Y_LT25,F,PC_ACT,CY,2017-12-01,19.3 
SA,Y_LT25,F,PC_ACT,CY,2018-01-01,18.5 
SA,Y_LT25,F,PC_ACT,CY,2018-02-01,18.5 
SA,Y_LT25,F,PC_ACT,CY,2018-03-01,18.5 
SA,Y_LT25,F,PC_ACT,CY,2018-04-01,14.7 
SA,Y_LT25,F,PC_ACT,CY,2018-05-01,14.7 
SA,Y_LT25,F,PC_ACT,CY,2018-06-01,14.7 
SA,Y_LT25,F,PC_ACT,CY,2018-07-01,: 
