s_adj,unit,nace_r2,lcstruct,geotime,date,value
SCA,I12,B-E,D1_D4_MD5,AT,2015-07-01,108
SCA,I12,B-E,D1_D4_MD5,AT,2015-10-01,109
SCA,I12,B-E,D1_D4_MD5,AT,2016-01-01,109
SCA,I12,B-E,D1_D4_MD5,AT,2016-04-01,110
SCA,I12,B-E,D1_D4_MD5,AT,2016-07-01,110
SCA,I12,B-E,D1_D4_MD5,AT,2016-10-01,111
SCA,I12,B-E,D1_D4_MD5,AT,2017-01-01,111
SCA,I12,B-E,D1_D4_MD5,AT,2017-04-01,111
SCA,I12,B-E,D1_D4_MD5,AT,2017-07-01,111
SCA,I12,B-E,D1_D4_MD5,AT,2017-10-01,112
SCA,I12,B-E,D1_D4_MD5,AT,2018-01-01,114
SCA,I12,B-E,D1_D4_MD5,AT,2018-04-01,115
SCA,I12,B-E,D1_D4_MD5,BE,2015-07-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2015-10-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2016-01-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2016-04-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2016-07-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2016-10-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2017-01-01,103
SCA,I12,B-E,D1_D4_MD5,BE,2017-04-01,104
SCA,I12,B-E,D1_D4_MD5,BE,2017-07-01,104
SCA,I12,B-E,D1_D4_MD5,BE,2017-10-01,105
SCA,I12,B-E,D1_D4_MD5,BE,2018-01-01,105
SCA,I12,B-E,D1_D4_MD5,BE,2018-04-01,105
SCA,I12,B-E,D1_D4_MD5,BG,2015-07-01,118
SCA,I12,B-E,D1_D4_MD5,BG,2015-10-01,121
SCA,I12,B-E,D1_D4_MD5,BG,2016-01-01,123
SCA,I12,B-E,D1_D4_MD5,BG,2016-04-01,127
SCA,I12,B-E,D1_D4_MD5,BG,2016-07-01,127
SCA,I12,B-E,D1_D4_MD5,BG,2016-10-01,131
SCA,I12,B-E,D1_D4_MD5,BG,2017-01-01,136
SCA,I12,B-E,D1_D4_MD5,BG,2017-04-01,140
SCA,I12,B-E,D1_D4_MD5,BG,2017-07-01,143
SCA,I12,B-E,D1_D4_MD5,BG,2017-10-01,148
SCA,I12,B-E,D1_D4_MD5,BG,2018-01-01,149
SCA,I12,B-E,D1_D4_MD5,BG,2018-04-01,154
SCA,I12,B-E,D1_D4_MD5,CY,2015-07-01,93
SCA,I12,B-E,D1_D4_MD5,CY,2015-10-01,94
SCA,I12,B-E,D1_D4_MD5,CY,2016-01-01,93
SCA,I12,B-E,D1_D4_MD5,CY,2016-04-01,94
SCA,I12,B-E,D1_D4_MD5,CY,2016-07-01,94
SCA,I12,B-E,D1_D4_MD5,CY,2016-10-01,94
SCA,I12,B-E,D1_D4_MD5,CY,2017-01-01,94
SCA,I12,B-E,D1_D4_MD5,CY,2017-04-01,95
SCA,I12,B-E,D1_D4_MD5,CY,2017-07-01,95
SCA,I12,B-E,D1_D4_MD5,CY,2017-10-01,96
SCA,I12,B-E,D1_D4_MD5,CY,2018-01-01,96
SCA,I12,B-E,D1_D4_MD5,CY,2018-04-01,96
SCA,I12,B-E,D1_D4_MD5,CZ,2015-07-01,108
SCA,I12,B-E,D1_D4_MD5,CZ,2015-10-01,109
SCA,I12,B-E,D1_D4_MD5,CZ,2016-01-01,110
SCA,I12,B-E,D1_D4_MD5,CZ,2016-04-01,111
SCA,I12,B-E,D1_D4_MD5,CZ,2016-07-01,113
SCA,I12,B-E,D1_D4_MD5,CZ,2016-10-01,115
SCA,I12,B-E,D1_D4_MD5,CZ,2017-01-01,117
SCA,I12,B-E,D1_D4_MD5,CZ,2017-04-01,119
SCA,I12,B-E,D1_D4_MD5,CZ,2017-07-01,122
SCA,I12,B-E,D1_D4_MD5,CZ,2017-10-01,124
SCA,I12,B-E,D1_D4_MD5,CZ,2018-01-01,127
SCA,I12,B-E,D1_D4_MD5,CZ,2018-04-01,130
SCA,I12,B-E,D1_D4_MD5,DE,2015-07-01,107
SCA,I12,B-E,D1_D4_MD5,DE,2015-10-01,107
SCA,I12,B-E,D1_D4_MD5,DE,2016-01-01,109
SCA,I12,B-E,D1_D4_MD5,DE,2016-04-01,108
SCA,I12,B-E,D1_D4_MD5,DE,2016-07-01,110
SCA,I12,B-E,D1_D4_MD5,DE,2016-10-01,110
SCA,I12,B-E,D1_D4_MD5,DE,2017-01-01,111
SCA,I12,B-E,D1_D4_MD5,DE,2017-04-01,111
SCA,I12,B-E,D1_D4_MD5,DE,2017-07-01,112
SCA,I12,B-E,D1_D4_MD5,DE,2017-10-01,113
SCA,I12,B-E,D1_D4_MD5,DE,2018-01-01,113
SCA,I12,B-E,D1_D4_MD5,DE,2018-04-01,113
SCA,I12,B-E,D1_D4_MD5,DK,2015-07-01,105
SCA,I12,B-E,D1_D4_MD5,DK,2015-10-01,106
SCA,I12,B-E,D1_D4_MD5,DK,2016-01-01,107
SCA,I12,B-E,D1_D4_MD5,DK,2016-04-01,108
SCA,I12,B-E,D1_D4_MD5,DK,2016-07-01,109
SCA,I12,B-E,D1_D4_MD5,DK,2016-10-01,109
SCA,I12,B-E,D1_D4_MD5,DK,2017-01-01,109
SCA,I12,B-E,D1_D4_MD5,DK,2017-04-01,110
SCA,I12,B-E,D1_D4_MD5,DK,2017-07-01,111
SCA,I12,B-E,D1_D4_MD5,DK,2017-10-01,111
SCA,I12,B-E,D1_D4_MD5,DK,2018-01-01,111
SCA,I12,B-E,D1_D4_MD5,DK,2018-04-01,113
SCA,I12,B-E,D1_D4_MD5,EA,2015-07-01,105
SCA,I12,B-E,D1_D4_MD5,EA,2015-10-01,105
SCA,I12,B-E,D1_D4_MD5,EA,2016-01-01,106
SCA,I12,B-E,D1_D4_MD5,EA,2016-04-01,106
SCA,I12,B-E,D1_D4_MD5,EA,2016-07-01,106
SCA,I12,B-E,D1_D4_MD5,EA,2016-10-01,107
SCA,I12,B-E,D1_D4_MD5,EA,2017-01-01,107
SCA,I12,B-E,D1_D4_MD5,EA,2017-04-01,108
SCA,I12,B-E,D1_D4_MD5,EA,2017-07-01,108
SCA,I12,B-E,D1_D4_MD5,EA,2017-10-01,108
SCA,I12,B-E,D1_D4_MD5,EA,2018-01-01,109
SCA,I12,B-E,D1_D4_MD5,EA,2018-04-01,110
SCA,I12,B-E,D1_D4_MD5,EA19,2015-07-01,105
SCA,I12,B-E,D1_D4_MD5,EA19,2015-10-01,105
SCA,I12,B-E,D1_D4_MD5,EA19,2016-01-01,106
SCA,I12,B-E,D1_D4_MD5,EA19,2016-04-01,106
SCA,I12,B-E,D1_D4_MD5,EA19,2016-07-01,106
SCA,I12,B-E,D1_D4_MD5,EA19,2016-10-01,107
SCA,I12,B-E,D1_D4_MD5,EA19,2017-01-01,107
SCA,I12,B-E,D1_D4_MD5,EA19,2017-04-01,108
SCA,I12,B-E,D1_D4_MD5,EA19,2017-07-01,108
SCA,I12,B-E,D1_D4_MD5,EA19,2017-10-01,108
SCA,I12,B-E,D1_D4_MD5,EA19,2018-01-01,109
SCA,I12,B-E,D1_D4_MD5,EA19,2018-04-01,110
SCA,I12,B-E,D1_D4_MD5,EE,2015-07-01,122
SCA,I12,B-E,D1_D4_MD5,EE,2015-10-01,123
SCA,I12,B-E,D1_D4_MD5,EE,2016-01-01,125
SCA,I12,B-E,D1_D4_MD5,EE,2016-04-01,126
SCA,I12,B-E,D1_D4_MD5,EE,2016-07-01,127
SCA,I12,B-E,D1_D4_MD5,EE,2016-10-01,130
SCA,I12,B-E,D1_D4_MD5,EE,2017-01-01,132
SCA,I12,B-E,D1_D4_MD5,EE,2017-04-01,134
SCA,I12,B-E,D1_D4_MD5,EE,2017-07-01,137
SCA,I12,B-E,D1_D4_MD5,EE,2017-10-01,137
SCA,I12,B-E,D1_D4_MD5,EE,2018-01-01,140
SCA,I12,B-E,D1_D4_MD5,EE,2018-04-01,142
SCA,I12,B-E,D1_D4_MD5,EL,2015-07-01,95
SCA,I12,B-E,D1_D4_MD5,EL,2015-10-01,94
SCA,I12,B-E,D1_D4_MD5,EL,2016-01-01,93
SCA,I12,B-E,D1_D4_MD5,EL,2016-04-01,90
SCA,I12,B-E,D1_D4_MD5,EL,2016-07-01,93
SCA,I12,B-E,D1_D4_MD5,EL,2016-10-01,93
SCA,I12,B-E,D1_D4_MD5,EL,2017-01-01,90
SCA,I12,B-E,D1_D4_MD5,EL,2017-04-01,91
SCA,I12,B-E,D1_D4_MD5,EL,2017-07-01,94
SCA,I12,B-E,D1_D4_MD5,EL,2017-10-01,93
SCA,I12,B-E,D1_D4_MD5,EL,2018-01-01,93
SCA,I12,B-E,D1_D4_MD5,EL,2018-04-01,95
SCA,I12,B-E,D1_D4_MD5,ES,2015-07-01,101
SCA,I12,B-E,D1_D4_MD5,ES,2015-10-01,101
SCA,I12,B-E,D1_D4_MD5,ES,2016-01-01,101
SCA,I12,B-E,D1_D4_MD5,ES,2016-04-01,101
SCA,I12,B-E,D1_D4_MD5,ES,2016-07-01,101
SCA,I12,B-E,D1_D4_MD5,ES,2016-10-01,102
SCA,I12,B-E,D1_D4_MD5,ES,2017-01-01,102
SCA,I12,B-E,D1_D4_MD5,ES,2017-04-01,102
SCA,I12,B-E,D1_D4_MD5,ES,2017-07-01,102
SCA,I12,B-E,D1_D4_MD5,ES,2017-10-01,102
SCA,I12,B-E,D1_D4_MD5,ES,2018-01-01,102
SCA,I12,B-E,D1_D4_MD5,ES,2018-04-01,103
SCA,I12,B-E,D1_D4_MD5,EU,2015-07-01,105
SCA,I12,B-E,D1_D4_MD5,EU,2015-10-01,106
SCA,I12,B-E,D1_D4_MD5,EU,2016-01-01,106
SCA,I12,B-E,D1_D4_MD5,EU,2016-04-01,106
SCA,I12,B-E,D1_D4_MD5,EU,2016-07-01,107
SCA,I12,B-E,D1_D4_MD5,EU,2016-10-01,108
SCA,I12,B-E,D1_D4_MD5,EU,2017-01-01,108
SCA,I12,B-E,D1_D4_MD5,EU,2017-04-01,109
