intrt,geotime,date,value
MAT_ON,BG,2017-10-01,
MAT_ON,BG,2017-11-01,
MAT_ON,BG,2017-12-01,
MAT_ON,BG,2018-01-01,
MAT_ON,BG,2018-02-01,
MAT_ON,BG,2018-03-01,
MAT_ON,BG,2018-04-01,
MAT_ON,BG,2018-05-01,
MAT_ON,BG,2018-06-01,
MAT_ON,BG,2018-07-01,
MAT_ON,BG,2018-08-01,
MAT_ON,BG,2018-09-01,0
MAT_ON,CZ,2017-10-01,
MAT_ON,CZ,2017-11-01,
MAT_ON,CZ,2017-12-01,
MAT_ON,CZ,2018-01-01,
MAT_ON,CZ,2018-02-01,
MAT_ON,CZ,2018-03-01,
MAT_ON,CZ,2018-04-01,
MAT_ON,CZ,2018-05-01,
MAT_ON,CZ,2018-06-01,
MAT_ON,CZ,2018-07-01,
MAT_ON,CZ,2018-08-01,
MAT_ON,CZ,2018-09-01,1
MAT_ON,EA,2017-10-01,
MAT_ON,EA,2017-11-01,
MAT_ON,EA,2017-12-01,
MAT_ON,EA,2018-01-01,
MAT_ON,EA,2018-02-01,
MAT_ON,EA,2018-03-01,
MAT_ON,EA,2018-04-01,
MAT_ON,EA,2018-05-01,
MAT_ON,EA,2018-06-01,
MAT_ON,EA,2018-07-01,
MAT_ON,EA,2018-08-01,
MAT_ON,EA,2018-09-01,0
MAT_ON,HR,2017-10-01,
MAT_ON,HR,2017-11-01,
MAT_ON,HR,2017-12-01,
MAT_ON,HR,2018-01-01,
MAT_ON,HR,2018-02-01,
MAT_ON,HR,2018-03-01,
MAT_ON,HR,2018-04-01,
MAT_ON,HR,2018-05-01,
MAT_ON,HR,2018-06-01,
MAT_ON,HR,2018-07-01,
MAT_ON,HR,2018-08-01,
MAT_ON,HR,2018-09-01,0
MAT_ON,HU,2017-10-01,
MAT_ON,HU,2017-11-01,
MAT_ON,HU,2017-12-01,
MAT_ON,HU,2018-01-01,
MAT_ON,HU,2018-02-01,
MAT_ON,HU,2018-03-01,
MAT_ON,HU,2018-04-01,
MAT_ON,HU,2018-05-01,
MAT_ON,HU,2018-06-01,
MAT_ON,HU,2018-07-01,
MAT_ON,HU,2018-08-01,
MAT_ON,HU,2018-09-01,0
MAT_ON,PL,2017-10-01,
MAT_ON,PL,2017-11-01,
MAT_ON,PL,2017-12-01,
MAT_ON,PL,2018-01-01,
MAT_ON,PL,2018-02-01,
MAT_ON,PL,2018-03-01,
MAT_ON,PL,2018-04-01,
MAT_ON,PL,2018-05-01,
MAT_ON,PL,2018-06-01,
MAT_ON,PL,2018-07-01,
MAT_ON,PL,2018-08-01,
MAT_ON,PL,2018-09-01,1
MAT_ON,RO,2017-10-01,
MAT_ON,RO,2017-11-01,
MAT_ON,RO,2017-12-01,
MAT_ON,RO,2018-01-01,
MAT_ON,RO,2018-02-01,
MAT_ON,RO,2018-03-01,
MAT_ON,RO,2018-04-01,
MAT_ON,RO,2018-05-01,
MAT_ON,RO,2018-06-01,
MAT_ON,RO,2018-07-01,
MAT_ON,RO,2018-08-01,
MAT_ON,RO,2018-09-01,2
MAT_ON,TR,2017-10-01,
MAT_ON,TR,2017-11-01,
MAT_ON,TR,2017-12-01,
MAT_ON,TR,2018-01-01,
MAT_ON,TR,2018-02-01,
MAT_ON,TR,2018-03-01,
MAT_ON,TR,2018-04-01,
MAT_ON,TR,2018-05-01,
MAT_ON,TR,2018-06-01,
MAT_ON,TR,2018-07-01,
MAT_ON,TR,2018-08-01,
MAT_ON,TR,2018-09-01,
MAT_ON,UK,2017-10-01,
MAT_ON,UK,2017-11-01,
MAT_ON,UK,2017-12-01,
MAT_ON,UK,2018-01-01,
MAT_ON,UK,2018-02-01,
MAT_ON,UK,2018-03-01,
MAT_ON,UK,2018-04-01,
MAT_ON,UK,2018-05-01,
MAT_ON,UK,2018-06-01,
MAT_ON,UK,2018-07-01,
MAT_ON,UK,2018-08-01,
MAT_ON,UK,2018-09-01,0
