statinfo,unit,currencytime,date,value
AVG,NAC,BGN,2017-10-01,1.9558
AVG,NAC,BGN,2017-11-01,1.9558
AVG,NAC,BGN,2017-12-01,1.9558
AVG,NAC,BGN,2018-01-01,1.9558
AVG,NAC,BGN,2018-02-01,1.9558
AVG,NAC,BGN,2018-03-01,1.9558
AVG,NAC,BGN,2018-04-01,1.9558
AVG,NAC,BGN,2018-05-01,1.9558
AVG,NAC,BGN,2018-06-01,1.9558
AVG,NAC,BGN,2018-07-01,1.9558
AVG,NAC,BGN,2018-08-01,1.9558
AVG,NAC,BGN,2018-09-01,1.9558
AVG,NAC,CAD,2017-10-01,1.4801
AVG,NAC,CAD,2017-11-01,1.4978
AVG,NAC,CAD,2017-12-01,1.5108
AVG,NAC,CAD,2018-01-01,1.5166
AVG,NAC,CAD,2018-02-01,1.5526
AVG,NAC,CAD,2018-03-01,1.5943
AVG,NAC,CAD,2018-04-01,1.5622
AVG,NAC,CAD,2018-05-01,1.5197
AVG,NAC,CAD,2018-06-01,1.5327
AVG,NAC,CAD,2018-07-01,1.5356
AVG,NAC,CAD,2018-08-01,1.5063
AVG,NAC,CAD,2018-09-01,1.5211
AVG,NAC,CHF,2017-10-01,1.1546
AVG,NAC,CHF,2017-11-01,1.164
AVG,NAC,CHF,2017-12-01,1.1689
AVG,NAC,CHF,2018-01-01,1.1723
AVG,NAC,CHF,2018-02-01,1.1542
AVG,NAC,CHF,2018-03-01,1.1685
AVG,NAC,CHF,2018-04-01,1.189
AVG,NAC,CHF,2018-05-01,1.178
AVG,NAC,CHF,2018-06-01,1.1562
AVG,NAC,CHF,2018-07-01,1.1622
AVG,NAC,CHF,2018-08-01,1.1413
AVG,NAC,CHF,2018-09-01,1.1286
AVG,NAC,CZK,2017-10-01,25.766
AVG,NAC,CZK,2017-11-01,25.538
AVG,NAC,CZK,2017-12-01,25.645
AVG,NAC,CZK,2018-01-01,25.451999999999998
AVG,NAC,CZK,2018-02-01,25.319000000000003
AVG,NAC,CZK,2018-03-01,25.429000000000002
AVG,NAC,CZK,2018-04-01,25.365
AVG,NAC,CZK,2018-05-01,25.64
AVG,NAC,CZK,2018-06-01,25.778000000000002
AVG,NAC,CZK,2018-07-01,25.85
AVG,NAC,CZK,2018-08-01,25.680999999999997
AVG,NAC,CZK,2018-09-01,25.614
AVG,NAC,DKK,2017-10-01,7.4429
AVG,NAC,DKK,2017-11-01,7.442
AVG,NAC,DKK,2017-12-01,7.4433
AVG,NAC,DKK,2018-01-01,7.4455
AVG,NAC,DKK,2018-02-01,7.4457
AVG,NAC,DKK,2018-03-01,7.449
AVG,NAC,DKK,2018-04-01,7.4479
AVG,NAC,DKK,2018-05-01,7.4482
AVG,NAC,DKK,2018-06-01,7.4493
AVG,NAC,DKK,2018-07-01,7.4523
AVG,NAC,DKK,2018-08-01,7.4558
AVG,NAC,DKK,2018-09-01,7.4583
AVG,NAC,GBP,2017-10-01,0.89071
AVG,NAC,GBP,2017-11-01,0.88795
AVG,NAC,GBP,2017-12-01,0.88265
AVG,NAC,GBP,2018-01-01,0.88331
AVG,NAC,GBP,2018-02-01,0.8839600000000001
AVG,NAC,GBP,2018-03-01,0.88287
AVG,NAC,GBP,2018-04-01,0.8721200000000001
AVG,NAC,GBP,2018-05-01,0.87726
AVG,NAC,GBP,2018-06-01,0.8788600000000001
AVG,NAC,GBP,2018-07-01,0.88725
AVG,NAC,GBP,2018-08-01,0.8968700000000001
AVG,NAC,GBP,2018-09-01,0.89281
AVG,NAC,HRK,2017-10-01,7.5085
AVG,NAC,HRK,2017-11-01,7.5512
AVG,NAC,HRK,2017-12-01,7.5393
AVG,NAC,HRK,2018-01-01,7.4359
AVG,NAC,HRK,2018-02-01,7.4399
AVG,NAC,HRK,2018-03-01,7.4384
AVG,NAC,HRK,2018-04-01,7.4209
AVG,NAC,HRK,2018-05-01,7.3912
AVG,NAC,HRK,2018-06-01,7.3822
AVG,NAC,HRK,2018-07-01,7.3971
AVG,NAC,HRK,2018-08-01,7.4261
AVG,NAC,HRK,2018-09-01,7.4294
AVG,NAC,HUF,2017-10-01,309.95
AVG,NAC,HUF,2017-11-01,311.89
AVG,NAC,HUF,2017-12-01,313.16
AVG,NAC,HUF,2018-01-01,309.27
AVG,NAC,HUF,2018-02-01,311.74
AVG,NAC,HUF,2018-03-01,312.19
AVG,NAC,HUF,2018-04-01,311.72
AVG,NAC,HUF,2018-05-01,316.93
AVG,NAC,HUF,2018-06-01,322.7
AVG,NAC,HUF,2018-07-01,324.6
AVG,NAC,HUF,2018-08-01,323.02
AVG,NAC,HUF,2018-09-01,324.82
AVG,NAC,ISK,2017-10-01,124.07
AVG,NAC,ISK,2017-11-01,122.37
AVG,NAC,ISK,2017-12-01,124.02
AVG,NAC,ISK,2018-01-01,125.41
AVG,NAC,ISK,2018-02-01,124.69
AVG,NAC,ISK,2018-03-01,122.82
AVG,NAC,ISK,2018-04-01,122.3
AVG,NAC,ISK,2018-05-01,122.83
AVG,NAC,ISK,2018-06-01,124.76
AVG,NAC,ISK,2018-07-01,124.41
AVG,NAC,ISK,2018-08-01,124.19
AVG,NAC,ISK,2018-09-01,128.89
AVG,NAC,JPY,2017-10-01,132.76
AVG,NAC,JPY,2017-11-01,132.39
AVG,NAC,JPY,2017-12-01,133.64
AVG,NAC,JPY,2018-01-01,135.25
AVG,NAC,JPY,2018-02-01,133.29
AVG,NAC,JPY,2018-03-01,130.86
AVG,NAC,JPY,2018-04-01,132.16
AVG,NAC,JPY,2018-05-01,129.57
AVG,NAC,JPY,2018-06-01,128.53
AVG,NAC,JPY,2018-07-01,130.23
AVG,NAC,JPY,2018-08-01,128.2
AVG,NAC,JPY,2018-09-01,130.54
AVG,NAC,MKD,2017-10-01,61.4829
AVG,NAC,MKD,2017-11-01,61.5047
AVG,NAC,MKD,2017-12-01,61.5558
AVG,NAC,MKD,2018-01-01,61.5114
AVG,NAC,MKD,2018-02-01,61.6424
AVG,NAC,MKD,2018-03-01,61.5299
AVG,NAC,MKD,2018-04-01,61.5006
AVG,NAC,MKD,2018-05-01,61.4977
AVG,NAC,MKD,2018-06-01,61.5018
AVG,NAC,MKD,2018-07-01,61.4924
AVG,NAC,MKD,2018-08-01,61.4921
AVG,NAC,MKD,2018-09-01,
AVG,NAC,NOK,2017-10-01,9.3976
AVG,NAC,NOK,2017-11-01,9.6082
AVG,NAC,NOK,2017-12-01,9.8412
AVG,NAC,NOK,2018-01-01,9.6464
AVG,NAC,NOK,2018-02-01,9.6711
AVG,NAC,NOK,2018-03-01,9.5848
AVG,NAC,NOK,2018-04-01,9.6202
AVG,NAC,NOK,2018-05-01,9.5642
AVG,NAC,NOK,2018-06-01,9.4746
AVG,NAC,NOK,2018-07-01,9.4975
AVG,NAC,NOK,2018-08-01,9.6161
AVG,NAC,NOK,2018-09-01,9.6205
AVG,NAC,PLN,2017-10-01,4.2627
AVG,NAC,PLN,2017-11-01,4.2268
AVG,NAC,PLN,2017-12-01,4.2032
AVG,NAC,PLN,2018-01-01,4.1632
AVG,NAC,PLN,2018-02-01,4.1653
AVG,NAC,PLN,2018-03-01,4.2092
AVG,NAC,PLN,2018-04-01,4.1937
AVG,NAC,PLN,2018-05-01,4.285
AVG,NAC,PLN,2018-06-01,4.3038
AVG,NAC,PLN,2018-07-01,4.3239
AVG,NAC,PLN,2018-08-01,4.2858
AVG,NAC,PLN,2018-09-01,4.3006
AVG,NAC,RON,2017-10-01,4.5895
AVG,NAC,RON,2017-11-01,4.6347
AVG,NAC,RON,2017-12-01,4.6348
AVG,NAC,RON,2018-01-01,4.6491
AVG,NAC,RON,2018-02-01,4.6559
AVG,NAC,RON,2018-03-01,4.6613
AVG,NAC,RON,2018-04-01,4.6578
AVG,NAC,RON,2018-05-01,4.6404
AVG,NAC,RON,2018-06-01,4.6623
AVG,NAC,RON,2018-07-01,4.6504
AVG,NAC,RON,2018-08-01,4.6439
AVG,NAC,RON,2018-09-01,4.6471
AVG,NAC,SEK,2017-10-01,9.6138
AVG,NAC,SEK,2017-11-01,9.8479
AVG,NAC,SEK,2017-12-01,9.937
AVG,NAC,SEK,2018-01-01,9.82
AVG,NAC,SEK,2018-02-01,9.9384
AVG,NAC,SEK,2018-03-01,10.1608
AVG,NAC,SEK,2018-04-01,10.3717
AVG,NAC,SEK,2018-05-01,10.3419
AVG,NAC,SEK,2018-06-01,10.2788
AVG,NAC,SEK,2018-07-01,10.3076
AVG,NAC,SEK,2018-08-01,10.4668
AVG,NAC,SEK,2018-09-01,10.4426
AVG,NAC,TRY,2017-10-01,4.3234
AVG,NAC,TRY,2017-11-01,4.5714
AVG,NAC,TRY,2017-12-01,4.5511
AVG,NAC,TRY,2018-01-01,4.6027
AVG,NAC,TRY,2018-02-01,4.6709
AVG,NAC,TRY,2018-03-01,4.7993
AVG,NAC,TRY,2018-04-01,5.0003
AVG,NAC,TRY,2018-05-01,5.2501
AVG,NAC,TRY,2018-06-01,5.4073
AVG,NAC,TRY,2018-07-01,5.5748
AVG,NAC,TRY,2018-08-01,6.8488
