exch_rt,unit,geotime,date,value
REER_IC42_CPI,I10,AT,2017-09-01,104.8
REER_IC42_CPI,I10,AT,2017-10-01,104.77
REER_IC42_CPI,I10,AT,2017-11-01,104.93
REER_IC42_CPI,I10,AT,2017-12-01,105.46
REER_IC42_CPI,I10,AT,2018-01-01,105.07
REER_IC42_CPI,I10,AT,2018-02-01,105.16
REER_IC42_CPI,I10,AT,2018-03-01,105.81
REER_IC42_CPI,I10,AT,2018-04-01,105.98
REER_IC42_CPI,I10,AT,2018-05-01,105.15
REER_IC42_CPI,I10,AT,2018-06-01,104.92
REER_IC42_CPI,I10,AT,2018-07-01,104.66
REER_IC42_CPI,I10,AT,2018-08-01,104.79
REER_IC42_CPI,I10,BE,2017-09-01,102.59
REER_IC42_CPI,I10,BE,2017-10-01,102.6
REER_IC42_CPI,I10,BE,2017-11-01,102.77
REER_IC42_CPI,I10,BE,2017-12-01,103.13
REER_IC42_CPI,I10,BE,2018-01-01,102.61
REER_IC42_CPI,I10,BE,2018-02-01,104.18
REER_IC42_CPI,I10,BE,2018-03-01,103.82
REER_IC42_CPI,I10,BE,2018-04-01,104.04
REER_IC42_CPI,I10,BE,2018-05-01,103.43
REER_IC42_CPI,I10,BE,2018-06-01,103.47
REER_IC42_CPI,I10,BE,2018-07-01,103.2
REER_IC42_CPI,I10,BE,2018-08-01,104.84
REER_IC42_CPI,I10,BG,2017-09-01,96.07
REER_IC42_CPI,I10,BG,2017-10-01,96.05
REER_IC42_CPI,I10,BG,2017-11-01,96.67
REER_IC42_CPI,I10,BG,2017-12-01,97.1
REER_IC42_CPI,I10,BG,2018-01-01,97.9
REER_IC42_CPI,I10,BG,2018-02-01,98.06
REER_IC42_CPI,I10,BG,2018-03-01,97.61
REER_IC42_CPI,I10,BG,2018-04-01,97.95
REER_IC42_CPI,I10,BG,2018-05-01,97.79
REER_IC42_CPI,I10,BG,2018-06-01,98.08
REER_IC42_CPI,I10,BG,2018-07-01,99.84
REER_IC42_CPI,I10,BG,2018-08-01,101.75
REER_IC42_CPI,I10,CH,2017-09-01,106.14
REER_IC42_CPI,I10,CH,2017-10-01,105.12
REER_IC42_CPI,I10,CH,2017-11-01,103.84
REER_IC42_CPI,I10,CH,2017-12-01,103.75
REER_IC42_CPI,I10,CH,2018-01-01,103.91
REER_IC42_CPI,I10,CH,2018-02-01,105.69
