na_item,s_adj,unit,geotime,date,value
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2015-07-01,45326.3
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2015-10-01,45736.8
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2016-01-01,45938.3
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2016-04-01,46433.5
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2016-07-01,46776.6
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2016-10-01,47266.5
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2017-01-01,47449.9
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2017-04-01,47875.3
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2017-07-01,48465.0
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2017-10-01,48758.8
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2018-01-01,49409.1
P31_S14_S15,SCA,MIO_EUR_SCA,AT,2018-04-01,49927.2
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2015-07-01,52565.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2015-10-01,52962.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2016-01-01,53417.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2016-04-01,54204.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2016-07-01,54434.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2016-10-01,54520.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2017-01-01,55527.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2017-04-01,55889.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2017-07-01,56192.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2017-10-01,56442.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2018-01-01,56948.0
P31_S14_S15,SCA,MIO_EUR_SCA,BE,2018-04-01,57275.0
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2015-07-01,7069.7
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2015-10-01,7198.9
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2016-01-01,7269.1
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2016-04-01,7138.8
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2016-07-01,7340.8
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2016-10-01,7481.1
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2017-01-01,7500.1
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2017-04-01,7711.6
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2017-07-01,7896.9
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2017-10-01,8125.8
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2018-01-01,8388.8
P31_S14_S15,SCA,MIO_EUR_SCA,BG,2018-04-01,8605.8
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2015-07-01,81546.4
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2015-10-01,80647.2
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2016-01-01,80078.4
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2016-04-01,80515.1
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2016-07-01,81252.8
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2016-10-01,82510.4
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2017-01-01,83636.0
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2017-04-01,82625.3
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2017-07-01,79654.6
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2017-10-01,77816.5
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2018-01-01,77940.2
P31_S14_S15,SCA,MIO_EUR_SCA,CH,2018-04-01,77746.5
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2015-07-01,3084.2
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2015-10-01,3116.7
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2016-01-01,3093.3
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2016-04-01,3131.7
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2016-07-01,3209.5
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2016-10-01,3264.4
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2017-01-01,3288.8
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2017-04-01,3306.6
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2017-07-01,3352.0
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2017-10-01,3383.8
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2018-01-01,3403.1
P31_S14_S15,SCA,MIO_EUR_SCA,CY,2018-04-01,3487.5
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2015-07-01,19956.6
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2015-10-01,20207.9
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2016-01-01,20348.8
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2016-04-01,20538.1
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2016-07-01,20846.5
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2016-10-01,21200.5
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2017-01-01,21591.2
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2017-04-01,22413.5
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2017-07-01,23163.2
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2017-10-01,23938.3
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2018-01-01,24577.3
P31_S14_S15,SCA,MIO_EUR_SCA,CZ,2018-04-01,24684.6
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2015-07-01,409743.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2015-10-01,412240.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2016-01-01,413987.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2016-04-01,416047.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2016-07-01,418721.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2016-10-01,423602.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2017-01-01,428831.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2017-04-01,432672.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2017-07-01,434601.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2017-10-01,437660.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2018-01-01,441594.0
P31_S14_S15,SCA,MIO_EUR_SCA,DE,2018-04-01,444482.0
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2015-07-01,32194.3
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2015-10-01,32351.0
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2016-01-01,32443.8
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2016-04-01,32847.3
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2016-07-01,32929.3
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2016-10-01,33387.4
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2017-01-01,33660.2
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2017-04-01,33826.5
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2017-07-01,33865.5
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2017-10-01,34216.1
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2018-01-01,34460.9
P31_S14_S15,SCA,MIO_EUR_SCA,DK,2018-04-01,34754.0
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2015-07-01,1441350.9
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2015-10-01,1448987.4
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2016-01-01,1453574.9
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2016-04-01,1462320.8
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2016-07-01,1469916.1
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2016-10-01,1486493.3
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2017-01-01,1500419.3
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2017-04-01,1510031.8
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2017-07-01,1518783.4
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2017-10-01,1531072.2
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2018-01-01,1543906.1
P31_S14_S15,SCA,MIO_EUR_SCA,EA,2018-04-01,1553153.0
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2015-07-01,1441350.9
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2015-10-01,1448987.4
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2016-01-01,1453574.9
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2016-04-01,1462320.8
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2016-07-01,1469916.1
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2016-10-01,1486493.3
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2017-01-01,1500419.3
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2017-04-01,1510031.8
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2017-07-01,1518783.4
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2017-10-01,1531072.2
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2018-01-01,1543906.1
P31_S14_S15,SCA,MIO_EUR_SCA,EA19,2018-04-01,1553153.0
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2015-07-01,2654.5
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2015-10-01,2674.0
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2016-01-01,2737.9
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2016-04-01,2766.0
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2016-07-01,2795.4
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2016-10-01,2834.8
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2017-01-01,2869.4
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2017-04-01,2930.5
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2017-07-01,3005.1
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2017-10-01,3034.7
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2018-01-01,3083.0
P31_S14_S15,SCA,MIO_EUR_SCA,EE,2018-04-01,3145.3
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2015-07-01,29735.6
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2015-10-01,30745.1
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2016-01-01,30309.3
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2016-04-01,30287.8
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2016-07-01,30521.8
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2016-10-01,30739.0
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2017-01-01,30968.3
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2017-04-01,30842.0
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2017-07-01,30809.2
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2017-10-01,30777.3
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2018-01-01,30964.4
P31_S14_S15,SCA,MIO_EUR_SCA,EL,2018-04-01,31197.5
P31_S14_S15,SCA,MIO_EUR_SCA,ES,2015-07-01,157633.0
P31_S14_S15,SCA,MIO_EUR_SCA,ES,2015-10-01,157821.0
P31_S14_S15,SCA,MIO_EUR_SCA,ES,2016-01-01,158667.0
P31_S14_S15,SCA,MIO_EUR_SCA,ES,2016-04-01,159735.0
P31_S14_S15,SCA,MIO_EUR_SCA,ES,2016-07-01,161782.0
P31_S14_S15,SCA,MIO_EUR_SCA,ES,2016-10-01,163397.0
