unit,na_item,geo\time,date,value
PCH_Q1_SCA,P31_S14_S15,AT,2015-07-01,0.0 
PCH_Q1_SCA,P31_S14_S15,AT,2015-10-01,0.6 
PCH_Q1_SCA,P31_S14_S15,AT,2016-01-01,0.1 
PCH_Q1_SCA,P31_S14_S15,AT,2016-04-01,0.8 
PCH_Q1_SCA,P31_S14_S15,AT,2016-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,AT,2016-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,AT,2017-01-01,-0.2 
PCH_Q1_SCA,P31_S14_S15,AT,2017-04-01,0.6 
PCH_Q1_SCA,P31_S14_S15,AT,2017-07-01,0.8 
PCH_Q1_SCA,P31_S14_S15,AT,2017-10-01,0.0 
PCH_Q1_SCA,P31_S14_S15,AT,2018-01-01,0.9 
PCH_Q1_SCA,P31_S14_S15,AT,2018-04-01,0.5 
PCH_Q1_SCA,P31_S14_S15,BE,2015-07-01,0.2 
PCH_Q1_SCA,P31_S14_S15,BE,2015-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,BE,2016-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,BE,2016-04-01,0.7 
PCH_Q1_SCA,P31_S14_S15,BE,2016-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,BE,2016-10-01,0.0 
PCH_Q1_SCA,P31_S14_S15,BE,2017-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,BE,2017-04-01,0.4 
PCH_Q1_SCA,P31_S14_S15,BE,2017-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,BE,2017-10-01,0.0 
PCH_Q1_SCA,P31_S14_S15,BE,2018-01-01,0.3 
PCH_Q1_SCA,P31_S14_S15,BE,2018-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,BG,2015-07-01,2.8 
PCH_Q1_SCA,P31_S14_S15,BG,2015-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,BG,2016-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,BG,2016-04-01,-0.5 
PCH_Q1_SCA,P31_S14_S15,BG,2016-07-01,1.0 
PCH_Q1_SCA,P31_S14_S15,BG,2016-10-01,2.2 
PCH_Q1_SCA,P31_S14_S15,BG,2017-01-01,0.3 
PCH_Q1_SCA,P31_S14_S15,BG,2017-04-01,1.3 
PCH_Q1_SCA,P31_S14_S15,BG,2017-07-01,1.2 
PCH_Q1_SCA,P31_S14_S15,BG,2017-10-01,2.1 
PCH_Q1_SCA,P31_S14_S15,BG,2018-01-01,2.2 p
PCH_Q1_SCA,P31_S14_S15,BG,2018-04-01,2.3 p
PCH_Q1_SCA,P31_S14_S15,CH,2015-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,CH,2015-10-01,0.1 
PCH_Q1_SCA,P31_S14_S15,CH,2016-01-01,0.5 
PCH_Q1_SCA,P31_S14_S15,CH,2016-04-01,0.4 
PCH_Q1_SCA,P31_S14_S15,CH,2016-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,CH,2016-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,CH,2017-01-01,0.0 
PCH_Q1_SCA,P31_S14_S15,CH,2017-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,CH,2017-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,CH,2017-10-01,0.1 
PCH_Q1_SCA,P31_S14_S15,CH,2018-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,CH,2018-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,CY,2015-07-01,1.3 
PCH_Q1_SCA,P31_S14_S15,CY,2015-10-01,1.1 
PCH_Q1_SCA,P31_S14_S15,CY,2016-01-01,0.7 
PCH_Q1_SCA,P31_S14_S15,CY,2016-04-01,1.5 
PCH_Q1_SCA,P31_S14_S15,CY,2016-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,CY,2016-10-01,2.2 
PCH_Q1_SCA,P31_S14_S15,CY,2017-01-01,-0.2 
PCH_Q1_SCA,P31_S14_S15,CY,2017-04-01,0.7 
PCH_Q1_SCA,P31_S14_S15,CY,2017-07-01,1.6 
PCH_Q1_SCA,P31_S14_S15,CY,2017-10-01,1.2 
PCH_Q1_SCA,P31_S14_S15,CY,2018-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,CY,2018-04-01,1.7 
PCH_Q1_SCA,P31_S14_S15,CZ,2015-07-01,1.0 
PCH_Q1_SCA,P31_S14_S15,CZ,2015-10-01,1.3 
PCH_Q1_SCA,P31_S14_S15,CZ,2016-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,CZ,2016-04-01,0.6 
PCH_Q1_SCA,P31_S14_S15,CZ,2016-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,CZ,2016-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,CZ,2017-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,CZ,2017-04-01,1.6 
PCH_Q1_SCA,P31_S14_S15,CZ,2017-07-01,0.9 
PCH_Q1_SCA,P31_S14_S15,CZ,2017-10-01,0.9 
PCH_Q1_SCA,P31_S14_S15,CZ,2018-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,CZ,2018-04-01,0.7 
PCH_Q1_SCA,P31_S14_S15,DE,2015-07-01,0.7 
PCH_Q1_SCA,P31_S14_S15,DE,2015-10-01,0.6 
PCH_Q1_SCA,P31_S14_S15,DE,2016-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,DE,2016-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,DE,2016-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,DE,2016-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,DE,2017-01-01,0.7 
PCH_Q1_SCA,P31_S14_S15,DE,2017-04-01,0.8 
PCH_Q1_SCA,P31_S14_S15,DE,2017-07-01,0.1 
PCH_Q1_SCA,P31_S14_S15,DE,2017-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,DE,2018-01-01,0.5 
PCH_Q1_SCA,P31_S14_S15,DE,2018-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,DK,2015-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,DK,2015-10-01,0.3 
PCH_Q1_SCA,P31_S14_S15,DK,2016-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,DK,2016-04-01,0.6 
PCH_Q1_SCA,P31_S14_S15,DK,2016-07-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,DK,2016-10-01,1.5 
PCH_Q1_SCA,P31_S14_S15,DK,2017-01-01,0.2 
PCH_Q1_SCA,P31_S14_S15,DK,2017-04-01,0.4 
PCH_Q1_SCA,P31_S14_S15,DK,2017-07-01,-1.0 
PCH_Q1_SCA,P31_S14_S15,DK,2017-10-01,1.5 
PCH_Q1_SCA,P31_S14_S15,DK,2018-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,DK,2018-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EA,2015-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EA,2015-10-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EA,2016-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EA,2016-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EA,2016-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EA,2016-10-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EA,2017-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EA,2017-04-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EA,2017-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EA,2017-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,EA,2018-01-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EA,2018-04-01,0.2 
PCH_Q1_SCA,P31_S14_S15,EA19,2015-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EA19,2015-10-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EA19,2016-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EA19,2016-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EA19,2016-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EA19,2016-10-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EA19,2017-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EA19,2017-04-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EA19,2017-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EA19,2017-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,EA19,2018-01-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EA19,2018-04-01,0.2 
PCH_Q1_SCA,P31_S14_S15,EE,2015-07-01,0.8 
PCH_Q1_SCA,P31_S14_S15,EE,2015-10-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EE,2016-01-01,2.2 
PCH_Q1_SCA,P31_S14_S15,EE,2016-04-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EE,2016-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EE,2016-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,EE,2017-01-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,EE,2017-04-01,1.1 
PCH_Q1_SCA,P31_S14_S15,EE,2017-07-01,1.2 
PCH_Q1_SCA,P31_S14_S15,EE,2017-10-01,0.8 
PCH_Q1_SCA,P31_S14_S15,EE,2018-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,EE,2018-04-01,1.2 
PCH_Q1_SCA,P31_S14_S15,EL,2015-07-01,-5.1 
PCH_Q1_SCA,P31_S14_S15,EL,2015-10-01,3.8 
PCH_Q1_SCA,P31_S14_S15,EL,2016-01-01,-0.5 
PCH_Q1_SCA,P31_S14_S15,EL,2016-04-01,-0.2 
PCH_Q1_SCA,P31_S14_S15,EL,2016-07-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EL,2016-10-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EL,2017-01-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,EL,2017-04-01,-0.4 
PCH_Q1_SCA,P31_S14_S15,EL,2017-07-01,-0.1 p
PCH_Q1_SCA,P31_S14_S15,EL,2017-10-01,0.0 p
PCH_Q1_SCA,P31_S14_S15,EL,2018-01-01,0.5 p
PCH_Q1_SCA,P31_S14_S15,EL,2018-04-01,0.6 p
PCH_Q1_SCA,P31_S14_S15,ES,2015-07-01,1.2 
PCH_Q1_SCA,P31_S14_S15,ES,2015-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,ES,2016-01-01,0.8 p
PCH_Q1_SCA,P31_S14_S15,ES,2016-04-01,0.6 p
PCH_Q1_SCA,P31_S14_S15,ES,2016-07-01,0.8 p
PCH_Q1_SCA,P31_S14_S15,ES,2016-10-01,0.3 p
PCH_Q1_SCA,P31_S14_S15,ES,2017-01-01,0.5 p
PCH_Q1_SCA,P31_S14_S15,ES,2017-04-01,0.8 p
PCH_Q1_SCA,P31_S14_S15,ES,2017-07-01,0.9 p
PCH_Q1_SCA,P31_S14_S15,ES,2017-10-01,0.4 p
PCH_Q1_SCA,P31_S14_S15,ES,2018-01-01,0.9 p
PCH_Q1_SCA,P31_S14_S15,ES,2018-04-01,0.1 p
PCH_Q1_SCA,P31_S14_S15,EU28,2015-07-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EU28,2015-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EU28,2016-01-01,0.8 
PCH_Q1_SCA,P31_S14_S15,EU28,2016-04-01,0.4 
PCH_Q1_SCA,P31_S14_S15,EU28,2016-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EU28,2016-10-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EU28,2017-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EU28,2017-04-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EU28,2017-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,EU28,2017-10-01,0.3 
PCH_Q1_SCA,P31_S14_S15,EU28,2018-01-01,0.6 
PCH_Q1_SCA,P31_S14_S15,EU28,2018-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,FI,2015-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,FI,2015-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,FI,2016-01-01,1.3 
PCH_Q1_SCA,P31_S14_S15,FI,2016-04-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,FI,2016-07-01,0.6 
PCH_Q1_SCA,P31_S14_S15,FI,2016-10-01,0.1 
PCH_Q1_SCA,P31_S14_S15,FI,2017-01-01,0.2 
PCH_Q1_SCA,P31_S14_S15,FI,2017-04-01,0.4 
PCH_Q1_SCA,P31_S14_S15,FI,2017-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,FI,2017-10-01,0.8 
PCH_Q1_SCA,P31_S14_S15,FI,2018-01-01,0.1 
PCH_Q1_SCA,P31_S14_S15,FI,2018-04-01,0.7 
PCH_Q1_SCA,P31_S14_S15,FR,2015-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,FR,2015-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,FR,2016-01-01,1.1 
PCH_Q1_SCA,P31_S14_S15,FR,2016-04-01,0.4 
PCH_Q1_SCA,P31_S14_S15,FR,2016-07-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,FR,2016-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,FR,2017-01-01,0.0 
PCH_Q1_SCA,P31_S14_S15,FR,2017-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,FR,2017-07-01,0.4 
PCH_Q1_SCA,P31_S14_S15,FR,2017-10-01,0.2 
PCH_Q1_SCA,P31_S14_S15,FR,2018-01-01,0.2 
PCH_Q1_SCA,P31_S14_S15,FR,2018-04-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,HR,2015-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,HR,2015-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HR,2016-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HR,2016-04-01,0.7 
PCH_Q1_SCA,P31_S14_S15,HR,2016-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,HR,2016-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HR,2017-01-01,0.7 
PCH_Q1_SCA,P31_S14_S15,HR,2017-04-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HR,2017-07-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HR,2017-10-01,0.8 
PCH_Q1_SCA,P31_S14_S15,HR,2018-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HR,2018-04-01,0.7 
PCH_Q1_SCA,P31_S14_S15,HU,2015-07-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HU,2015-10-01,1.1 
PCH_Q1_SCA,P31_S14_S15,HU,2016-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,HU,2016-04-01,0.9 
PCH_Q1_SCA,P31_S14_S15,HU,2016-07-01,0.9 
PCH_Q1_SCA,P31_S14_S15,HU,2016-10-01,1.1 
PCH_Q1_SCA,P31_S14_S15,HU,2017-01-01,1.1 
PCH_Q1_SCA,P31_S14_S15,HU,2017-04-01,1.4 
PCH_Q1_SCA,P31_S14_S15,HU,2017-07-01,1.4 
PCH_Q1_SCA,P31_S14_S15,HU,2017-10-01,1.5 
PCH_Q1_SCA,P31_S14_S15,HU,2018-01-01,1.3 
PCH_Q1_SCA,P31_S14_S15,HU,2018-04-01,1.3 
PCH_Q1_SCA,P31_S14_S15,IE,2015-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,IE,2015-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,IE,2016-01-01,2.7 
PCH_Q1_SCA,P31_S14_S15,IE,2016-04-01,-0.3 
PCH_Q1_SCA,P31_S14_S15,IE,2016-07-01,0.0 
PCH_Q1_SCA,P31_S14_S15,IE,2016-10-01,0.9 
PCH_Q1_SCA,P31_S14_S15,IE,2017-01-01,0.5 
PCH_Q1_SCA,P31_S14_S15,IE,2017-04-01,-0.9 
PCH_Q1_SCA,P31_S14_S15,IE,2017-07-01,2.5 
PCH_Q1_SCA,P31_S14_S15,IE,2017-10-01,0.7 
PCH_Q1_SCA,P31_S14_S15,IE,2018-01-01,0.0 
PCH_Q1_SCA,P31_S14_S15,IE,2018-04-01,1.5 
PCH_Q1_SCA,P31_S14_S15,IT,2015-07-01,0.7 
PCH_Q1_SCA,P31_S14_S15,IT,2015-10-01,0.4 
PCH_Q1_SCA,P31_S14_S15,IT,2016-01-01,0.0 
PCH_Q1_SCA,P31_S14_S15,IT,2016-04-01,0.2 
PCH_Q1_SCA,P31_S14_S15,IT,2016-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,IT,2016-10-01,0.3 
PCH_Q1_SCA,P31_S14_S15,IT,2017-01-01,0.8 
PCH_Q1_SCA,P31_S14_S15,IT,2017-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,IT,2017-07-01,0.3 
PCH_Q1_SCA,P31_S14_S15,IT,2017-10-01,0.1 
PCH_Q1_SCA,P31_S14_S15,IT,2018-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,IT,2018-04-01,0.0 
PCH_Q1_SCA,P31_S14_S15,LT,2015-07-01,2.3 
PCH_Q1_SCA,P31_S14_S15,LT,2015-10-01,0.6 
PCH_Q1_SCA,P31_S14_S15,LT,2016-01-01,0.3 
PCH_Q1_SCA,P31_S14_S15,LT,2016-04-01,2.4 
PCH_Q1_SCA,P31_S14_S15,LT,2016-07-01,1.6 
PCH_Q1_SCA,P31_S14_S15,LT,2016-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,LT,2017-01-01,0.4 
PCH_Q1_SCA,P31_S14_S15,LT,2017-04-01,1.0 
PCH_Q1_SCA,P31_S14_S15,LT,2017-07-01,-0.3 
PCH_Q1_SCA,P31_S14_S15,LT,2017-10-01,1.5 
PCH_Q1_SCA,P31_S14_S15,LT,2018-01-01,1.0 
PCH_Q1_SCA,P31_S14_S15,LT,2018-04-01,2.2 
PCH_Q1_SCA,P31_S14_S15,LU,2015-07-01,0.5 
PCH_Q1_SCA,P31_S14_S15,LU,2015-10-01,0.0 
PCH_Q1_SCA,P31_S14_S15,LU,2016-01-01,0.0 
PCH_Q1_SCA,P31_S14_S15,LU,2016-04-01,1.2 
PCH_Q1_SCA,P31_S14_S15,LU,2016-07-01,-0.7 
PCH_Q1_SCA,P31_S14_S15,LU,2016-10-01,3.0 
PCH_Q1_SCA,P31_S14_S15,LU,2017-01-01,-1.0 
PCH_Q1_SCA,P31_S14_S15,LU,2017-04-01,1.2 
PCH_Q1_SCA,P31_S14_S15,LU,2017-07-01,1.3 
PCH_Q1_SCA,P31_S14_S15,LU,2017-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,LU,2018-01-01,1.2 
PCH_Q1_SCA,P31_S14_S15,LU,2018-04-01,0.1 
PCH_Q1_SCA,P31_S14_S15,LV,2015-07-01,1.1 
PCH_Q1_SCA,P31_S14_S15,LV,2015-10-01,-0.8 
PCH_Q1_SCA,P31_S14_S15,LV,2016-01-01,0.8 
PCH_Q1_SCA,P31_S14_S15,LV,2016-04-01,0.3 
PCH_Q1_SCA,P31_S14_S15,LV,2016-07-01,-0.2 
PCH_Q1_SCA,P31_S14_S15,LV,2016-10-01,1.3 
PCH_Q1_SCA,P31_S14_S15,LV,2017-01-01,1.2 
PCH_Q1_SCA,P31_S14_S15,LV,2017-04-01,0.8 
PCH_Q1_SCA,P31_S14_S15,LV,2017-07-01,1.7 
PCH_Q1_SCA,P31_S14_S15,LV,2017-10-01,1.0 
PCH_Q1_SCA,P31_S14_S15,LV,2018-01-01,0.9 
PCH_Q1_SCA,P31_S14_S15,LV,2018-04-01,1.1 
PCH_Q1_SCA,P31_S14_S15,MT,2015-07-01,3.2 
PCH_Q1_SCA,P31_S14_S15,MT,2015-10-01,-0.1 
PCH_Q1_SCA,P31_S14_S15,MT,2016-01-01,0.0 
