unit,s_adj,na_item,geotime,date,value
CLV_PCH_PRE,SCA,P311_S14,AT,2015-07-01,0.1
CLV_PCH_PRE,SCA,P311_S14,AT,2015-10-01,0.8
CLV_PCH_PRE,SCA,P311_S14,AT,2016-01-01,2.3
CLV_PCH_PRE,SCA,P311_S14,AT,2016-04-01,0.1
CLV_PCH_PRE,SCA,P311_S14,AT,2016-07-01,-0.6
CLV_PCH_PRE,SCA,P311_S14,AT,2016-10-01,1.7
CLV_PCH_PRE,SCA,P311_S14,AT,2017-01-01,-1.8
CLV_PCH_PRE,SCA,P311_S14,AT,2017-04-01,1.4
CLV_PCH_PRE,SCA,P311_S14,AT,2017-07-01,0.6
CLV_PCH_PRE,SCA,P311_S14,AT,2017-10-01,0.0
CLV_PCH_PRE,SCA,P311_S14,AT,2018-01-01,0.7
CLV_PCH_PRE,SCA,P311_S14,AT,2018-04-01,-2.0
CLV_PCH_PRE,SCA,P311_S14,BE,2015-07-01,0.4
CLV_PCH_PRE,SCA,P311_S14,BE,2015-10-01,2.2
CLV_PCH_PRE,SCA,P311_S14,BE,2016-01-01,0.3
CLV_PCH_PRE,SCA,P311_S14,BE,2016-04-01,4.5
CLV_PCH_PRE,SCA,P311_S14,BE,2016-07-01,-0.2
CLV_PCH_PRE,SCA,P311_S14,BE,2016-10-01,-1.1
CLV_PCH_PRE,SCA,P311_S14,BE,2017-01-01,0.4
CLV_PCH_PRE,SCA,P311_S14,BE,2017-04-01,0.3
CLV_PCH_PRE,SCA,P311_S14,BE,2017-07-01,0.3
CLV_PCH_PRE,SCA,P311_S14,BE,2017-10-01,-1.4
CLV_PCH_PRE,SCA,P311_S14,BE,2018-01-01,2.0
CLV_PCH_PRE,SCA,P311_S14,BE,2018-04-01,1.6
CLV_PCH_PRE,SCA,P311_S14,BG,2015-07-01,4.5
CLV_PCH_PRE,SCA,P311_S14,BG,2015-10-01,0.2
CLV_PCH_PRE,SCA,P311_S14,BG,2016-01-01,-1.9
CLV_PCH_PRE,SCA,P311_S14,BG,2016-04-01,1.4
CLV_PCH_PRE,SCA,P311_S14,BG,2016-07-01,2.8
CLV_PCH_PRE,SCA,P311_S14,BG,2016-10-01,5.9
CLV_PCH_PRE,SCA,P311_S14,BG,2017-01-01,-34.4
CLV_PCH_PRE,SCA,P311_S14,BG,2017-04-01,5.5
CLV_PCH_PRE,SCA,P311_S14,BG,2017-07-01,8.4
CLV_PCH_PRE,SCA,P311_S14,BG,2017-10-01,8.8
CLV_PCH_PRE,SCA,P311_S14,BG,2018-01-01,13.3
CLV_PCH_PRE,SCA,P311_S14,BG,2018-04-01,12.4
CLV_PCH_PRE,SCA,P311_S14,CZ,2015-07-01,1.5
CLV_PCH_PRE,SCA,P311_S14,CZ,2015-10-01,2.5
CLV_PCH_PRE,SCA,P311_S14,CZ,2016-01-01,2.9
CLV_PCH_PRE,SCA,P311_S14,CZ,2016-04-01,-0.8
CLV_PCH_PRE,SCA,P311_S14,CZ,2016-07-01,3.5
CLV_PCH_PRE,SCA,P311_S14,CZ,2016-10-01,0.3
CLV_PCH_PRE,SCA,P311_S14,CZ,2017-01-01,3.6
CLV_PCH_PRE,SCA,P311_S14,CZ,2017-04-01,3.3
CLV_PCH_PRE,SCA,P311_S14,CZ,2017-07-01,3.2
CLV_PCH_PRE,SCA,P311_S14,CZ,2017-10-01,-0.2
CLV_PCH_PRE,SCA,P311_S14,CZ,2018-01-01,2.3
CLV_PCH_PRE,SCA,P311_S14,CZ,2018-04-01,0.5
CLV_PCH_PRE,SCA,P311_S14,DE,2015-07-01,1.2
CLV_PCH_PRE,SCA,P311_S14,DE,2015-10-01,0.6
CLV_PCH_PRE,SCA,P311_S14,DE,2016-01-01,2.6
CLV_PCH_PRE,SCA,P311_S14,DE,2016-04-01,-0.5
CLV_PCH_PRE,SCA,P311_S14,DE,2016-07-01,1.6
CLV_PCH_PRE,SCA,P311_S14,DE,2016-10-01,0.2
CLV_PCH_PRE,SCA,P311_S14,DE,2017-01-01,1.9
CLV_PCH_PRE,SCA,P311_S14,DE,2017-04-01,0.9
CLV_PCH_PRE,SCA,P311_S14,DE,2017-07-01,1.1
CLV_PCH_PRE,SCA,P311_S14,DE,2017-10-01,0.5
CLV_PCH_PRE,SCA,P311_S14,DE,2018-01-01,1.0
CLV_PCH_PRE,SCA,P311_S14,DE,2018-04-01,-1.4
CLV_PCH_PRE,SCA,P311_S14,DK,2015-07-01,4.0
CLV_PCH_PRE,SCA,P311_S14,DK,2015-10-01,1.3
