na_item,s_adj,unit,geo\time,date,value
P3_S13,SCA,MIO_EUR_SCA,AT,2015-07-01,17025.5
P3_S13,SCA,MIO_EUR_SCA,AT,2015-10-01,17246.3
P3_S13,SCA,MIO_EUR_SCA,AT,2016-01-01,17378.5 
P3_S13,SCA,MIO_EUR_SCA,AT,2016-04-01,17430.6 
P3_S13,SCA,MIO_EUR_SCA,AT,2016-07-01,17593.6 
P3_S13,SCA,MIO_EUR_SCA,AT,2016-10-01,17849.3 
P3_S13,SCA,MIO_EUR_SCA,AT,2017-01-01,17973.6 
P3_S13,SCA,MIO_EUR_SCA,AT,2017-04-01,17998.2 
P3_S13,SCA,MIO_EUR_SCA,AT,2017-07-01,18189.8 
P3_S13,SCA,MIO_EUR_SCA,AT,2017-10-01,18160.0 
P3_S13,SCA,MIO_EUR_SCA,AT,2018-01-01,18338.7 
P3_S13,SCA,MIO_EUR_SCA,AT,2018-04-01,18657.3 
P3_S13,SCA,MIO_EUR_SCA,BE,2015-07-01,24459.0
P3_S13,SCA,MIO_EUR_SCA,BE,2015-10-01,24626.0
P3_S13,SCA,MIO_EUR_SCA,BE,2016-01-01,24669.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2016-04-01,24645.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2016-07-01,24814.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2016-10-01,25113.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2017-01-01,25304.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2017-04-01,25540.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2017-07-01,25707.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2017-10-01,25861.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2018-01-01,25940.0 
P3_S13,SCA,MIO_EUR_SCA,BE,2018-04-01,26153.0 
P3_S13,SCA,MIO_EUR_SCA,BG,2015-07-01,1789.3
P3_S13,SCA,MIO_EUR_SCA,BG,2015-10-01,1841.6
P3_S13,SCA,MIO_EUR_SCA,BG,2016-01-01,1778.6 
P3_S13,SCA,MIO_EUR_SCA,BG,2016-04-01,1818.8 
P3_S13,SCA,MIO_EUR_SCA,BG,2016-07-01,1926.4 
P3_S13,SCA,MIO_EUR_SCA,BG,2016-10-01,2022.8 
P3_S13,SCA,MIO_EUR_SCA,BG,2017-01-01,2034.1 
P3_S13,SCA,MIO_EUR_SCA,BG,2017-04-01,1981.1 
P3_S13,SCA,MIO_EUR_SCA,BG,2017-07-01,2043.8 
P3_S13,SCA,MIO_EUR_SCA,BG,2017-10-01,2052.4 
P3_S13,SCA,MIO_EUR_SCA,BG,2018-01-01,2151.7 p
P3_S13,SCA,MIO_EUR_SCA,BG,2018-04-01,2213.4 p
P3_S13,SCA,MIO_EUR_SCA,CH,2015-07-01,18192.7
P3_S13,SCA,MIO_EUR_SCA,CH,2015-10-01,18049.0
P3_S13,SCA,MIO_EUR_SCA,CH,2016-01-01,17973.7 
P3_S13,SCA,MIO_EUR_SCA,CH,2016-04-01,18062.4 
P3_S13,SCA,MIO_EUR_SCA,CH,2016-07-01,18196.4 
P3_S13,SCA,MIO_EUR_SCA,CH,2016-10-01,18383.4 
P3_S13,SCA,MIO_EUR_SCA,CH,2017-01-01,18600.0 
P3_S13,SCA,MIO_EUR_SCA,CH,2017-04-01,18402.0 
P3_S13,SCA,MIO_EUR_SCA,CH,2017-07-01,17727.6 
P3_S13,SCA,MIO_EUR_SCA,CH,2017-10-01,17391.5 
P3_S13,SCA,MIO_EUR_SCA,CH,2018-01-01,17416.2 
P3_S13,SCA,MIO_EUR_SCA,CH,2018-04-01,17374.0 
P3_S13,SCA,MIO_EUR_SCA,CY,2015-07-01,721.0
P3_S13,SCA,MIO_EUR_SCA,CY,2015-10-01,707.0
P3_S13,SCA,MIO_EUR_SCA,CY,2016-01-01,707.1 
P3_S13,SCA,MIO_EUR_SCA,CY,2016-04-01,692.9 
P3_S13,SCA,MIO_EUR_SCA,CY,2016-07-01,719.6 
P3_S13,SCA,MIO_EUR_SCA,CY,2016-10-01,709.7 
P3_S13,SCA,MIO_EUR_SCA,CY,2017-01-01,736.1 
P3_S13,SCA,MIO_EUR_SCA,CY,2017-04-01,748.5 
P3_S13,SCA,MIO_EUR_SCA,CY,2017-07-01,733.3 
P3_S13,SCA,MIO_EUR_SCA,CY,2017-10-01,750.6 
P3_S13,SCA,MIO_EUR_SCA,CY,2018-01-01,732.0 
P3_S13,SCA,MIO_EUR_SCA,CY,2018-04-01,745.7 
P3_S13,SCA,MIO_EUR_SCA,CZ,2015-07-01,8274.9
P3_S13,SCA,MIO_EUR_SCA,CZ,2015-10-01,8304.4
P3_S13,SCA,MIO_EUR_SCA,CZ,2016-01-01,8319.1 
P3_S13,SCA,MIO_EUR_SCA,CZ,2016-04-01,8456.3 
P3_S13,SCA,MIO_EUR_SCA,CZ,2016-07-01,8566.9 
P3_S13,SCA,MIO_EUR_SCA,CZ,2016-10-01,8639.5 
P3_S13,SCA,MIO_EUR_SCA,CZ,2017-01-01,8744.5 
P3_S13,SCA,MIO_EUR_SCA,CZ,2017-04-01,9055.1 
P3_S13,SCA,MIO_EUR_SCA,CZ,2017-07-01,9319.9 
P3_S13,SCA,MIO_EUR_SCA,CZ,2017-10-01,9708.1 
P3_S13,SCA,MIO_EUR_SCA,CZ,2018-01-01,10230.6 
P3_S13,SCA,MIO_EUR_SCA,CZ,2018-04-01,10217.2 
P3_S13,SCA,MIO_EUR_SCA,DE,2015-07-01,147840.0
P3_S13,SCA,MIO_EUR_SCA,DE,2015-10-01,149602.0
P3_S13,SCA,MIO_EUR_SCA,DE,2016-01-01,152263.0 
P3_S13,SCA,MIO_EUR_SCA,DE,2016-04-01,153674.0 
