na_item,unit,geotime,date,value
P51G,PCH_Q1_SCA,AT,2015-07-01,1
P51G,PCH_Q1_SCA,AT,2015-10-01,0
P51G,PCH_Q1_SCA,AT,2016-01-01,2
P51G,PCH_Q1_SCA,AT,2016-04-01,0
P51G,PCH_Q1_SCA,AT,2016-07-01,0
P51G,PCH_Q1_SCA,AT,2016-10-01,1
P51G,PCH_Q1_SCA,AT,2017-01-01,1
P51G,PCH_Q1_SCA,AT,2017-04-01,0
P51G,PCH_Q1_SCA,AT,2017-07-01,0
P51G,PCH_Q1_SCA,AT,2017-10-01,1
P51G,PCH_Q1_SCA,AT,2018-01-01,0
P51G,PCH_Q1_SCA,AT,2018-04-01,2
P51G,PCH_Q1_SCA,BE,2015-07-01,2
P51G,PCH_Q1_SCA,BE,2015-10-01,1
P51G,PCH_Q1_SCA,BE,2016-01-01,1
P51G,PCH_Q1_SCA,BE,2016-04-01,0
P51G,PCH_Q1_SCA,BE,2016-07-01,7
P51G,PCH_Q1_SCA,BE,2016-10-01,5
P51G,PCH_Q1_SCA,BE,2017-01-01,0
P51G,PCH_Q1_SCA,BE,2017-04-01,1
P51G,PCH_Q1_SCA,BE,2017-07-01,0
P51G,PCH_Q1_SCA,BE,2017-10-01,0
P51G,PCH_Q1_SCA,BE,2018-01-01,0
P51G,PCH_Q1_SCA,BE,2018-04-01,0
P51G,PCH_Q1_SCA,BG,2015-07-01,3
P51G,PCH_Q1_SCA,BG,2015-10-01,0
P51G,PCH_Q1_SCA,BG,2016-01-01,5
P51G,PCH_Q1_SCA,BG,2016-04-01,2
P51G,PCH_Q1_SCA,BG,2016-07-01,0
P51G,PCH_Q1_SCA,BG,2016-10-01,0
P51G,PCH_Q1_SCA,BG,2017-01-01,1
P51G,PCH_Q1_SCA,BG,2017-04-01,4
P51G,PCH_Q1_SCA,BG,2017-07-01,1
P51G,PCH_Q1_SCA,BG,2017-10-01,3
P51G,PCH_Q1_SCA,BG,2018-01-01,4
P51G,PCH_Q1_SCA,BG,2018-04-01,1
P51G,PCH_Q1_SCA,CH,2015-07-01,0
P51G,PCH_Q1_SCA,CH,2015-10-01,0
P51G,PCH_Q1_SCA,CH,2016-01-01,2
P51G,PCH_Q1_SCA,CH,2016-04-01,1
P51G,PCH_Q1_SCA,CH,2016-07-01,0
P51G,PCH_Q1_SCA,CH,2016-10-01,0
P51G,PCH_Q1_SCA,CH,2017-01-01,2
P51G,PCH_Q1_SCA,CH,2017-04-01,0
P51G,PCH_Q1_SCA,CH,2017-07-01,0
P51G,PCH_Q1_SCA,CH,2017-10-01,0
P51G,PCH_Q1_SCA,CH,2018-01-01,1
P51G,PCH_Q1_SCA,CH,2018-04-01,0
P51G,PCH_Q1_SCA,CY,2015-07-01,9
P51G,PCH_Q1_SCA,CY,2015-10-01,51
P51G,PCH_Q1_SCA,CY,2016-01-01,61
P51G,PCH_Q1_SCA,CY,2016-04-01,328
P51G,PCH_Q1_SCA,CY,2016-07-01,52
P51G,PCH_Q1_SCA,CY,2016-10-01,73
P51G,PCH_Q1_SCA,CY,2017-01-01,3
P51G,PCH_Q1_SCA,CY,2017-04-01,30
P51G,PCH_Q1_SCA,CY,2017-07-01,1
P51G,PCH_Q1_SCA,CY,2017-10-01,136
P51G,PCH_Q1_SCA,CY,2018-01-01,76
P51G,PCH_Q1_SCA,CY,2018-04-01,167
P51G,PCH_Q1_SCA,CZ,2015-07-01,0
P51G,PCH_Q1_SCA,CZ,2015-10-01,0
P51G,PCH_Q1_SCA,CZ,2016-01-01,3
P51G,PCH_Q1_SCA,CZ,2016-04-01,3
P51G,PCH_Q1_SCA,CZ,2016-07-01,1
P51G,PCH_Q1_SCA,CZ,2016-10-01,0
P51G,PCH_Q1_SCA,CZ,2017-01-01,0
P51G,PCH_Q1_SCA,CZ,2017-04-01,4
P51G,PCH_Q1_SCA,CZ,2017-07-01,1
P51G,PCH_Q1_SCA,CZ,2017-10-01,0
P51G,PCH_Q1_SCA,CZ,2018-01-01,4
P51G,PCH_Q1_SCA,CZ,2018-04-01,1
P51G,PCH_Q1_SCA,DE,2015-07-01,0
