na_item,s_adj,unit,nace_r2,geotime,date,value
D1,SCA,CP_MEUR,A,AT,2015-07-01,170.8 
D1,SCA,CP_MEUR,A,AT,2015-10-01,169.0 
D1,SCA,CP_MEUR,A,AT,2016-01-01,170.7 
D1,SCA,CP_MEUR,A,AT,2016-04-01,171.8 
D1,SCA,CP_MEUR,A,AT,2016-07-01,171.6 
D1,SCA,CP_MEUR,A,AT,2016-10-01,175.1 
D1,SCA,CP_MEUR,A,AT,2017-01-01,176.7 
D1,SCA,CP_MEUR,A,AT,2017-04-01,175.8 
D1,SCA,CP_MEUR,A,AT,2017-07-01,178.7 
D1,SCA,CP_MEUR,A,AT,2017-10-01,181.2 
D1,SCA,CP_MEUR,A,AT,2018-01-01,183.0 
D1,SCA,CP_MEUR,A,AT,2018-04-01,188.4 
D1,SCA,CP_MEUR,A,BE,2015-07-01,141.0 
D1,SCA,CP_MEUR,A,BE,2015-10-01,143.0 
D1,SCA,CP_MEUR,A,BE,2016-01-01,142.0 
D1,SCA,CP_MEUR,A,BE,2016-04-01,141.0 
D1,SCA,CP_MEUR,A,BE,2016-07-01,143.0 
D1,SCA,CP_MEUR,A,BE,2016-10-01,145.0 
D1,SCA,CP_MEUR,A,BE,2017-01-01,149.0 
D1,SCA,CP_MEUR,A,BE,2017-04-01,151.0 
D1,SCA,CP_MEUR,A,BE,2017-07-01,152.0 
D1,SCA,CP_MEUR,A,BE,2017-10-01,153.0 
D1,SCA,CP_MEUR,A,BE,2018-01-01,156.0 
D1,SCA,CP_MEUR,A,BE,2018-04-01,158.0 
D1,SCA,CP_MEUR,A,BG,2015-07-01,133.2 
D1,SCA,CP_MEUR,A,BG,2015-10-01,133.5 
D1,SCA,CP_MEUR,A,BG,2016-01-01,133.6 
D1,SCA,CP_MEUR,A,BG,2016-04-01,136.3 
D1,SCA,CP_MEUR,A,BG,2016-07-01,137.8 
D1,SCA,CP_MEUR,A,BG,2016-10-01,139.6 
D1,SCA,CP_MEUR,A,BG,2017-01-01,144.8 
D1,SCA,CP_MEUR,A,BG,2017-04-01,148.2 
D1,SCA,CP_MEUR,A,BG,2017-07-01,152.0 
D1,SCA,CP_MEUR,A,BG,2017-10-01,155.0 
D1,SCA,CP_MEUR,A,BG,2018-01-01,156.9 p
D1,SCA,CP_MEUR,A,BG,2018-04-01,161.4 p
D1,SCA,CP_MEUR,A,CY,2015-07-01,20.8 
D1,SCA,CP_MEUR,A,CY,2015-10-01,21.5 
D1,SCA,CP_MEUR,A,CY,2016-01-01,21.7 
D1,SCA,CP_MEUR,A,CY,2016-04-01,22.7 
D1,SCA,CP_MEUR,A,CY,2016-07-01,22.9 
D1,SCA,CP_MEUR,A,CY,2016-10-01,23.3 
D1,SCA,CP_MEUR,A,CY,2017-01-01,22.3 
D1,SCA,CP_MEUR,A,CY,2017-04-01,22.4 
D1,SCA,CP_MEUR,A,CY,2017-07-01,22.8 
D1,SCA,CP_MEUR,A,CY,2017-10-01,22.9 
D1,SCA,CP_MEUR,A,CY,2018-01-01,22.6 
D1,SCA,CP_MEUR,A,CY,2018-04-01,22.7 
D1,SCA,CP_MEUR,A,CZ,2015-07-01,357.3 
D1,SCA,CP_MEUR,A,CZ,2015-10-01,358.6 
D1,SCA,CP_MEUR,A,CZ,2016-01-01,361.6 
D1,SCA,CP_MEUR,A,CZ,2016-04-01,358.7 
D1,SCA,CP_MEUR,A,CZ,2016-07-01,360.9 
D1,SCA,CP_MEUR,A,CZ,2016-10-01,362.8 
D1,SCA,CP_MEUR,A,CZ,2017-01-01,370.5 
D1,SCA,CP_MEUR,A,CZ,2017-04-01,385.2 
D1,SCA,CP_MEUR,A,CZ,2017-07-01,394.3 
D1,SCA,CP_MEUR,A,CZ,2017-10-01,408.8 
D1,SCA,CP_MEUR,A,CZ,2018-01-01,424.4 
