na_item,sector,unit,geo\time,date,value
P51G,S13,MIO_EUR,AT,2006-01-01,7693.0
P51G,S13,MIO_EUR,AT,2007-01-01,8456.4
P51G,S13,MIO_EUR,AT,2008-01-01,9517.9
P51G,S13,MIO_EUR,AT,2009-01-01,9706.2
P51G,S13,MIO_EUR,AT,2010-01-01,9613.4
P51G,S13,MIO_EUR,AT,2011-01-01,9388.0
P51G,S13,MIO_EUR,AT,2012-01-01,9357.9
P51G,S13,MIO_EUR,AT,2013-01-01,9851.4
P51G,S13,MIO_EUR,AT,2014-01-01,9850.2
P51G,S13,MIO_EUR,AT,2015-01-01,10261.0
P51G,S13,MIO_EUR,AT,2016-01-01,10633.3
P51G,S13,MIO_EUR,AT,2017-01-01,11398.6
P51G,S13,MIO_EUR,BE,2006-01-01,6417.5
P51G,S13,MIO_EUR,BE,2007-01-01,7030.1
P51G,S13,MIO_EUR,BE,2008-01-01,7416.7
P51G,S13,MIO_EUR,BE,2009-01-01,8130.6
P51G,S13,MIO_EUR,BE,2010-01-01,8394.0
P51G,S13,MIO_EUR,BE,2011-01-01,9274.7
P51G,S13,MIO_EUR,BE,2012-01-01,9643.5
P51G,S13,MIO_EUR,BE,2013-01-01,9250.3
P51G,S13,MIO_EUR,BE,2014-01-01,9367.0
P51G,S13,MIO_EUR,BE,2015-01-01,9459.2
P51G,S13,MIO_EUR,BE,2016-01-01,9312.8
P51G,S13,MIO_EUR,BE,2017-01-01,9771.4
P51G,S13,MIO_EUR,BG,2006-01-01,1139.8
P51G,S13,MIO_EUR,BG,2007-01-01,1697.9
P51G,S13,MIO_EUR,BG,2008-01-01,2073.8
P51G,S13,MIO_EUR,BG,2009-01-01,1848.7
P51G,S13,MIO_EUR,BG,2010-01-01,1754.8
P51G,S13,MIO_EUR,BG,2011-01-01,1409.5
P51G,S13,MIO_EUR,BG,2012-01-01,1430.9
P51G,S13,MIO_EUR,BG,2013-01-01,1699.5
P51G,S13,MIO_EUR,BG,2014-01-01,2226.6
P51G,S13,MIO_EUR,BG,2015-01-01,3006.4
P51G,S13,MIO_EUR,BG,2016-01-01,1257.1
P51G,S13,MIO_EUR,BG,2017-01-01,1161.1
P51G,S13,MIO_EUR,CY,2006-01-01,550.0
P51G,S13,MIO_EUR,CY,2007-01-01,543.8
P51G,S13,MIO_EUR,CY,2008-01-01,599.1
P51G,S13,MIO_EUR,CY,2009-01-01,784.3
P51G,S13,MIO_EUR,CY,2010-01-01,807.5
P51G,S13,MIO_EUR,CY,2011-01-01,783.5
P51G,S13,MIO_EUR,CY,2012-01-01,565.1
P51G,S13,MIO_EUR,CY,2013-01-01,414.1
P51G,S13,MIO_EUR,CY,2014-01-01,362.1
P51G,S13,MIO_EUR,CY,2015-01-01,389.9
P51G,S13,MIO_EUR,CY,2016-01-01,468.8
P51G,S13,MIO_EUR,CY,2017-01-01,534.3
P51G,S13,MIO_EUR,CZ,2006-01-01,6439.7
P51G,S13,MIO_EUR,CZ,2007-01-01,6572.1
P51G,S13,MIO_EUR,CZ,2008-01-01,8507.3
P51G,S13,MIO_EUR,CZ,2009-01-01,8969.0
P51G,S13,MIO_EUR,CZ,2010-01-01,8007.6
P51G,S13,MIO_EUR,CZ,2011-01-01,7362.8
P51G,S13,MIO_EUR,CZ,2012-01-01,6734.9
P51G,S13,MIO_EUR,CZ,2013-01-01,5865.6
P51G,S13,MIO_EUR,CZ,2014-01-01,6463.6
P51G,S13,MIO_EUR,CZ,2015-01-01,8662.8
P51G,S13,MIO_EUR,CZ,2016-01-01,5741.0
P51G,S13,MIO_EUR,CZ,2017-01-01,6499.8
