unit,nace_r2,na_item,geo\time,date,value
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2015-07-01,-1.9 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2015-10-01,-0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2016-01-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2016-04-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2016-07-01,0.4 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2016-10-01,-1.1 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2017-01-01,1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2017-04-01,-2.7 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2017-07-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2017-10-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2018-01-01,-2.2 
PCH_PRE_PERS_SCA,A,EMP_DC,AT,2018-04-01,1.1 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2015-07-01,0.8 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2015-10-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2016-01-01,-1.5 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2016-04-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2016-07-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2016-10-01,0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2017-01-01,-1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2017-04-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2017-07-01,-2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2017-10-01,-0.9 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2018-01-01,1.9 
PCH_PRE_PERS_SCA,A,EMP_DC,BE,2018-04-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2015-07-01,-1.8 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2015-10-01,0.6 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2016-01-01,-0.2 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2016-04-01,0.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2016-07-01,-11.4 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2016-10-01,1.1 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2017-01-01,1.4 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2017-04-01,-1.1 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2017-07-01,1.0 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2017-10-01,2.4 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2018-01-01,-5.1 p
PCH_PRE_PERS_SCA,A,EMP_DC,BG,2018-04-01,-1.6 p
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2015-07-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2015-10-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2016-01-01,1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2016-04-01,0.7 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2016-07-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2016-10-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2017-01-01,-1.2 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2017-04-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2017-07-01,0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2017-10-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2018-01-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,CY,2018-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2015-07-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2015-10-01,-1.7 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2016-01-01,-1.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2016-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2016-07-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2016-10-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2017-01-01,-0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2017-04-01,0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2017-07-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2017-10-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2018-01-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,DE,2018-04-01,-0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2015-07-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2015-10-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2016-01-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2016-04-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2016-07-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2016-10-01,-1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2017-01-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2017-04-01,1.4 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2017-07-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2017-10-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2018-01-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,DK,2018-04-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2015-07-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2015-10-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2016-01-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2016-04-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2016-07-01,0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2016-10-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2017-01-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2017-04-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2017-07-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2017-10-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2018-01-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EA,2018-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2015-07-01,0.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2015-10-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2016-01-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2016-04-01,0.2 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2016-07-01,0.5 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2016-10-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2017-01-01,-0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2017-04-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2017-07-01,-0.6 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2017-10-01,0.1 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2018-01-01,0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EA19,2018-04-01,-0.3 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2015-07-01,2.0 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2015-10-01,-6.7 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2016-01-01,-2.9 
PCH_PRE_PERS_SCA,A,EMP_DC,EE,2016-04-01,18.3 
