na_item,nace_r2,unit,geotime,date,value
B1G,K,MIO_EUR_NSA,AL,2015-07-01,70
B1G,K,MIO_EUR_NSA,AL,2015-10-01,76
B1G,K,MIO_EUR_NSA,AL,2016-01-01,60
B1G,K,MIO_EUR_NSA,AL,2016-04-01,58
B1G,K,MIO_EUR_NSA,AL,2016-07-01,68
B1G,K,MIO_EUR_NSA,AL,2016-10-01,73
B1G,K,MIO_EUR_NSA,AL,2017-01-01,66
B1G,K,MIO_EUR_NSA,AL,2017-04-01,67
B1G,K,MIO_EUR_NSA,AL,2017-07-01,74
B1G,K,MIO_EUR_NSA,AL,2017-10-01,81
B1G,K,MIO_EUR_NSA,AL,2018-01-01,63
B1G,K,MIO_EUR_NSA,AL,2018-04-01,71
B1G,K,MIO_EUR_NSA,AT,2015-07-01,3265
B1G,K,MIO_EUR_NSA,AT,2015-10-01,3433
B1G,K,MIO_EUR_NSA,AT,2016-01-01,3277
B1G,K,MIO_EUR_NSA,AT,2016-04-01,3381
B1G,K,MIO_EUR_NSA,AT,2016-07-01,3237
B1G,K,MIO_EUR_NSA,AT,2016-10-01,3199
B1G,K,MIO_EUR_NSA,AT,2017-01-01,3262
B1G,K,MIO_EUR_NSA,AT,2017-04-01,3309
B1G,K,MIO_EUR_NSA,AT,2017-07-01,3298
B1G,K,MIO_EUR_NSA,AT,2017-10-01,3454
B1G,K,MIO_EUR_NSA,AT,2018-01-01,3543
B1G,K,MIO_EUR_NSA,AT,2018-04-01,3307
B1G,K,MIO_EUR_NSA,BE,2015-07-01,5453
B1G,K,MIO_EUR_NSA,BE,2015-10-01,5571
B1G,K,MIO_EUR_NSA,BE,2016-01-01,5645
B1G,K,MIO_EUR_NSA,BE,2016-04-01,5969
B1G,K,MIO_EUR_NSA,BE,2016-07-01,5980
B1G,K,MIO_EUR_NSA,BE,2016-10-01,5905
B1G,K,MIO_EUR_NSA,BE,2017-01-01,5750
B1G,K,MIO_EUR_NSA,BE,2017-04-01,5946
B1G,K,MIO_EUR_NSA,BE,2017-07-01,5928
B1G,K,MIO_EUR_NSA,BE,2017-10-01,5919
B1G,K,MIO_EUR_NSA,BE,2018-01-01,5852
B1G,K,MIO_EUR_NSA,BE,2018-04-01,5922
B1G,K,MIO_EUR_NSA,BG,2015-07-01,720
B1G,K,MIO_EUR_NSA,BG,2015-10-01,807
B1G,K,MIO_EUR_NSA,BG,2016-01-01,773
