sector,s_adj,na_item,unit,geo\time,date,value
S14_S15,NSA,SRG_S14_S15,PC,AT,2015-07-01,8.86
S14_S15,NSA,SRG_S14_S15,PC,AT,2015-10-01,9.99
S14_S15,NSA,SRG_S14_S15,PC,AT,2016-01-01,16.28 
S14_S15,NSA,SRG_S14_S15,PC,AT,2016-04-01,14.58 
S14_S15,NSA,SRG_S14_S15,PC,AT,2016-07-01,7.58 
S14_S15,NSA,SRG_S14_S15,PC,AT,2016-10-01,14.33 
S14_S15,NSA,SRG_S14_S15,PC,AT,2017-01-01,13.13 
S14_S15,NSA,SRG_S14_S15,PC,AT,2017-04-01,15.66 
S14_S15,NSA,SRG_S14_S15,PC,AT,2017-07-01,6.66 
S14_S15,NSA,SRG_S14_S15,PC,AT,2017-10-01,13.72 
S14_S15,NSA,SRG_S14_S15,PC,AT,2018-01-01,13.75 
S14_S15,NSA,SRG_S14_S15,PC,AT,2018-04-01,14.07 
S14_S15,NSA,SRG_S14_S15,PC,BE,2015-07-01,6.84
S14_S15,NSA,SRG_S14_S15,PC,BE,2015-10-01,8.55
S14_S15,NSA,SRG_S14_S15,PC,BE,2016-01-01,11.73 
S14_S15,NSA,SRG_S14_S15,PC,BE,2016-04-01,17.65 
S14_S15,NSA,SRG_S14_S15,PC,BE,2016-07-01,6.82 
S14_S15,NSA,SRG_S14_S15,PC,BE,2016-10-01,7.77 
S14_S15,NSA,SRG_S14_S15,PC,BE,2017-01-01,10.76 
S14_S15,NSA,SRG_S14_S15,PC,BE,2017-04-01,18.27 
S14_S15,NSA,SRG_S14_S15,PC,BE,2017-07-01,7.13 
S14_S15,NSA,SRG_S14_S15,PC,BE,2017-10-01,8.06 
S14_S15,NSA,SRG_S14_S15,PC,BE,2018-01-01,10.69 
S14_S15,NSA,SRG_S14_S15,PC,BE,2018-04-01,: 
S14_S15,NSA,SRG_S14_S15,PC,CZ,2015-07-01,12.02
S14_S15,NSA,SRG_S14_S15,PC,CZ,2015-10-01,12.76
S14_S15,NSA,SRG_S14_S15,PC,CZ,2016-01-01,11.04 
S14_S15,NSA,SRG_S14_S15,PC,CZ,2016-04-01,12.06 
