unit,sector,s_adj,geotime,date,value
PC,S11,NSA,AT,2015-07-01,26
PC,S11,NSA,AT,2015-10-01,25
PC,S11,NSA,AT,2016-01-01,23
PC,S11,NSA,AT,2016-04-01,26
PC,S11,NSA,AT,2016-07-01,26
PC,S11,NSA,AT,2016-10-01,27
PC,S11,NSA,AT,2017-01-01,23
PC,S11,NSA,AT,2017-04-01,26
PC,S11,NSA,AT,2017-07-01,26
PC,S11,NSA,AT,2017-10-01,27
PC,S11,NSA,AT,2018-01-01,23
PC,S11,NSA,AT,2018-04-01,26
PC,S11,NSA,BE,2015-07-01,23
PC,S11,NSA,BE,2015-10-01,26
PC,S11,NSA,BE,2016-01-01,24
PC,S11,NSA,BE,2016-04-01,24
PC,S11,NSA,BE,2016-07-01,28
PC,S11,NSA,BE,2016-10-01,28
PC,S11,NSA,BE,2017-01-01,24
PC,S11,NSA,BE,2017-04-01,25
PC,S11,NSA,BE,2017-07-01,25
PC,S11,NSA,BE,2017-10-01,28
PC,S11,NSA,BE,2018-01-01,24
PC,S11,NSA,BE,2018-04-01,
PC,S11,NSA,CZ,2015-07-01,29
PC,S11,NSA,CZ,2015-10-01,29
PC,S11,NSA,CZ,2016-01-01,27
PC,S11,NSA,CZ,2016-04-01,27
PC,S11,NSA,CZ,2016-07-01,29
PC,S11,NSA,CZ,2016-10-01,30
PC,S11,NSA,CZ,2017-01-01,26
PC,S11,NSA,CZ,2017-04-01,27
PC,S11,NSA,CZ,2017-07-01,28
PC,S11,NSA,CZ,2017-10-01,29
PC,S11,NSA,CZ,2018-01-01,27
PC,S11,NSA,CZ,2018-04-01,28
PC,S11,NSA,DE,2015-07-01,19
PC,S11,NSA,DE,2015-10-01,20
PC,S11,NSA,DE,2016-01-01,19
PC,S11,NSA,DE,2016-04-01,20
PC,S11,NSA,DE,2016-07-01,19
PC,S11,NSA,DE,2016-10-01,20
PC,S11,NSA,DE,2017-01-01,19
PC,S11,NSA,DE,2017-04-01,20
PC,S11,NSA,DE,2017-07-01,19
PC,S11,NSA,DE,2017-10-01,20
PC,S11,NSA,DE,2018-01-01,19
PC,S11,NSA,DE,2018-04-01,20
PC,S11,NSA,DK,2015-07-01,21
PC,S11,NSA,DK,2015-10-01,22
PC,S11,NSA,DK,2016-01-01,22
PC,S11,NSA,DK,2016-04-01,22
PC,S11,NSA,DK,2016-07-01,22
PC,S11,NSA,DK,2016-10-01,23
PC,S11,NSA,DK,2017-01-01,22
PC,S11,NSA,DK,2017-04-01,22
PC,S11,NSA,DK,2017-07-01,23
PC,S11,NSA,DK,2017-10-01,23
PC,S11,NSA,DK,2018-01-01,25
PC,S11,NSA,DK,2018-04-01,27
PC,S11,NSA,EA19,2015-07-01,21
PC,S11,NSA,EA19,2015-10-01,23
PC,S11,NSA,EA19,2016-01-01,22
PC,S11,NSA,EA19,2016-04-01,23
PC,S11,NSA,EA19,2016-07-01,22
PC,S11,NSA,EA19,2016-10-01,23
PC,S11,NSA,EA19,2017-01-01,22
PC,S11,NSA,EA19,2017-04-01,23
PC,S11,NSA,EA19,2017-07-01,21
PC,S11,NSA,EA19,2017-10-01,23
PC,S11,NSA,EA19,2018-01-01,22
PC,S11,NSA,EA19,2018-04-01,23
PC,S11,NSA,EE,2015-07-01,19
PC,S11,NSA,EE,2015-10-01,26
PC,S11,NSA,EE,2016-01-01,20
PC,S11,NSA,EE,2016-04-01,22
PC,S11,NSA,EE,2016-07-01,16
PC,S11,NSA,EE,2016-10-01,21
PC,S11,NSA,EE,2017-01-01,23
PC,S11,NSA,EE,2017-04-01,24
PC,S11,NSA,EE,2017-07-01,16
PC,S11,NSA,EE,2017-10-01,20
PC,S11,NSA,EE,2018-01-01,17
PC,S11,NSA,EE,2018-04-01,
PC,S11,NSA,EL,2015-07-01,14
PC,S11,NSA,EL,2015-10-01,12
PC,S11,NSA,EL,2016-01-01,21
PC,S11,NSA,EL,2016-04-01,21
PC,S11,NSA,EL,2016-07-01,16
PC,S11,NSA,EL,2016-10-01,9
PC,S11,NSA,EL,2017-01-01,26
PC,S11,NSA,EL,2017-04-01,22
PC,S11,NSA,EL,2017-07-01,15
PC,S11,NSA,EL,2017-10-01,15
PC,S11,NSA,EL,2018-01-01,
PC,S11,NSA,EL,2018-04-01,
PC,S11,NSA,ES,2015-07-01,24
PC,S11,NSA,ES,2015-10-01,25
PC,S11,NSA,ES,2016-01-01,28
PC,S11,NSA,ES,2016-04-01,28
PC,S11,NSA,ES,2016-07-01,26
PC,S11,NSA,ES,2016-10-01,26
PC,S11,NSA,ES,2017-01-01,28
PC,S11,NSA,ES,2017-04-01,28
PC,S11,NSA,ES,2017-07-01,26
PC,S11,NSA,ES,2017-10-01,26
PC,S11,NSA,ES,2018-01-01,28
PC,S11,NSA,ES,2018-04-01,28
PC,S11,NSA,EU28,2015-07-01,21
PC,S11,NSA,EU28,2015-10-01,22
PC,S11,NSA,EU28,2016-01-01,21
PC,S11,NSA,EU28,2016-04-01,23
PC,S11,NSA,EU28,2016-07-01,22
PC,S11,NSA,EU28,2016-10-01,23
PC,S11,NSA,EU28,2017-01-01,22
PC,S11,NSA,EU28,2017-04-01,23
PC,S11,NSA,EU28,2017-07-01,22
PC,S11,NSA,EU28,2017-10-01,23
PC,S11,NSA,EU28,2018-01-01,22
PC,S11,NSA,EU28,2018-04-01,
PC,S11,NSA,FI,2015-07-01,21
PC,S11,NSA,FI,2015-10-01,20
PC,S11,NSA,FI,2016-01-01,19
PC,S11,NSA,FI,2016-04-01,21
PC,S11,NSA,FI,2016-07-01,21
PC,S11,NSA,FI,2016-10-01,21
PC,S11,NSA,FI,2017-01-01,19
PC,S11,NSA,FI,2017-04-01,20
PC,S11,NSA,FI,2017-07-01,22
PC,S11,NSA,FI,2017-10-01,21
PC,S11,NSA,FI,2018-01-01,18
PC,S11,NSA,FI,2018-04-01,20
PC,S11,NSA,FR,2015-07-01,22
PC,S11,NSA,FR,2015-10-01,24
PC,S11,NSA,FR,2016-01-01,22
PC,S11,NSA,FR,2016-04-01,23
PC,S11,NSA,FR,2016-07-01,22
PC,S11,NSA,FR,2016-10-01,24
PC,S11,NSA,FR,2017-01-01,23
PC,S11,NSA,FR,2017-04-01,23
PC,S11,NSA,FR,2017-07-01,22
PC,S11,NSA,FR,2017-10-01,24
PC,S11,NSA,FR,2018-01-01,23
PC,S11,NSA,FR,2018-04-01,23
PC,S11,NSA,IE,2015-07-01,24
PC,S11,NSA,IE,2015-10-01,20
PC,S11,NSA,IE,2016-01-01,21
PC,S11,NSA,IE,2016-04-01,46
PC,S11,NSA,IE,2016-07-01,40
PC,S11,NSA,IE,2016-10-01,43
PC,S11,NSA,IE,2017-01-01,25
PC,S11,NSA,IE,2017-04-01,38
PC,S11,NSA,IE,2017-07-01,17
PC,S11,NSA,IE,2017-10-01,23
PC,S11,NSA,IE,2018-01-01,
PC,S11,NSA,IE,2018-04-01,
PC,S11,NSA,IT,2015-07-01,19
PC,S11,NSA,IT,2015-10-01,19
PC,S11,NSA,IT,2016-01-01,20
PC,S11,NSA,IT,2016-04-01,20
PC,S11,NSA,IT,2016-07-01,19
PC,S11,NSA,IT,2016-10-01,20
PC,S11,NSA,IT,2017-01-01,21
PC,S11,NSA,IT,2017-04-01,21
PC,S11,NSA,IT,2017-07-01,19
PC,S11,NSA,IT,2017-10-01,21
PC,S11,NSA,IT,2018-01-01,22
PC,S11,NSA,IT,2018-04-01,22
PC,S11,NSA,NL,2015-07-01,14
PC,S11,NSA,NL,2015-10-01,19
PC,S11,NSA,NL,2016-01-01,18
PC,S11,NSA,NL,2016-04-01,18
PC,S11,NSA,NL,2016-07-01,15
PC,S11,NSA,NL,2016-10-01,18
PC,S11,NSA,NL,2017-01-01,18
PC,S11,NSA,NL,2017-04-01,19
PC,S11,NSA,NL,2017-07-01,17
PC,S11,NSA,NL,2017-10-01,18
PC,S11,NSA,NL,2018-01-01,19
PC,S11,NSA,NL,2018-04-01,19
PC,S11,NSA,NO,2015-07-01,21
