worktime,age,unit,geotime,date,value
PT,Y20-64,PC_EMP,AT,2005-01-01,34.6
PT,Y20-64,PC_EMP,AT,2006-01-01,35.3
PT,Y20-64,PC_EMP,AT,2007-01-01,35.8
PT,Y20-64,PC_EMP,AT,2008-01-01,35.5
PT,Y20-64,PC_EMP,AT,2009-01-01,36.4
PT,Y20-64,PC_EMP,AT,2010-01-01,36.3
PT,Y20-64,PC_EMP,AT,2011-01-01,36.9
PT,Y20-64,PC_EMP,AT,2012-01-01,37.7
PT,Y20-64,PC_EMP,AT,2013-01-01,37.0
PT,Y20-64,PC_EMP,AT,2014-01-01,37.8
PT,Y20-64,PC_EMP,AT,2015-01-01,38.1
PT,Y20-64,PC_EMP,AT,2016-01-01,37.4
PT,Y20-64,PC_EMP,AT,2017-01-01,37.4
PT,Y20-64,PC_EMP,BE,2005-01-01,33.4
PT,Y20-64,PC_EMP,BE,2006-01-01,34.2
PT,Y20-64,PC_EMP,BE,2007-01-01,33.5
PT,Y20-64,PC_EMP,BE,2008-01-01,33.5
PT,Y20-64,PC_EMP,BE,2009-01-01,33.3
PT,Y20-64,PC_EMP,BE,2010-01-01,33.8
PT,Y20-64,PC_EMP,BE,2011-01-01,34.1
PT,Y20-64,PC_EMP,BE,2012-01-01,34.6
PT,Y20-64,PC_EMP,BE,2013-01-01,33.8
PT,Y20-64,PC_EMP,BE,2014-01-01,32.8
PT,Y20-64,PC_EMP,BE,2015-01-01,32.3
PT,Y20-64,PC_EMP,BE,2016-01-01,32.6
PT,Y20-64,PC_EMP,BE,2017-01-01,31.1
PT,Y20-64,PC_EMP,BG,2005-01-01,0.8
PT,Y20-64,PC_EMP,BG,2006-01-01,1.0
PT,Y20-64,PC_EMP,BG,2007-01-01,0.8
PT,Y20-64,PC_EMP,BG,2008-01-01,0.7
PT,Y20-64,PC_EMP,BG,2009-01-01,0.6
PT,Y20-64,PC_EMP,BG,2010-01-01,0.4
PT,Y20-64,PC_EMP,BG,2011-01-01,0.5
PT,Y20-64,PC_EMP,BG,2012-01-01,0.5
PT,Y20-64,PC_EMP,BG,2013-01-01,1.0
PT,Y20-64,PC_EMP,BG,2014-01-01,0.5
PT,Y20-64,PC_EMP,BG,2015-01-01,0.5
PT,Y20-64,PC_EMP,BG,2016-01-01,0.5
PT,Y20-64,PC_EMP,BG,2017-01-01,0.3
PT,Y20-64,PC_EMP,CH,2005-01-01,
PT,Y20-64,PC_EMP,CH,2006-01-01,
PT,Y20-64,PC_EMP,CH,2007-01-01,
PT,Y20-64,PC_EMP,CH,2008-01-01,
PT,Y20-64,PC_EMP,CH,2009-01-01,
PT,Y20-64,PC_EMP,CH,2010-01-01,49.9
PT,Y20-64,PC_EMP,CH,2011-01-01,48.5
PT,Y20-64,PC_EMP,CH,2012-01-01,49.3
PT,Y20-64,PC_EMP,CH,2013-01-01,48.8
PT,Y20-64,PC_EMP,CH,2014-01-01,47.8
PT,Y20-64,PC_EMP,CH,2015-01-01,47.0
PT,Y20-64,PC_EMP,CH,2016-01-01,46.7
PT,Y20-64,PC_EMP,CH,2017-01-01,46.0
PT,Y20-64,PC_EMP,CY,2005-01-01,10.1
PT,Y20-64,PC_EMP,CY,2006-01-01,8.5
PT,Y20-64,PC_EMP,CY,2007-01-01,7.3
PT,Y20-64,PC_EMP,CY,2008-01-01,7.3
PT,Y20-64,PC_EMP,CY,2009-01-01,7.5
PT,Y20-64,PC_EMP,CY,2010-01-01,6.6
PT,Y20-64,PC_EMP,CY,2011-01-01,6.0
PT,Y20-64,PC_EMP,CY,2012-01-01,6.5
PT,Y20-64,PC_EMP,CY,2013-01-01,7.1
PT,Y20-64,PC_EMP,CY,2014-01-01,6.3
PT,Y20-64,PC_EMP,CY,2015-01-01,5.4
PT,Y20-64,PC_EMP,CY,2016-01-01,4.3
PT,Y20-64,PC_EMP,CY,2017-01-01,6.6
PT,Y20-64,PC_EMP,CZ,2005-01-01,6.5
PT,Y20-64,PC_EMP,CZ,2006-01-01,6.4
PT,Y20-64,PC_EMP,CZ,2007-01-01,6.2
PT,Y20-64,PC_EMP,CZ,2008-01-01,6.3
PT,Y20-64,PC_EMP,CZ,2009-01-01,6.5
PT,Y20-64,PC_EMP,CZ,2010-01-01,6.9
PT,Y20-64,PC_EMP,CZ,2011-01-01,6.6
PT,Y20-64,PC_EMP,CZ,2012-01-01,6.4
PT,Y20-64,PC_EMP,CZ,2013-01-01,7.6
PT,Y20-64,PC_EMP,CZ,2014-01-01,7.0
PT,Y20-64,PC_EMP,CZ,2015-01-01,7.1
PT,Y20-64,PC_EMP,CZ,2016-01-01,7.6
PT,Y20-64,PC_EMP,CZ,2017-01-01,8.5
PT,Y20-64,PC_EMP,DE,2005-01-01,37.5
PT,Y20-64,PC_EMP,DE,2006-01-01,37.9
PT,Y20-64,PC_EMP,DE,2007-01-01,38.1
PT,Y20-64,PC_EMP,DE,2008-01-01,37.9
PT,Y20-64,PC_EMP,DE,2009-01-01,37.2
PT,Y20-64,PC_EMP,DE,2010-01-01,37.6
PT,Y20-64,PC_EMP,DE,2011-01-01,37.4
PT,Y20-64,PC_EMP,DE,2012-01-01,37.1
PT,Y20-64,PC_EMP,DE,2013-01-01,38.3
PT,Y20-64,PC_EMP,DE,2014-01-01,37.8
PT,Y20-64,PC_EMP,DE,2015-01-01,38.0
PT,Y20-64,PC_EMP,DE,2016-01-01,37.9
PT,Y20-64,PC_EMP,DE,2017-01-01,37.5
PT,Y20-64,PC_EMP,DK,2005-01-01,20.8
PT,Y20-64,PC_EMP,DK,2006-01-01,22.4
PT,Y20-64,PC_EMP,DK,2007-01-01,22.6
PT,Y20-64,PC_EMP,DK,2008-01-01,22.2
PT,Y20-64,PC_EMP,DK,2009-01-01,23.0
PT,Y20-64,PC_EMP,DK,2010-01-01,24.1
PT,Y20-64,PC_EMP,DK,2011-01-01,23.0
PT,Y20-64,PC_EMP,DK,2012-01-01,21.0
PT,Y20-64,PC_EMP,DK,2013-01-01,20.4
PT,Y20-64,PC_EMP,DK,2014-01-01,19.5
PT,Y20-64,PC_EMP,DK,2015-01-01,18.9
PT,Y20-64,PC_EMP,DK,2016-01-01,20.2
PT,Y20-64,PC_EMP,DK,2017-01-01,19.0
PT,Y20-64,PC_EMP,EA18,2005-01-01,27.2
PT,Y20-64,PC_EMP,EA18,2006-01-01,27.3
PT,Y20-64,PC_EMP,EA18,2007-01-01,27.4
PT,Y20-64,PC_EMP,EA18,2008-01-01,27.3
PT,Y20-64,PC_EMP,EA18,2009-01-01,27.2
PT,Y20-64,PC_EMP,EA18,2010-01-01,27.2
PT,Y20-64,PC_EMP,EA18,2011-01-01,27.1
PT,Y20-64,PC_EMP,EA18,2012-01-01,27.3
PT,Y20-64,PC_EMP,EA18,2013-01-01,27.6
PT,Y20-64,PC_EMP,EA18,2014-01-01,27.3
PT,Y20-64,PC_EMP,EA18,2015-01-01,27.2
PT,Y20-64,PC_EMP,EA18,2016-01-01,26.9
PT,Y20-64,PC_EMP,EA18,2017-01-01,26.7
PT,Y20-64,PC_EMP,EA19,2005-01-01,26.9
PT,Y20-64,PC_EMP,EA19,2006-01-01,27.0
PT,Y20-64,PC_EMP,EA19,2007-01-01,27.1
PT,Y20-64,PC_EMP,EA19,2008-01-01,27.0
PT,Y20-64,PC_EMP,EA19,2009-01-01,26.9
PT,Y20-64,PC_EMP,EA19,2010-01-01,26.9
PT,Y20-64,PC_EMP,EA19,2011-01-01,26.9
PT,Y20-64,PC_EMP,EA19,2012-01-01,27.1
PT,Y20-64,PC_EMP,EA19,2013-01-01,27.5
PT,Y20-64,PC_EMP,EA19,2014-01-01,27.1
PT,Y20-64,PC_EMP,EA19,2015-01-01,27.0
PT,Y20-64,PC_EMP,EA19,2016-01-01,26.8
PT,Y20-64,PC_EMP,EA19,2017-01-01,26.5
PT,Y20-64,PC_EMP,EE,2005-01-01,4.5
PT,Y20-64,PC_EMP,EE,2006-01-01,5.9
PT,Y20-64,PC_EMP,EE,2007-01-01,6.4
PT,Y20-64,PC_EMP,EE,2008-01-01,5.5
PT,Y20-64,PC_EMP,EE,2009-01-01,6.4
PT,Y20-64,PC_EMP,EE,2010-01-01,7.2
PT,Y20-64,PC_EMP,EE,2011-01-01,8.6
PT,Y20-64,PC_EMP,EE,2012-01-01,8.2
PT,Y20-64,PC_EMP,EE,2013-01-01,6.9
PT,Y20-64,PC_EMP,EE,2014-01-01,5.3
PT,Y20-64,PC_EMP,EE,2015-01-01,7.2
PT,Y20-64,PC_EMP,EE,2016-01-01,6.4
PT,Y20-64,PC_EMP,EE,2017-01-01,7.1
PT,Y20-64,PC_EMP,EL,2005-01-01,6.9
PT,Y20-64,PC_EMP,EL,2006-01-01,7.3
PT,Y20-64,PC_EMP,EL,2007-01-01,7.4
PT,Y20-64,PC_EMP,EL,2008-01-01,7.3
PT,Y20-64,PC_EMP,EL,2009-01-01,7.3
PT,Y20-64,PC_EMP,EL,2010-01-01,6.8
PT,Y20-64,PC_EMP,EL,2011-01-01,5.9
PT,Y20-64,PC_EMP,EL,2012-01-01,7.1
PT,Y20-64,PC_EMP,EL,2013-01-01,7.2
PT,Y20-64,PC_EMP,EL,2014-01-01,6.4
PT,Y20-64,PC_EMP,EL,2015-01-01,6.4
PT,Y20-64,PC_EMP,EL,2016-01-01,6.7
PT,Y20-64,PC_EMP,EL,2017-01-01,7.5
PT,Y20-64,PC_EMP,ES,2005-01-01,19.1
PT,Y20-64,PC_EMP,ES,2006-01-01,18.3
PT,Y20-64,PC_EMP,ES,2007-01-01,18.1
PT,Y20-64,PC_EMP,ES,2008-01-01,17.9
PT,Y20-64,PC_EMP,ES,2009-01-01,17.6
PT,Y20-64,PC_EMP,ES,2010-01-01,17.5
PT,Y20-64,PC_EMP,ES,2011-01-01,17.0
PT,Y20-64,PC_EMP,ES,2012-01-01,17.4
PT,Y20-64,PC_EMP,ES,2013-01-01,17.5
PT,Y20-64,PC_EMP,ES,2014-01-01,17.8
PT,Y20-64,PC_EMP,ES,2015-01-01,17.3
PT,Y20-64,PC_EMP,ES,2016-01-01,16.5
PT,Y20-64,PC_EMP,ES,2017-01-01,17.0
PT,Y20-64,PC_EMP,EU27,2005-01-01,23.9
PT,Y20-64,PC_EMP,EU27,2006-01-01,23.9
PT,Y20-64,PC_EMP,EU27,2007-01-01,23.9
PT,Y20-64,PC_EMP,EU27,2008-01-01,23.6
PT,Y20-64,PC_EMP,EU27,2009-01-01,23.6
PT,Y20-64,PC_EMP,EU27,2010-01-01,23.7
PT,Y20-64,PC_EMP,EU27,2011-01-01,23.7
PT,Y20-64,PC_EMP,EU27,2012-01-01,23.8
PT,Y20-64,PC_EMP,EU27,2013-01-01,23.9
PT,Y20-64,PC_EMP,EU27,2014-01-01,23.7
PT,Y20-64,PC_EMP,EU27,2015-01-01,23.4
PT,Y20-64,PC_EMP,EU27,2016-01-01,23.3
PT,Y20-64,PC_EMP,EU27,2017-01-01,23.1
PT,Y20-64,PC_EMP,EU28,2005-01-01,23.7
PT,Y20-64,PC_EMP,EU28,2006-01-01,23.7
PT,Y20-64,PC_EMP,EU28,2007-01-01,23.7
PT,Y20-64,PC_EMP,EU28,2008-01-01,23.5
PT,Y20-64,PC_EMP,EU28,2009-01-01,23.5
PT,Y20-64,PC_EMP,EU28,2010-01-01,23.7
PT,Y20-64,PC_EMP,EU28,2011-01-01,23.6
PT,Y20-64,PC_EMP,EU28,2012-01-01,23.7
PT,Y20-64,PC_EMP,EU28,2013-01-01,23.7
PT,Y20-64,PC_EMP,EU28,2014-01-01,23.5
PT,Y20-64,PC_EMP,EU28,2015-01-01,23.3
PT,Y20-64,PC_EMP,EU28,2016-01-01,23.2
PT,Y20-64,PC_EMP,EU28,2017-01-01,23.0
PT,Y20-64,PC_EMP,FI,2005-01-01,9.2
PT,Y20-64,PC_EMP,FI,2006-01-01,9.6
PT,Y20-64,PC_EMP,FI,2007-01-01,9.7
PT,Y20-64,PC_EMP,FI,2008-01-01,9.1
PT,Y20-64,PC_EMP,FI,2009-01-01,9.4
PT,Y20-64,PC_EMP,FI,2010-01-01,9.4
PT,Y20-64,PC_EMP,FI,2011-01-01,9.2
PT,Y20-64,PC_EMP,FI,2012-01-01,9.5
PT,Y20-64,PC_EMP,FI,2013-01-01,9.8
PT,Y20-64,PC_EMP,FI,2014-01-01,9.4
PT,Y20-64,PC_EMP,FI,2015-01-01,8.4
PT,Y20-64,PC_EMP,FI,2016-01-01,9.5
PT,Y20-64,PC_EMP,FI,2017-01-01,9.9
PT,Y20-64,PC_EMP,FR,2005-01-01,
PT,Y20-64,PC_EMP,FR,2006-01-01,
