age,geotime,date,value
Y_LT3,AT,2005-01-01,4.0 
Y_LT3,AT,2006-01-01,4.0 
Y_LT3,AT,2007-01-01,8.0 
Y_LT3,AT,2008-01-01,6.0 
Y_LT3,AT,2009-01-01,10.0 
Y_LT3,AT,2010-01-01,9.0 
Y_LT3,AT,2011-01-01,14.0 
Y_LT3,AT,2012-01-01,13.0 
Y_LT3,AT,2013-01-01,17.0 
Y_LT3,AT,2014-01-01,16.0 
Y_LT3,AT,2015-01-01,22.2 
Y_LT3,AT,2016-01-01,20.5 
Y_LT3,BE,2005-01-01,41.0 
Y_LT3,BE,2006-01-01,40.0 
Y_LT3,BE,2007-01-01,44.0 
Y_LT3,BE,2008-01-01,43.0 
Y_LT3,BE,2009-01-01,33.0 
Y_LT3,BE,2010-01-01,35.0 
Y_LT3,BE,2011-01-01,38.0 
Y_LT3,BE,2012-01-01,47.0 
Y_LT3,BE,2013-01-01,46.0 
Y_LT3,BE,2014-01-01,48.8 
Y_LT3,BE,2015-01-01,50.1 
Y_LT3,BE,2016-01-01,43.8 
Y_LT3,BG,2005-01-01,
Y_LT3,BG,2006-01-01,16.0 
Y_LT3,BG,2007-01-01,8.0 
Y_LT3,BG,2008-01-01,11.0 
Y_LT3,BG,2009-01-01,8.0 
Y_LT3,BG,2010-01-01,7.0 
Y_LT3,BG,2011-01-01,7.0 
Y_LT3,BG,2012-01-01,8.0 
Y_LT3,BG,2013-01-01,11.0 
Y_LT3,BG,2014-01-01,11.2 
Y_LT3,BG,2015-01-01,9.0 
Y_LT3,BG,2016-01-01,12.5 
Y_LT3,CH,2005-01-01,
Y_LT3,CH,2006-01-01,
Y_LT3,CH,2007-01-01,2.0 
Y_LT3,CH,2008-01-01,3.0 
Y_LT3,CH,2009-01-01,25.0 
Y_LT3,CH,2010-01-01,26.0 
Y_LT3,CH,2011-01-01,24.0 
Y_LT3,CH,2012-01-01,29.0 
Y_LT3,CH,2013-01-01,32.0 
Y_LT3,CH,2014-01-01,29.8 
Y_LT3,CH,2015-01-01,
Y_LT3,CH,2016-01-01,0.0 
Y_LT3,CY,2005-01-01,19.0 
Y_LT3,CY,2006-01-01,25.0 
Y_LT3,CY,2007-01-01,19.0 
Y_LT3,CY,2008-01-01,29.0 
Y_LT3,CY,2009-01-01,20.0 
Y_LT3,CY,2010-01-01,25.0 
Y_LT3,CY,2011-01-01,24.0 
Y_LT3,CY,2012-01-01,26.0 
Y_LT3,CY,2013-01-01,24.0 
Y_LT3,CY,2014-01-01,25.5 
Y_LT3,CY,2015-01-01,20.8 
Y_LT3,CY,2016-01-01,24.9 
Y_LT3,CZ,2005-01-01,2.0 
Y_LT3,CZ,2006-01-01,2.0 
Y_LT3,CZ,2007-01-01,2.0 
Y_LT3,CZ,2008-01-01,2.0 
Y_LT3,CZ,2009-01-01,3.0 
Y_LT3,CZ,2010-01-01,3.0 
Y_LT3,CZ,2011-01-01,5.0 
Y_LT3,CZ,2012-01-01,3.0 
Y_LT3,CZ,2013-01-01,2.0 
Y_LT3,CZ,2014-01-01,4.4 
Y_LT3,CZ,2015-01-01,2.9 
Y_LT3,CZ,2016-01-01,4.7 
Y_LT3,DE,2005-01-01,16.0 
Y_LT3,DE,2006-01-01,17.0 
Y_LT3,DE,2007-01-01,17.0 
Y_LT3,DE,2008-01-01,19.0 
Y_LT3,DE,2009-01-01,19.0 
Y_LT3,DE,2010-01-01,20.0 
Y_LT3,DE,2011-01-01,24.0 
Y_LT3,DE,2012-01-01,24.0 
Y_LT3,DE,2013-01-01,27.0 
Y_LT3,DE,2014-01-01,27.5 
Y_LT3,DE,2015-01-01,25.9 
Y_LT3,DE,2016-01-01,32.6 
Y_LT3,DK,2005-01-01,73.0 
Y_LT3,DK,2006-01-01,73.0 
Y_LT3,DK,2007-01-01,70.0 
Y_LT3,DK,2008-01-01,73.0 
Y_LT3,DK,2009-01-01,73.0 
Y_LT3,DK,2010-01-01,77.0 
Y_LT3,DK,2011-01-01,74.0 
Y_LT3,DK,2012-01-01,67.0 
Y_LT3,DK,2013-01-01,65.0 
Y_LT3,DK,2014-01-01,69.6 
Y_LT3,DK,2015-01-01,77.3 
Y_LT3,DK,2016-01-01,70.0 
Y_LT3,EA,2005-01-01,
Y_LT3,EA,2006-01-01,
Y_LT3,EA,2007-01-01,
Y_LT3,EA,2008-01-01,
Y_LT3,EA,2009-01-01,
Y_LT3,EA,2010-01-01,
Y_LT3,EA,2011-01-01,
Y_LT3,EA,2012-01-01,
Y_LT3,EA,2013-01-01,
Y_LT3,EA,2014-01-01,32.4 
Y_LT3,EA,2015-01-01,33.9 
Y_LT3,EA,2016-01-01,
Y_LT3,EA18,2005-01-01,27.0 
Y_LT3,EA18,2006-01-01,27.0 
Y_LT3,EA18,2007-01-01,26.0 
Y_LT3,EA18,2008-01-01,31.0 
Y_LT3,EA18,2009-01-01,30.0 
Y_LT3,EA18,2010-01-01,31.0 
Y_LT3,EA18,2011-01-01,33.0 
Y_LT3,EA18,2012-01-01,31.0 
Y_LT3,EA18,2013-01-01,31.0 
Y_LT3,EA18,2014-01-01,32.4 
Y_LT3,EA18,2015-01-01,34.1 
Y_LT3,EA18,2016-01-01,38.3 
Y_LT3,EA19,2005-01-01,27.0 
Y_LT3,EA19,2006-01-01,27.0 
Y_LT3,EA19,2007-01-01,26.0 
Y_LT3,EA19,2008-01-01,30.0 
Y_LT3,EA19,2009-01-01,30.0 
Y_LT3,EA19,2010-01-01,31.0 
Y_LT3,EA19,2011-01-01,33.0 
Y_LT3,EA19,2012-01-01,31.0 
Y_LT3,EA19,2013-01-01,31.0 
Y_LT3,EA19,2014-01-01,32.3 
Y_LT3,EA19,2015-01-01,33.9 
Y_LT3,EA19,2016-01-01,38.2 
Y_LT3,EE,2005-01-01,11.0 
Y_LT3,EE,2006-01-01,19.0 
Y_LT3,EE,2007-01-01,15.0 
Y_LT3,EE,2008-01-01,16.0 
Y_LT3,EE,2009-01-01,25.0 
Y_LT3,EE,2010-01-01,21.0 
Y_LT3,EE,2011-01-01,19.0 
Y_LT3,EE,2012-01-01,18.0 
Y_LT3,EE,2013-01-01,20.0 
Y_LT3,EE,2014-01-01,19.5 
Y_LT3,EE,2015-01-01,21.5 
Y_LT3,EE,2016-01-01,30.2 
Y_LT3,EL,2005-01-01,8.0 
Y_LT3,EL,2006-01-01,10.0 
Y_LT3,EL,2007-01-01,9.0 
Y_LT3,EL,2008-01-01,12.0 
Y_LT3,EL,2009-01-01,11.0 
Y_LT3,EL,2010-01-01,8.0 
Y_LT3,EL,2011-01-01,19.0 
Y_LT3,EL,2012-01-01,20.0 
Y_LT3,EL,2013-01-01,14.0 
Y_LT3,EL,2014-01-01,12.8 
Y_LT3,EL,2015-01-01,11.4 
Y_LT3,EL,2016-01-01,8.9 
Y_LT3,ES,2005-01-01,38.0 
Y_LT3,ES,2006-01-01,37.0 
Y_LT3,ES,2007-01-01,39.0 
Y_LT3,ES,2008-01-01,38.0 
Y_LT3,ES,2009-01-01,33.0 
Y_LT3,ES,2010-01-01,37.0 
Y_LT3,ES,2011-01-01,39.0 
Y_LT3,ES,2012-01-01,36.0 
Y_LT3,ES,2013-01-01,36.0 
Y_LT3,ES,2014-01-01,37.0 
Y_LT3,ES,2015-01-01,39.7 
Y_LT3,ES,2016-01-01,39.3 
Y_LT3,EU,2005-01-01,
Y_LT3,EU,2006-01-01,
Y_LT3,EU,2007-01-01,
Y_LT3,EU,2008-01-01,
Y_LT3,EU,2009-01-01,
Y_LT3,EU,2010-01-01,
Y_LT3,EU,2011-01-01,
Y_LT3,EU,2012-01-01,
Y_LT3,EU,2013-01-01,
Y_LT3,EU,2014-01-01,28.4 
Y_LT3,EU,2015-01-01,30.3 
Y_LT3,EU,2016-01-01,
Y_LT3,EU27,2005-01-01,
Y_LT3,EU27,2006-01-01,
Y_LT3,EU27,2007-01-01,25.0 
Y_LT3,EU27,2008-01-01,28.0 
Y_LT3,EU27,2009-01-01,27.0 
Y_LT3,EU27,2010-01-01,28.0 
Y_LT3,EU27,2011-01-01,29.0 
Y_LT3,EU27,2012-01-01,28.0 
Y_LT3,EU27,2013-01-01,28.0 
Y_LT3,EU27,2014-01-01,28.5 
Y_LT3,EU27,2015-01-01,30.5 
Y_LT3,EU27,2016-01-01,33.1 
Y_LT3,EU28,2005-01-01,
Y_LT3,EU28,2006-01-01,
Y_LT3,EU28,2007-01-01,
Y_LT3,EU28,2008-01-01,
Y_LT3,EU28,2009-01-01,
Y_LT3,EU28,2010-01-01,28.0 
Y_LT3,EU28,2011-01-01,29.0 
Y_LT3,EU28,2012-01-01,27.0 
Y_LT3,EU28,2013-01-01,28.0 
Y_LT3,EU28,2014-01-01,28.4 
Y_LT3,EU28,2015-01-01,30.3 
Y_LT3,EU28,2016-01-01,32.9 
Y_LT3,FI,2005-01-01,26.0 
Y_LT3,FI,2006-01-01,26.0 
Y_LT3,FI,2007-01-01,26.0 
Y_LT3,FI,2008-01-01,26.0 
Y_LT3,FI,2009-01-01,27.0 
Y_LT3,FI,2010-01-01,28.0 
Y_LT3,FI,2011-01-01,26.0 
Y_LT3,FI,2012-01-01,29.0 
Y_LT3,FI,2013-01-01,29.0 
Y_LT3,FI,2014-01-01,33.2 
Y_LT3,FI,2015-01-01,32.6 
Y_LT3,FI,2016-01-01,32.6 
Y_LT3,FR,2005-01-01,32.0 
Y_LT3,FR,2006-01-01,31.0 
Y_LT3,FR,2007-01-01,27.0 
Y_LT3,FR,2008-01-01,40.0 
Y_LT3,FR,2009-01-01,41.0 
Y_LT3,FR,2010-01-01,42.0 
Y_LT3,FR,2011-01-01,44.0 
Y_LT3,FR,2012-01-01,40.0 
Y_LT3,FR,2013-01-01,39.0 
Y_LT3,FR,2014-01-01,39.5 
