age,unit,sex,indic_em,geotime,date,value
Y15-24,PC_POP,T,EMP_LFS,AT,2005-01-01,51
Y15-24,PC_POP,T,EMP_LFS,AT,2006-01-01,52
Y15-24,PC_POP,T,EMP_LFS,AT,2007-01-01,53
Y15-24,PC_POP,T,EMP_LFS,AT,2008-01-01,54
Y15-24,PC_POP,T,EMP_LFS,AT,2009-01-01,53
Y15-24,PC_POP,T,EMP_LFS,AT,2010-01-01,52
Y15-24,PC_POP,T,EMP_LFS,AT,2011-01-01,53
Y15-24,PC_POP,T,EMP_LFS,AT,2012-01-01,53
Y15-24,PC_POP,T,EMP_LFS,AT,2013-01-01,53
Y15-24,PC_POP,T,EMP_LFS,AT,2014-01-01,52
Y15-24,PC_POP,T,EMP_LFS,AT,2015-01-01,51
Y15-24,PC_POP,T,EMP_LFS,AT,2016-01-01,51
Y15-24,PC_POP,T,EMP_LFS,AT,2017-01-01,50
Y15-24,PC_POP,T,EMP_LFS,BE,2005-01-01,27
Y15-24,PC_POP,T,EMP_LFS,BE,2006-01-01,27
Y15-24,PC_POP,T,EMP_LFS,BE,2007-01-01,27
Y15-24,PC_POP,T,EMP_LFS,BE,2008-01-01,27
Y15-24,PC_POP,T,EMP_LFS,BE,2009-01-01,25
Y15-24,PC_POP,T,EMP_LFS,BE,2010-01-01,25
Y15-24,PC_POP,T,EMP_LFS,BE,2011-01-01,26
Y15-24,PC_POP,T,EMP_LFS,BE,2012-01-01,25
Y15-24,PC_POP,T,EMP_LFS,BE,2013-01-01,23
Y15-24,PC_POP,T,EMP_LFS,BE,2014-01-01,23
Y15-24,PC_POP,T,EMP_LFS,BE,2015-01-01,23
Y15-24,PC_POP,T,EMP_LFS,BE,2016-01-01,22
Y15-24,PC_POP,T,EMP_LFS,BE,2017-01-01,22
Y15-24,PC_POP,T,EMP_LFS,BG,2005-01-01,21
Y15-24,PC_POP,T,EMP_LFS,BG,2006-01-01,23
Y15-24,PC_POP,T,EMP_LFS,BG,2007-01-01,24
Y15-24,PC_POP,T,EMP_LFS,BG,2008-01-01,26
Y15-24,PC_POP,T,EMP_LFS,BG,2009-01-01,24
Y15-24,PC_POP,T,EMP_LFS,BG,2010-01-01,24
Y15-24,PC_POP,T,EMP_LFS,BG,2011-01-01,22
Y15-24,PC_POP,T,EMP_LFS,BG,2012-01-01,21
Y15-24,PC_POP,T,EMP_LFS,BG,2013-01-01,21
Y15-24,PC_POP,T,EMP_LFS,BG,2014-01-01,20
Y15-24,PC_POP,T,EMP_LFS,BG,2015-01-01,20
Y15-24,PC_POP,T,EMP_LFS,BG,2016-01-01,19
Y15-24,PC_POP,T,EMP_LFS,BG,2017-01-01,22
Y15-24,PC_POP,T,EMP_LFS,CH,2005-01-01,
Y15-24,PC_POP,T,EMP_LFS,CH,2006-01-01,
Y15-24,PC_POP,T,EMP_LFS,CH,2007-01-01,
Y15-24,PC_POP,T,EMP_LFS,CH,2008-01-01,
Y15-24,PC_POP,T,EMP_LFS,CH,2009-01-01,
Y15-24,PC_POP,T,EMP_LFS,CH,2010-01-01,62
Y15-24,PC_POP,T,EMP_LFS,CH,2011-01-01,63
Y15-24,PC_POP,T,EMP_LFS,CH,2012-01-01,62
Y15-24,PC_POP,T,EMP_LFS,CH,2013-01-01,62
Y15-24,PC_POP,T,EMP_LFS,CH,2014-01-01,62
Y15-24,PC_POP,T,EMP_LFS,CH,2015-01-01,61
Y15-24,PC_POP,T,EMP_LFS,CH,2016-01-01,62
Y15-24,PC_POP,T,EMP_LFS,CH,2017-01-01,63
Y15-24,PC_POP,T,EMP_LFS,CY,2005-01-01,36
Y15-24,PC_POP,T,EMP_LFS,CY,2006-01-01,37
Y15-24,PC_POP,T,EMP_LFS,CY,2007-01-01,37
Y15-24,PC_POP,T,EMP_LFS,CY,2008-01-01,38
Y15-24,PC_POP,T,EMP_LFS,CY,2009-01-01,34
Y15-24,PC_POP,T,EMP_LFS,CY,2010-01-01,33
Y15-24,PC_POP,T,EMP_LFS,CY,2011-01-01,30
Y15-24,PC_POP,T,EMP_LFS,CY,2012-01-01,28
Y15-24,PC_POP,T,EMP_LFS,CY,2013-01-01,23
Y15-24,PC_POP,T,EMP_LFS,CY,2014-01-01,25
Y15-24,PC_POP,T,EMP_LFS,CY,2015-01-01,25
Y15-24,PC_POP,T,EMP_LFS,CY,2016-01-01,26
Y15-24,PC_POP,T,EMP_LFS,CY,2017-01-01,27
Y15-24,PC_POP,T,EMP_LFS,CZ,2005-01-01,27
Y15-24,PC_POP,T,EMP_LFS,CZ,2006-01-01,27
Y15-24,PC_POP,T,EMP_LFS,CZ,2007-01-01,28
Y15-24,PC_POP,T,EMP_LFS,CZ,2008-01-01,28
Y15-24,PC_POP,T,EMP_LFS,CZ,2009-01-01,26
Y15-24,PC_POP,T,EMP_LFS,CZ,2010-01-01,25
Y15-24,PC_POP,T,EMP_LFS,CZ,2011-01-01,24
Y15-24,PC_POP,T,EMP_LFS,CZ,2012-01-01,25
Y15-24,PC_POP,T,EMP_LFS,CZ,2013-01-01,25
Y15-24,PC_POP,T,EMP_LFS,CZ,2014-01-01,27
Y15-24,PC_POP,T,EMP_LFS,CZ,2015-01-01,28
Y15-24,PC_POP,T,EMP_LFS,CZ,2016-01-01,28
Y15-24,PC_POP,T,EMP_LFS,CZ,2017-01-01,29
Y15-24,PC_POP,T,EMP_LFS,DE,2005-01-01,41
Y15-24,PC_POP,T,EMP_LFS,DE,2006-01-01,43
Y15-24,PC_POP,T,EMP_LFS,DE,2007-01-01,45
Y15-24,PC_POP,T,EMP_LFS,DE,2008-01-01,46
Y15-24,PC_POP,T,EMP_LFS,DE,2009-01-01,46
Y15-24,PC_POP,T,EMP_LFS,DE,2010-01-01,46
Y15-24,PC_POP,T,EMP_LFS,DE,2011-01-01,47
Y15-24,PC_POP,T,EMP_LFS,DE,2012-01-01,46
Y15-24,PC_POP,T,EMP_LFS,DE,2013-01-01,46
Y15-24,PC_POP,T,EMP_LFS,DE,2014-01-01,46
Y15-24,PC_POP,T,EMP_LFS,DE,2015-01-01,45
Y15-24,PC_POP,T,EMP_LFS,DE,2016-01-01,45
Y15-24,PC_POP,T,EMP_LFS,DE,2017-01-01,46
