unit,age,sex,lmp_type,geotime,date,value
RT,TOTAL,F,TOT2_7,AT,2005-01-01,17
RT,TOTAL,F,TOT2_7,AT,2006-01-01,21
RT,TOTAL,F,TOT2_7,AT,2007-01-01,23
RT,TOTAL,F,TOT2_7,AT,2008-01-01,26
RT,TOTAL,F,TOT2_7,AT,2009-01-01,28
RT,TOTAL,F,TOT2_7,AT,2010-01-01,24
RT,TOTAL,F,TOT2_7,AT,2011-01-01,23
RT,TOTAL,F,TOT2_7,AT,2012-01-01,22
RT,TOTAL,F,TOT2_7,AT,2013-01-01,23
RT,TOTAL,F,TOT2_7,AT,2014-01-01,23
RT,TOTAL,F,TOT2_7,AT,2015-01-01,21
RT,TOTAL,F,TOT2_7,AT,2016-01-01,21
RT,TOTAL,F,TOT2_7,BE,2005-01-01,24
RT,TOTAL,F,TOT2_7,BE,2006-01-01,31
RT,TOTAL,F,TOT2_7,BE,2007-01-01,37
RT,TOTAL,F,TOT2_7,BE,2008-01-01,46
RT,TOTAL,F,TOT2_7,BE,2009-01-01,47
RT,TOTAL,F,TOT2_7,BE,2010-01-01,44
RT,TOTAL,F,TOT2_7,BE,2011-01-01,43
RT,TOTAL,F,TOT2_7,BE,2012-01-01,43
RT,TOTAL,F,TOT2_7,BE,2013-01-01,37
RT,TOTAL,F,TOT2_7,BE,2014-01-01,40
RT,TOTAL,F,TOT2_7,BE,2015-01-01,45
RT,TOTAL,F,TOT2_7,BE,2016-01-01,60
RT,TOTAL,F,TOT2_7,BG,2005-01-01,12
RT,TOTAL,F,TOT2_7,BG,2006-01-01,16
RT,TOTAL,F,TOT2_7,BG,2007-01-01,15
RT,TOTAL,F,TOT2_7,BG,2008-01-01,21
RT,TOTAL,F,TOT2_7,BG,2009-01-01,14
RT,TOTAL,F,TOT2_7,BG,2010-01-01,4
RT,TOTAL,F,TOT2_7,BG,2011-01-01,3
RT,TOTAL,F,TOT2_7,BG,2012-01-01,4
RT,TOTAL,F,TOT2_7,BG,2013-01-01,8
RT,TOTAL,F,TOT2_7,BG,2014-01-01,3
RT,TOTAL,F,TOT2_7,BG,2015-01-01,3
RT,TOTAL,F,TOT2_7,BG,2016-01-01,6
RT,TOTAL,F,TOT2_7,CY,2005-01-01,
RT,TOTAL,F,TOT2_7,CY,2006-01-01,3
RT,TOTAL,F,TOT2_7,CY,2007-01-01,9
RT,TOTAL,F,TOT2_7,CY,2008-01-01,14
RT,TOTAL,F,TOT2_7,CY,2009-01-01,13
RT,TOTAL,F,TOT2_7,CY,2010-01-01,23
RT,TOTAL,F,TOT2_7,CY,2011-01-01,22
RT,TOTAL,F,TOT2_7,CY,2012-01-01,16
RT,TOTAL,F,TOT2_7,CY,2013-01-01,5
RT,TOTAL,F,TOT2_7,CY,2014-01-01,9
RT,TOTAL,F,TOT2_7,CY,2015-01-01,9
RT,TOTAL,F,TOT2_7,CY,2016-01-01,7
RT,TOTAL,F,TOT2_7,DE,2005-01-01,18
RT,TOTAL,F,TOT2_7,DE,2006-01-01,20
RT,TOTAL,F,TOT2_7,DE,2007-01-01,22
RT,TOTAL,F,TOT2_7,DE,2008-01-01,22
RT,TOTAL,F,TOT2_7,DE,2009-01-01,26
RT,TOTAL,F,TOT2_7,DE,2010-01-01,29
RT,TOTAL,F,TOT2_7,DE,2011-01-01,28
RT,TOTAL,F,TOT2_7,DE,2012-01-01,26
RT,TOTAL,F,TOT2_7,DE,2013-01-01,26
RT,TOTAL,F,TOT2_7,DE,2014-01-01,26
RT,TOTAL,F,TOT2_7,DE,2015-01-01,26
RT,TOTAL,F,TOT2_7,DE,2016-01-01,16
RT,TOTAL,F,TOT2_7,DK,2005-01-01,45
RT,TOTAL,F,TOT2_7,DK,2006-01-01,56
RT,TOTAL,F,TOT2_7,DK,2007-01-01,49
RT,TOTAL,F,TOT2_7,DK,2008-01-01,64
RT,TOTAL,F,TOT2_7,DK,2009-01-01,54
RT,TOTAL,F,TOT2_7,DK,2010-01-01,55
RT,TOTAL,F,TOT2_7,DK,2011-01-01,48
RT,TOTAL,F,TOT2_7,DK,2012-01-01,45
RT,TOTAL,F,TOT2_7,DK,2013-01-01,45
RT,TOTAL,F,TOT2_7,DK,2014-01-01,45
RT,TOTAL,F,TOT2_7,DK,2015-01-01,54
RT,TOTAL,F,TOT2_7,DK,2016-01-01,43
RT,TOTAL,F,TOT2_7,EE,2005-01-01,2
RT,TOTAL,F,TOT2_7,EE,2006-01-01,2
RT,TOTAL,F,TOT2_7,EE,2007-01-01,2
RT,TOTAL,F,TOT2_7,EE,2008-01-01,1
