unit,na_item,geotime,date,value
EUR,D1_SAL_HW,AT,2005-01-01,21
EUR,D1_SAL_HW,AT,2006-01-01,22
EUR,D1_SAL_HW,AT,2007-01-01,23
EUR,D1_SAL_HW,AT,2008-01-01,23
EUR,D1_SAL_HW,AT,2009-01-01,24
EUR,D1_SAL_HW,AT,2010-01-01,25
EUR,D1_SAL_HW,AT,2011-01-01,25
EUR,D1_SAL_HW,AT,2012-01-01,26
EUR,D1_SAL_HW,AT,2013-01-01,27
EUR,D1_SAL_HW,AT,2014-01-01,27
EUR,D1_SAL_HW,AT,2015-01-01,28
EUR,D1_SAL_HW,AT,2016-01-01,29
EUR,D1_SAL_HW,AT,2017-01-01,29
EUR,D1_SAL_HW,BE,2005-01-01,29
EUR,D1_SAL_HW,BE,2006-01-01,30
EUR,D1_SAL_HW,BE,2007-01-01,31
EUR,D1_SAL_HW,BE,2008-01-01,33
EUR,D1_SAL_HW,BE,2009-01-01,34
EUR,D1_SAL_HW,BE,2010-01-01,34
EUR,D1_SAL_HW,BE,2011-01-01,35
EUR,D1_SAL_HW,BE,2012-01-01,36
EUR,D1_SAL_HW,BE,2013-01-01,37
EUR,D1_SAL_HW,BE,2014-01-01,37
EUR,D1_SAL_HW,BE,2015-01-01,37
EUR,D1_SAL_HW,BE,2016-01-01,38
EUR,D1_SAL_HW,BE,2017-01-01,38
EUR,D1_SAL_HW,BG,2005-01-01,1
EUR,D1_SAL_HW,BG,2006-01-01,2
EUR,D1_SAL_HW,BG,2007-01-01,2
EUR,D1_SAL_HW,BG,2008-01-01,2
EUR,D1_SAL_HW,BG,2009-01-01,2
EUR,D1_SAL_HW,BG,2010-01-01,3
EUR,D1_SAL_HW,BG,2011-01-01,3
EUR,D1_SAL_HW,BG,2012-01-01,3
EUR,D1_SAL_HW,BG,2013-01-01,4
EUR,D1_SAL_HW,BG,2014-01-01,4
EUR,D1_SAL_HW,BG,2015-01-01,4
EUR,D1_SAL_HW,BG,2016-01-01,4
EUR,D1_SAL_HW,BG,2017-01-01,5
EUR,D1_SAL_HW,CH,2005-01-01,30
EUR,D1_SAL_HW,CH,2006-01-01,30
EUR,D1_SAL_HW,CH,2007-01-01,30
EUR,D1_SAL_HW,CH,2008-01-01,32
EUR,D1_SAL_HW,CH,2009-01-01,
EUR,D1_SAL_HW,CH,2010-01-01,38
EUR,D1_SAL_HW,CH,2011-01-01,44
EUR,D1_SAL_HW,CH,2012-01-01,45
EUR,D1_SAL_HW,CH,2013-01-01,45
EUR,D1_SAL_HW,CH,2014-01-01,46
EUR,D1_SAL_HW,CH,2015-01-01,51
EUR,D1_SAL_HW,CH,2016-01-01,50
EUR,D1_SAL_HW,CH,2017-01-01,
EUR,D1_SAL_HW,CY,2005-01-01,13
EUR,D1_SAL_HW,CY,2006-01-01,14
EUR,D1_SAL_HW,CY,2007-01-01,13
EUR,D1_SAL_HW,CY,2008-01-01,13
EUR,D1_SAL_HW,CY,2009-01-01,14
