age,unit,indic_em,sex,geotime,date,value
Y20-64,PC_POP,EMP_LFS,F,AT,2005-01-01,64
Y20-64,PC_POP,EMP_LFS,F,AT,2006-01-01,65
Y20-64,PC_POP,EMP_LFS,F,AT,2007-01-01,66
Y20-64,PC_POP,EMP_LFS,F,AT,2008-01-01,67
Y20-64,PC_POP,EMP_LFS,F,AT,2009-01-01,68
Y20-64,PC_POP,EMP_LFS,F,AT,2010-01-01,68
Y20-64,PC_POP,EMP_LFS,F,AT,2011-01-01,69
Y20-64,PC_POP,EMP_LFS,F,AT,2012-01-01,69
Y20-64,PC_POP,EMP_LFS,F,AT,2013-01-01,70
Y20-64,PC_POP,EMP_LFS,F,AT,2014-01-01,70
Y20-64,PC_POP,EMP_LFS,F,AT,2015-01-01,70
Y20-64,PC_POP,EMP_LFS,F,AT,2016-01-01,70
Y20-64,PC_POP,EMP_LFS,F,AT,2017-01-01,71
Y20-64,PC_POP,EMP_LFS,F,BE,2005-01-01,58
Y20-64,PC_POP,EMP_LFS,F,BE,2006-01-01,58
Y20-64,PC_POP,EMP_LFS,F,BE,2007-01-01,60
Y20-64,PC_POP,EMP_LFS,F,BE,2008-01-01,61
Y20-64,PC_POP,EMP_LFS,F,BE,2009-01-01,61
Y20-64,PC_POP,EMP_LFS,F,BE,2010-01-01,61
Y20-64,PC_POP,EMP_LFS,F,BE,2011-01-01,61
Y20-64,PC_POP,EMP_LFS,F,BE,2012-01-01,61
Y20-64,PC_POP,EMP_LFS,F,BE,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,BE,2014-01-01,62
Y20-64,PC_POP,EMP_LFS,F,BE,2015-01-01,63
Y20-64,PC_POP,EMP_LFS,F,BE,2016-01-01,63
Y20-64,PC_POP,EMP_LFS,F,BE,2017-01-01,63
Y20-64,PC_POP,EMP_LFS,F,BG,2005-01-01,57
Y20-64,PC_POP,EMP_LFS,F,BG,2006-01-01,60
Y20-64,PC_POP,EMP_LFS,F,BG,2007-01-01,63
Y20-64,PC_POP,EMP_LFS,F,BG,2008-01-01,65
Y20-64,PC_POP,EMP_LFS,F,BG,2009-01-01,64
Y20-64,PC_POP,EMP_LFS,F,BG,2010-01-01,60
Y20-64,PC_POP,EMP_LFS,F,BG,2011-01-01,59
Y20-64,PC_POP,EMP_LFS,F,BG,2012-01-01,60
Y20-64,PC_POP,EMP_LFS,F,BG,2013-01-01,60
Y20-64,PC_POP,EMP_LFS,F,BG,2014-01-01,62
Y20-64,PC_POP,EMP_LFS,F,BG,2015-01-01,63
Y20-64,PC_POP,EMP_LFS,F,BG,2016-01-01,64
Y20-64,PC_POP,EMP_LFS,F,BG,2017-01-01,67
Y20-64,PC_POP,EMP_LFS,F,CH,2005-01-01,
Y20-64,PC_POP,EMP_LFS,F,CH,2006-01-01,
Y20-64,PC_POP,EMP_LFS,F,CH,2007-01-01,
Y20-64,PC_POP,EMP_LFS,F,CH,2008-01-01,
Y20-64,PC_POP,EMP_LFS,F,CH,2009-01-01,
Y20-64,PC_POP,EMP_LFS,F,CH,2010-01-01,73
Y20-64,PC_POP,EMP_LFS,F,CH,2011-01-01,74
Y20-64,PC_POP,EMP_LFS,F,CH,2012-01-01,75
Y20-64,PC_POP,EMP_LFS,F,CH,2013-01-01,75
Y20-64,PC_POP,EMP_LFS,F,CH,2014-01-01,76
Y20-64,PC_POP,EMP_LFS,F,CH,2015-01-01,76
Y20-64,PC_POP,EMP_LFS,F,CH,2016-01-01,77
Y20-64,PC_POP,EMP_LFS,F,CH,2017-01-01,77
Y20-64,PC_POP,EMP_LFS,F,CY,2005-01-01,63
Y20-64,PC_POP,EMP_LFS,F,CY,2006-01-01,65
Y20-64,PC_POP,EMP_LFS,F,CY,2007-01-01,67
Y20-64,PC_POP,EMP_LFS,F,CY,2008-01-01,68
Y20-64,PC_POP,EMP_LFS,F,CY,2009-01-01,68
Y20-64,PC_POP,EMP_LFS,F,CY,2010-01-01,68
Y20-64,PC_POP,EMP_LFS,F,CY,2011-01-01,67
Y20-64,PC_POP,EMP_LFS,F,CY,2012-01-01,64
Y20-64,PC_POP,EMP_LFS,F,CY,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,CY,2014-01-01,63
Y20-64,PC_POP,EMP_LFS,F,CY,2015-01-01,64
Y20-64,PC_POP,EMP_LFS,F,CY,2016-01-01,64
Y20-64,PC_POP,EMP_LFS,F,CY,2017-01-01,66
Y20-64,PC_POP,EMP_LFS,F,CZ,2005-01-01,61
Y20-64,PC_POP,EMP_LFS,F,CZ,2006-01-01,61
Y20-64,PC_POP,EMP_LFS,F,CZ,2007-01-01,62
Y20-64,PC_POP,EMP_LFS,F,CZ,2008-01-01,62
Y20-64,PC_POP,EMP_LFS,F,CZ,2009-01-01,61
Y20-64,PC_POP,EMP_LFS,F,CZ,2010-01-01,60
Y20-64,PC_POP,EMP_LFS,F,CZ,2011-01-01,61
Y20-64,PC_POP,EMP_LFS,F,CZ,2012-01-01,62
Y20-64,PC_POP,EMP_LFS,F,CZ,2013-01-01,63
Y20-64,PC_POP,EMP_LFS,F,CZ,2014-01-01,64
Y20-64,PC_POP,EMP_LFS,F,CZ,2015-01-01,66
Y20-64,PC_POP,EMP_LFS,F,CZ,2016-01-01,68
Y20-64,PC_POP,EMP_LFS,F,CZ,2017-01-01,70
Y20-64,PC_POP,EMP_LFS,F,DE,2005-01-01,63
Y20-64,PC_POP,EMP_LFS,F,DE,2006-01-01,65
Y20-64,PC_POP,EMP_LFS,F,DE,2007-01-01,66
Y20-64,PC_POP,EMP_LFS,F,DE,2008-01-01,67
Y20-64,PC_POP,EMP_LFS,F,DE,2009-01-01,68
Y20-64,PC_POP,EMP_LFS,F,DE,2010-01-01,69
Y20-64,PC_POP,EMP_LFS,F,DE,2011-01-01,71
Y20-64,PC_POP,EMP_LFS,F,DE,2012-01-01,71
Y20-64,PC_POP,EMP_LFS,F,DE,2013-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DE,2014-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DE,2015-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DE,2016-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DE,2017-01-01,75
Y20-64,PC_POP,EMP_LFS,F,DK,2005-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DK,2006-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2007-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2008-01-01,75
Y20-64,PC_POP,EMP_LFS,F,DK,2009-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2010-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DK,2011-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2012-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2013-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2014-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2015-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2016-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2017-01-01,73
Y20-64,PC_POP,EMP_LFS,F,EA18,2005-01-01,59
Y20-64,PC_POP,EMP_LFS,F,EA18,2006-01-01,60
Y20-64,PC_POP,EMP_LFS,F,EA18,2007-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA18,2008-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2009-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA18,2010-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA18,2011-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2012-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2014-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2015-01-01,63
