sex,age,unit,isced11,geo\time,date,value
T,Y30-34,PC,ED5-8,AT,2005-01-01,20.7 
T,Y30-34,PC,ED5-8,AT,2006-01-01,21.1 b
T,Y30-34,PC,ED5-8,AT,2007-01-01,20.9 
T,Y30-34,PC,ED5-8,AT,2008-01-01,21.9 
T,Y30-34,PC,ED5-8,AT,2009-01-01,23.4 
T,Y30-34,PC,ED5-8,AT,2010-01-01,23.4 
T,Y30-34,PC,ED5-8,AT,2011-01-01,23.6 
T,Y30-34,PC,ED5-8,AT,2012-01-01,26.1
T,Y30-34,PC,ED5-8,AT,2013-01-01,27.1 
T,Y30-34,PC,ED5-8,AT,2014-01-01,40.0 b
T,Y30-34,PC,ED5-8,AT,2015-01-01,38.7 
T,Y30-34,PC,ED5-8,AT,2016-01-01,40.1 
T,Y30-34,PC,ED5-8,AT,2017-01-01,40.8 
T,Y30-34,PC,ED5-8,BE,2005-01-01,39.1 
T,Y30-34,PC,ED5-8,BE,2006-01-01,41.4 
T,Y30-34,PC,ED5-8,BE,2007-01-01,41.5 
T,Y30-34,PC,ED5-8,BE,2008-01-01,42.9 b
T,Y30-34,PC,ED5-8,BE,2009-01-01,42.0 
T,Y30-34,PC,ED5-8,BE,2010-01-01,44.4 
T,Y30-34,PC,ED5-8,BE,2011-01-01,42.6 
T,Y30-34,PC,ED5-8,BE,2012-01-01,43.9
T,Y30-34,PC,ED5-8,BE,2013-01-01,42.7 
T,Y30-34,PC,ED5-8,BE,2014-01-01,43.8 b
T,Y30-34,PC,ED5-8,BE,2015-01-01,42.7 
T,Y30-34,PC,ED5-8,BE,2016-01-01,45.6 
T,Y30-34,PC,ED5-8,BE,2017-01-01,45.9 b
T,Y30-34,PC,ED5-8,BG,2005-01-01,24.9 
T,Y30-34,PC,ED5-8,BG,2006-01-01,25.3 b
T,Y30-34,PC,ED5-8,BG,2007-01-01,26.0 
T,Y30-34,PC,ED5-8,BG,2008-01-01,27.1 
T,Y30-34,PC,ED5-8,BG,2009-01-01,27.9 
