sex,age,unit,isced11,geotime,date,value
T,Y20-29,PC,TOTAL,AT,2005-01-01,73
T,Y20-29,PC,TOTAL,AT,2006-01-01,73
T,Y20-29,PC,TOTAL,AT,2007-01-01,73
T,Y20-29,PC,TOTAL,AT,2008-01-01,74
T,Y20-29,PC,TOTAL,AT,2009-01-01,73
T,Y20-29,PC,TOTAL,AT,2010-01-01,73
T,Y20-29,PC,TOTAL,AT,2011-01-01,74
T,Y20-29,PC,TOTAL,AT,2012-01-01,
T,Y20-29,PC,TOTAL,AT,2013-01-01,
T,Y20-29,PC,TOTAL,AT,2014-01-01,73
T,Y20-29,PC,TOTAL,AT,2015-01-01,73
T,Y20-29,PC,TOTAL,AT,2016-01-01,74
T,Y20-29,PC,TOTAL,AT,2017-01-01,73
T,Y20-29,PC,TOTAL,BE,2005-01-01,63
T,Y20-29,PC,TOTAL,BE,2006-01-01,64
T,Y20-29,PC,TOTAL,BE,2007-01-01,64
T,Y20-29,PC,TOTAL,BE,2008-01-01,64
T,Y20-29,PC,TOTAL,BE,2009-01-01,61
T,Y20-29,PC,TOTAL,BE,2010-01-01,61
T,Y20-29,PC,TOTAL,BE,2011-01-01,60
T,Y20-29,PC,TOTAL,BE,2012-01-01,
T,Y20-29,PC,TOTAL,BE,2013-01-01,
T,Y20-29,PC,TOTAL,BE,2014-01-01,57
T,Y20-29,PC,TOTAL,BE,2015-01-01,57
T,Y20-29,PC,TOTAL,BE,2016-01-01,57
T,Y20-29,PC,TOTAL,BE,2017-01-01,57
T,Y20-29,PC,TOTAL,BG,2005-01-01,53
T,Y20-29,PC,TOTAL,BG,2006-01-01,56
T,Y20-29,PC,TOTAL,BG,2007-01-01,59
T,Y20-29,PC,TOTAL,BG,2008-01-01,61
T,Y20-29,PC,TOTAL,BG,2009-01-01,57
T,Y20-29,PC,TOTAL,BG,2010-01-01,54
T,Y20-29,PC,TOTAL,BG,2011-01-01,50
T,Y20-29,PC,TOTAL,BG,2012-01-01,
T,Y20-29,PC,TOTAL,BG,2013-01-01,
T,Y20-29,PC,TOTAL,BG,2014-01-01,50
T,Y20-29,PC,TOTAL,BG,2015-01-01,52
T,Y20-29,PC,TOTAL,BG,2016-01-01,51
T,Y20-29,PC,TOTAL,BG,2017-01-01,56
T,Y20-29,PC,TOTAL,CH,2005-01-01,78
T,Y20-29,PC,TOTAL,CH,2006-01-01,80
T,Y20-29,PC,TOTAL,CH,2007-01-01,80
T,Y20-29,PC,TOTAL,CH,2008-01-01,80
T,Y20-29,PC,TOTAL,CH,2009-01-01,77
T,Y20-29,PC,TOTAL,CH,2010-01-01,78
T,Y20-29,PC,TOTAL,CH,2011-01-01,79
T,Y20-29,PC,TOTAL,CH,2012-01-01,
T,Y20-29,PC,TOTAL,CH,2013-01-01,
