unit,sex,age,citizen,geotime,date,value
PC,T,Y20-64,NEU28_FOR,AT,2006-01-01,57.3
PC,T,Y20-64,NEU28_FOR,AT,2007-01-01,58.3
PC,T,Y20-64,NEU28_FOR,AT,2008-01-01,58.1
PC,T,Y20-64,NEU28_FOR,AT,2009-01-01,57.3
PC,T,Y20-64,NEU28_FOR,AT,2010-01-01,59.1
PC,T,Y20-64,NEU28_FOR,AT,2011-01-01,60.0
PC,T,Y20-64,NEU28_FOR,AT,2012-01-01,59.1
PC,T,Y20-64,NEU28_FOR,AT,2013-01-01,57.4
PC,T,Y20-64,NEU28_FOR,AT,2014-01-01,56.2
PC,T,Y20-64,NEU28_FOR,AT,2015-01-01,55.9
PC,T,Y20-64,NEU28_FOR,AT,2016-01-01,55.3
PC,T,Y20-64,NEU28_FOR,AT,2017-01-01,56.8
PC,T,Y20-64,NEU28_FOR,BE,2006-01-01,36.3
PC,T,Y20-64,NEU28_FOR,BE,2007-01-01,40.3
PC,T,Y20-64,NEU28_FOR,BE,2008-01-01,42.1
PC,T,Y20-64,NEU28_FOR,BE,2009-01-01,40.9
PC,T,Y20-64,NEU28_FOR,BE,2010-01-01,40.3
PC,T,Y20-64,NEU28_FOR,BE,2011-01-01,39.6
PC,T,Y20-64,NEU28_FOR,BE,2012-01-01,38.9
PC,T,Y20-64,NEU28_FOR,BE,2013-01-01,39.9
PC,T,Y20-64,NEU28_FOR,BE,2014-01-01,40.5
PC,T,Y20-64,NEU28_FOR,BE,2015-01-01,42.7
PC,T,Y20-64,NEU28_FOR,BE,2016-01-01,41.7
PC,T,Y20-64,NEU28_FOR,BE,2017-01-01,41.6
PC,T,Y20-64,NEU28_FOR,BG,2006-01-01,55.7
PC,T,Y20-64,NEU28_FOR,BG,2007-01-01,62.2
PC,T,Y20-64,NEU28_FOR,BG,2008-01-01,
PC,T,Y20-64,NEU28_FOR,BG,2009-01-01,46.0
PC,T,Y20-64,NEU28_FOR,BG,2010-01-01,48.0
PC,T,Y20-64,NEU28_FOR,BG,2011-01-01,
PC,T,Y20-64,NEU28_FOR,BG,2012-01-01,
PC,T,Y20-64,NEU28_FOR,BG,2013-01-01,49.4
PC,T,Y20-64,NEU28_FOR,BG,2014-01-01,56.5
PC,T,Y20-64,NEU28_FOR,BG,2015-01-01,
PC,T,Y20-64,NEU28_FOR,BG,2016-01-01,55.1
PC,T,Y20-64,NEU28_FOR,BG,2017-01-01,56.0
PC,T,Y20-64,NEU28_FOR,CH,2006-01-01,66.2
PC,T,Y20-64,NEU28_FOR,CH,2007-01-01,67.3
PC,T,Y20-64,NEU28_FOR,CH,2008-01-01,68.8
PC,T,Y20-64,NEU28_FOR,CH,2009-01-01,66.6
PC,T,Y20-64,NEU28_FOR,CH,2010-01-01,63.4
PC,T,Y20-64,NEU28_FOR,CH,2011-01-01,65.2
