age,unit,sex,geotime,date,value
Y_LT25,PC_ACT,F,AT,2005-01-01,10.3
Y_LT25,PC_ACT,F,AT,2006-01-01,9.8
Y_LT25,PC_ACT,F,AT,2007-01-01,9.6
Y_LT25,PC_ACT,F,AT,2008-01-01,8.6
Y_LT25,PC_ACT,F,AT,2009-01-01,10.1
Y_LT25,PC_ACT,F,AT,2010-01-01,9.4
Y_LT25,PC_ACT,F,AT,2011-01-01,9.1
Y_LT25,PC_ACT,F,AT,2012-01-01,9.2
Y_LT25,PC_ACT,F,AT,2013-01-01,10.0
Y_LT25,PC_ACT,F,AT,2014-01-01,9.9
Y_LT25,PC_ACT,F,AT,2015-01-01,10.0
Y_LT25,PC_ACT,F,AT,2016-01-01,10.2
Y_LT25,PC_ACT,F,AT,2017-01-01,8.7
Y_LT25,PC_ACT,F,BE,2005-01-01,22.1
Y_LT25,PC_ACT,F,BE,2006-01-01,22.6
Y_LT25,PC_ACT,F,BE,2007-01-01,20.9
Y_LT25,PC_ACT,F,BE,2008-01-01,18.7
Y_LT25,PC_ACT,F,BE,2009-01-01,22.5
Y_LT25,PC_ACT,F,BE,2010-01-01,22.4
Y_LT25,PC_ACT,F,BE,2011-01-01,18.7
Y_LT25,PC_ACT,F,BE,2012-01-01,18.9
Y_LT25,PC_ACT,F,BE,2013-01-01,22.5
Y_LT25,PC_ACT,F,BE,2014-01-01,22.3
Y_LT25,PC_ACT,F,BE,2015-01-01,20.0
Y_LT25,PC_ACT,F,BE,2016-01-01,18.2
Y_LT25,PC_ACT,F,BE,2017-01-01,18.0
Y_LT25,PC_ACT,F,BG,2005-01-01,19.7
Y_LT25,PC_ACT,F,BG,2006-01-01,18.9
Y_LT25,PC_ACT,F,BG,2007-01-01,14.8
Y_LT25,PC_ACT,F,BG,2008-01-01,10.5
Y_LT25,PC_ACT,F,BG,2009-01-01,12.8
Y_LT25,PC_ACT,F,BG,2010-01-01,20.1
Y_LT25,PC_ACT,F,BG,2011-01-01,23.6
Y_LT25,PC_ACT,F,BG,2012-01-01,26.0
Y_LT25,PC_ACT,F,BG,2013-01-01,25.7
Y_LT25,PC_ACT,F,BG,2014-01-01,23.7
Y_LT25,PC_ACT,F,BG,2015-01-01,22.3
Y_LT25,PC_ACT,F,BG,2016-01-01,16.9
Y_LT25,PC_ACT,F,BG,2017-01-01,12.4
Y_LT25,PC_ACT,F,CY,2005-01-01,14.7
Y_LT25,PC_ACT,F,CY,2006-01-01,11.1
Y_LT25,PC_ACT,F,CY,2007-01-01,9.4
Y_LT25,PC_ACT,F,CY,2008-01-01,9.4
Y_LT25,PC_ACT,F,CY,2009-01-01,14.0
Y_LT25,PC_ACT,F,CY,2010-01-01,17.2
Y_LT25,PC_ACT,F,CY,2011-01-01,21.5
Y_LT25,PC_ACT,F,CY,2012-01-01,26.7
Y_LT25,PC_ACT,F,CY,2013-01-01,36.8
Y_LT25,PC_ACT,F,CY,2014-01-01,34.6
Y_LT25,PC_ACT,F,CY,2015-01-01,31.1
Y_LT25,PC_ACT,F,CY,2016-01-01,31.8
Y_LT25,PC_ACT,F,CY,2017-01-01,22.9
Y_LT25,PC_ACT,F,CZ,2005-01-01,19.1
Y_LT25,PC_ACT,F,CZ,2006-01-01,18.7
Y_LT25,PC_ACT,F,CZ,2007-01-01,11.0
Y_LT25,PC_ACT,F,CZ,2008-01-01,9.9
Y_LT25,PC_ACT,F,CZ,2009-01-01,16.7
Y_LT25,PC_ACT,F,CZ,2010-01-01,18.5
Y_LT25,PC_ACT,F,CZ,2011-01-01,18.0
Y_LT25,PC_ACT,F,CZ,2012-01-01,19.0
Y_LT25,PC_ACT,F,CZ,2013-01-01,19.3
Y_LT25,PC_ACT,F,CZ,2014-01-01,17.1
Y_LT25,PC_ACT,F,CZ,2015-01-01,14.4
Y_LT25,PC_ACT,F,CZ,2016-01-01,11.4
Y_LT25,PC_ACT,F,CZ,2017-01-01,8.7
Y_LT25,PC_ACT,F,DE,2005-01-01,14.0
Y_LT25,PC_ACT,F,DE,2006-01-01,12.5
Y_LT25,PC_ACT,F,DE,2007-01-01,11.0
Y_LT25,PC_ACT,F,DE,2008-01-01,9.9
Y_LT25,PC_ACT,F,DE,2009-01-01,9.7
Y_LT25,PC_ACT,F,DE,2010-01-01,8.8
Y_LT25,PC_ACT,F,DE,2011-01-01,7.8
Y_LT25,PC_ACT,F,DE,2012-01-01,7.3
Y_LT25,PC_ACT,F,DE,2013-01-01,7.1
Y_LT25,PC_ACT,F,DE,2014-01-01,7.1
Y_LT25,PC_ACT,F,DE,2015-01-01,6.5
Y_LT25,PC_ACT,F,DE,2016-01-01,6.1
Y_LT25,PC_ACT,F,DE,2017-01-01,5.8
Y_LT25,PC_ACT,F,DK,2005-01-01,8.6
Y_LT25,PC_ACT,F,DK,2006-01-01,7.5
Y_LT25,PC_ACT,F,DK,2007-01-01,7.4
Y_LT25,PC_ACT,F,DK,2008-01-01,8.7
Y_LT25,PC_ACT,F,DK,2009-01-01,10.3
Y_LT25,PC_ACT,F,DK,2010-01-01,11.8
Y_LT25,PC_ACT,F,DK,2011-01-01,12.7
Y_LT25,PC_ACT,F,DK,2012-01-01,13.5
Y_LT25,PC_ACT,F,DK,2013-01-01,11.8
Y_LT25,PC_ACT,F,DK,2014-01-01,11.5
Y_LT25,PC_ACT,F,DK,2015-01-01,10.0
Y_LT25,PC_ACT,F,DK,2016-01-01,10.9
Y_LT25,PC_ACT,F,DK,2017-01-01,10.7
Y_LT25,PC_ACT,F,EA18,2005-01-01,19.2
Y_LT25,PC_ACT,F,EA18,2006-01-01,18.2
Y_LT25,PC_ACT,F,EA18,2007-01-01,16.5
Y_LT25,PC_ACT,F,EA18,2008-01-01,16.4
Y_LT25,PC_ACT,F,EA18,2009-01-01,19.6
Y_LT25,PC_ACT,F,EA18,2010-01-01,20.6
Y_LT25,PC_ACT,F,EA18,2011-01-01,20.9
Y_LT25,PC_ACT,F,EA18,2012-01-01,23.1
Y_LT25,PC_ACT,F,EA18,2013-01-01,23.9
Y_LT25,PC_ACT,F,EA18,2014-01-01,23.3
Y_LT25,PC_ACT,F,EA18,2015-01-01,21.6
Y_LT25,PC_ACT,F,EA18,2016-01-01,20.4
Y_LT25,PC_ACT,F,EA18,2017-01-01,18.2
Y_LT25,PC_ACT,F,EA19,2005-01-01,19.2
Y_LT25,PC_ACT,F,EA19,2006-01-01,18.1
Y_LT25,PC_ACT,F,EA19,2007-01-01,16.4
Y_LT25,PC_ACT,F,EA19,2008-01-01,16.3
Y_LT25,PC_ACT,F,EA19,2009-01-01,19.6
