sex,age,typtrai,wstatus,unit,geotime,date,value
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2005-01-01,8
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2006-01-01,8
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2007-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2008-01-01,8
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2009-01-01,8
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2010-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2011-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2012-01-01,
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2013-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2014-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2015-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2016-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,AT,2017-01-01,6
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2005-01-01,13
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2006-01-01,12
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2007-01-01,12
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2008-01-01,11
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2009-01-01,11
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2010-01-01,10
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2011-01-01,12
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2012-01-01,
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2013-01-01,12
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2014-01-01,11
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2015-01-01,11
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2016-01-01,9
F,Y15-24,NO_FED_NFE,NEMP,PC,BE,2017-01-01,8
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2005-01-01,26
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2006-01-01,24
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2007-01-01,20
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2008-01-01,19
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2009-01-01,20
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2010-01-01,21
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2011-01-01,21
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2012-01-01,
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2013-01-01,21
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2014-01-01,21
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2015-01-01,20
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2016-01-01,19
F,Y15-24,NO_FED_NFE,NEMP,PC,BG,2017-01-01,17
F,Y15-24,NO_FED_NFE,NEMP,PC,CH,2005-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,CH,2006-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,CH,2007-01-01,6
F,Y15-24,NO_FED_NFE,NEMP,PC,CH,2008-01-01,6
F,Y15-24,NO_FED_NFE,NEMP,PC,CH,2009-01-01,7
F,Y15-24,NO_FED_NFE,NEMP,PC,CH,2010-01-01,7
