geotime,date,value
AT,2005-01-01,67.07
AT,2006-01-01,67.34
AT,2007-01-01,67.59
AT,2008-01-01,67.81
AT,2009-01-01,67.03
AT,2010-01-01,67.17
AT,2011-01-01,67.4
AT,2012-01-01,67.59
AT,2013-01-01,67.81
AT,2014-01-01,67.95
AT,2015-01-01,68.13
BE,2005-01-01,85.23
BE,2006-01-01,84.93
BE,2007-01-01,85.33
BE,2008-01-01,85.47
BE,2009-01-01,92.08
BE,2010-01-01,90.99
BE,2011-01-01,90.69
BE,2012-01-01,91.9
BE,2013-01-01,93.27
BE,2014-01-01,92.81
BE,2015-01-01,92.2
BG,2005-01-01,
BG,2006-01-01,
BG,2007-01-01,
BG,2008-01-01,76.73
BG,2009-01-01,81.7
BG,2010-01-01,80.89
BG,2011-01-01,81.61
BG,2012-01-01,81.61
BG,2013-01-01,81.61
BG,2014-01-01,81.61
BG,2015-01-01,81.61
CY,2005-01-01,61.53
CY,2006-01-01,61.53
CY,2007-01-01,61.45
CY,2008-01-01,
CY,2009-01-01,
CY,2010-01-01,
CY,2011-01-01,
CY,2012-01-01,
CY,2013-01-01,
CY,2014-01-01,
CY,2015-01-01,
CZ,2005-01-01,65.69
CZ,2006-01-01,63.49
CZ,2007-01-01,66.86
CZ,2008-01-01,68.17
CZ,2009-01-01,79.45
CZ,2010-01-01,79.96
CZ,2011-01-01,80.19
CZ,2012-01-01,80.12
CZ,2013-01-01,80.11
CZ,2014-01-01,80.2
CZ,2015-01-01,80.27
DE,2005-01-01,74.43
DE,2006-01-01,75.05
DE,2007-01-01,74.18
DE,2008-01-01,73.92
DE,2009-01-01,74.89
DE,2010-01-01,72.94
DE,2011-01-01,73.34
DE,2012-01-01,73.29
DE,2013-01-01,72.99
DE,2014-01-01,73.03
DE,2015-01-01,73.1
DK,2005-01-01,91.52
DK,2006-01-01,90.91
DK,2007-01-01,89.86
DK,2008-01-01,88.92
DK,2009-01-01,89.16
DK,2010-01-01,89.55
DK,2011-01-01,89.13
DK,2012-01-01,89.82
DK,2013-01-01,89.4
DK,2014-01-01,89.61
DK,2015-01-01,89.59
EA18,2005-01-01,76.08
EA18,2006-01-01,76.39
EA18,2007-01-01,75.86
EA18,2008-01-01,76.71
EA18,2009-01-01,77.12
EA18,2010-01-01,76.27
EA18,2011-01-01,76.58
EA18,2012-01-01,76.43
EA18,2013-01-01,76.6
EA18,2014-01-01,76.61
EA18,2015-01-01,76.45
EA19,2005-01-01,76.13
EA19,2006-01-01,76.42
EA19,2007-01-01,75.9
EA19,2008-01-01,76.76
EA19,2009-01-01,77.21
EA19,2010-01-01,76.2
EA19,2011-01-01,76.5
EA19,2012-01-01,76.34
EA19,2013-01-01,76.49
EA19,2014-01-01,76.46
EA19,2015-01-01,76.5
EE,2005-01-01,64.28
EE,2006-01-01,63.5
EE,2007-01-01,63.03
EE,2008-01-01,62.55
EE,2009-01-01,61.88
EE,2010-01-01,62.71
EE,2011-01-01,63.5
EE,2012-01-01,64.29
EE,2013-01-01,63.66
EE,2014-01-01,63.66
EE,2015-01-01,62.88
EL,2005-01-01,55.5
EL,2006-01-01,56.38
EL,2007-01-01,59.08
EL,2008-01-01,62.76
EL,2009-01-01,65.32
EL,2010-01-01,51.45
EL,2011-01-01,57.38
EL,2012-01-01,51.56
EL,2013-01-01,50.89
EL,2014-01-01,50.29
EL,2015-01-01,50.57
ES,2005-01-01,80.2
ES,2006-01-01,80.26
ES,2007-01-01,81.49
ES,2008-01-01,81.18
ES,2009-01-01,80.61
ES,2010-01-01,82.64
ES,2011-01-01,82.71
ES,2012-01-01,82.81
ES,2013-01-01,81.74
ES,2014-01-01,81.73
ES,2015-01-01,81.43
EU27,2005-01-01,71.65
EU27,2006-01-01,71.98
EU27,2007-01-01,71.36
EU27,2008-01-01,74.39
EU27,2009-01-01,75.16
EU27,2010-01-01,74.67
EU27,2011-01-01,74.69
EU27,2012-01-01,74.3
EU27,2013-01-01,74.19
EU27,2014-01-01,73.96
EU27,2015-01-01,73.95
EU28,2005-01-01,70.62
EU28,2006-01-01,70.9
EU28,2007-01-01,70.26
EU28,2008-01-01,74.43
EU28,2009-01-01,75.26
EU28,2010-01-01,74.76
EU28,2011-01-01,74.79
EU28,2012-01-01,74.4
EU28,2013-01-01,74.24
EU28,2014-01-01,74.01
EU28,2015-01-01,74.0
FI,2005-01-01,77.8
FI,2006-01-01,76.31
FI,2007-01-01,74.24
FI,2008-01-01,73.28
FI,2009-01-01,72.1
FI,2010-01-01,72.31
FI,2011-01-01,72.27
FI,2012-01-01,74.97
FI,2013-01-01,75.59
FI,2014-01-01,81.67
FI,2015-01-01,76.34
FR,2005-01-01,81.58
FR,2006-01-01,80.82
FR,2007-01-01,77.36
FR,2008-01-01,77.22
FR,2009-01-01,77.19
FR,2010-01-01,76.93
FR,2011-01-01,77.36
FR,2012-01-01,77.28
FR,2013-01-01,77.31
FR,2014-01-01,77.43
FR,2015-01-01,76.47
HR,2005-01-01,
HR,2006-01-01,
HR,2007-01-01,
HR,2008-01-01,
HR,2009-01-01,
HR,2010-01-01,
HR,2011-01-01,
HR,2012-01-01,
HR,2013-01-01,81.04
HR,2014-01-01,81.04
HR,2015-01-01,80.13
HU,2005-01-01,62.4
HU,2006-01-01,77.68
HU,2007-01-01,80.64
HU,2008-01-01,80.31
HU,2009-01-01,80.61
HU,2010-01-01,79.94
HU,2011-01-01,79.63
HU,2012-01-01,79.48
HU,2013-01-01,78.76
HU,2014-01-01,78.56
HU,2015-01-01,78.41
IE,2005-01-01,74.19
IE,2006-01-01,76.6
IE,2007-01-01,78.57
IE,2008-01-01,79.5
IE,2009-01-01,80.61
IE,2010-01-01,78.18
IE,2011-01-01,75.91
IE,2012-01-01,74.18
IE,2013-01-01,73.72
IE,2014-01-01,73.19
IE,2015-01-01,71.84
IS,2005-01-01,66.73
IS,2006-01-01,85.23
IS,2007-01-01,83.67
IS,2008-01-01,81.41
IS,2009-01-01,85.37
IS,2010-01-01,86.18
IS,2011-01-01,86.24
IS,2012-01-01,86.24
IS,2013-01-01,86.24
IS,2014-01-01,84.78
IS,2015-01-01,83.8
IT,2005-01-01,72.02
IT,2006-01-01,72.95
IT,2007-01-01,73.13
IT,2008-01-01,78.82
IT,2009-01-01,79.21
IT,2010-01-01,78.42
IT,2011-01-01,77.7
IT,2012-01-01,77.3
IT,2013-01-01,79.69
IT,2014-01-01,79.68
IT,2015-01-01,80.77
JP,2005-01-01,57.35
JP,2006-01-01,57.91
JP,2007-01-01,58.34
JP,2008-01-01,58.51
JP,2009-01-01,48.93
JP,2010-01-01,49.85
JP,2011-01-01,49.71
JP,2012-01-01,49.85
JP,2013-01-01,46.14
JP,2014-01-01,50.26
JP,2015-01-01,48.74
LT,2005-01-01,80.65
LT,2006-01-01,78.77
LT,2007-01-01,79.76
LT,2008-01-01,81.6
LT,2009-01-01,86.22
LT,2010-01-01,69.78
LT,2011-01-01,68.47
LT,2012-01-01,66.64
LT,2013-01-01,64.39
LT,2014-01-01,61.49
LT,2015-01-01,81.56
LU,2005-01-01,86.11
LU,2006-01-01,86.3
LU,2007-01-01,86.55
LU,2008-01-01,86.45
LU,2009-01-01,85.51
LU,2010-01-01,85.72
LU,2011-01-01,86.75
LU,2012-01-01,86.13
LU,2013-01-01,86.51
LU,2014-01-01,86.69
LU,2015-01-01,87.6
LV,2005-01-01,87.82
LV,2006-01-01,87.81
LV,2007-01-01,86.99
LV,2008-01-01,85.48
LV,2009-01-01,87.46
LV,2010-01-01,89.86
LV,2011-01-01,89.92
LV,2012-01-01,90.06
LV,2013-01-01,89.03
LV,2014-01-01,88.35
LV,2015-01-01,87.86
MT,2005-01-01,60.29
MT,2006-01-01,59.95
MT,2007-01-01,61.11
MT,2008-01-01,58.26
MT,2009-01-01,58.31
MT,2010-01-01,58.62
MT,2011-01-01,55.66
MT,2012-01-01,55.92
MT,2013-01-01,55.97
MT,2014-01-01,57.65
MT,2015-01-01,57.05
NL,2005-01-01,79.93
NL,2006-01-01,81.77
NL,2007-01-01,83.45
NL,2008-01-01,83.81
NL,2009-01-01,83.49
NL,2010-01-01,84.0
NL,2011-01-01,83.89
NL,2012-01-01,84.04
NL,2013-01-01,83.74
NL,2014-01-01,82.22
NL,2015-01-01,82.33
NO,2005-01-01,74.77
NO,2006-01-01,75.38
NO,2007-01-01,75.82
NO,2008-01-01,75.84
NO,2009-01-01,75.71
NO,2010-01-01,75.7
NO,2011-01-01,75.75
NO,2012-01-01,75.86
NO,2013-01-01,75.86
NO,2014-01-01,75.64
NO,2015-01-01,75.64
PL,2005-01-01,83.02
PL,2006-01-01,82.57
PL,2007-01-01,78.24
PL,2008-01-01,76.24
PL,2009-01-01,76.0
PL,2010-01-01,81.59
PL,2011-01-01,80.67
PL,2012-01-01,80.84
PL,2013-01-01,80.9
PL,2014-01-01,79.36
PL,2015-01-01,81.82
PT,2005-01-01,80.98
PT,2006-01-01,81.87
PT,2007-01-01,81.5
PT,2008-01-01,81.06
PT,2009-01-01,80.67
PT,2010-01-01,79.03
PT,2011-01-01,79.04
PT,2012-01-01,79.15
PT,2013-01-01,79.95
PT,2014-01-01,79.84
PT,2015-01-01,80.27
RO,2005-01-01,
RO,2006-01-01,
RO,2007-01-01,
RO,2008-01-01,56.85
RO,2009-01-01,61.72
RO,2010-01-01,57.57
RO,2011-01-01,52.02
RO,2012-01-01,52.14
RO,2013-01-01,52.01
RO,2014-01-01,50.6
RO,2015-01-01,49.4
SE,2005-01-01,87.08
SE,2006-01-01,86.96
SE,2007-01-01,82.18
SE,2008-01-01,78.83
SE,2009-01-01,76.47
SE,2010-01-01,74.68
SE,2011-01-01,73.69
SE,2012-01-01,72.32
SE,2013-01-01,71.3
SE,2014-01-01,69.49
SE,2015-01-01,68.92
SI,2005-01-01,82.61
SI,2006-01-01,82.27
SI,2007-01-01,80.69
SI,2008-01-01,83.4
SI,2009-01-01,83.43
SI,2010-01-01,83.15
SI,2011-01-01,89.66
SI,2012-01-01,89.53
SI,2013-01-01,89.75
SI,2014-01-01,89.71
SI,2015-01-01,89.59
SK,2005-01-01,42.78
SK,2006-01-01,43.33
SK,2007-01-01,43.6
SK,2008-01-01,44.34
SK,2009-01-01,42.23
SK,2010-01-01,42.61
SK,2011-01-01,44.33
SK,2012-01-01,44.32
SK,2013-01-01,44.26
SK,2014-01-01,44.51
SK,2015-01-01,44.74
UK,2005-01-01,68.05
UK,2006-01-01,67.92
UK,2007-01-01,67.73
UK,2008-01-01,65.15
UK,2009-01-01,65.43
UK,2010-01-01,64.78
UK,2011-01-01,65.67
UK,2012-01-01,63.91
UK,2013-01-01,62.67
UK,2014-01-01,62.48
UK,2015-01-01,61.65
US,2005-01-01,70.4
US,2006-01-01,70.45
US,2007-01-01,70.48
US,2008-01-01,69.43
US,2009-01-01,68.13
US,2010-01-01,68.37
US,2011-01-01,67.89
US,2012-01-01,67.6
US,2013-01-01,70.7
US,2014-01-01,70.85
US,2015-01-01,70.8
