indic_il,sex,age,geotime,date,value
LI_GAP_MD60,T,Y16-64,AT,2006-01-01,18.8
LI_GAP_MD60,T,Y16-64,AT,2007-01-01,19.9
LI_GAP_MD60,T,Y16-64,AT,2008-01-01,21.3
LI_GAP_MD60,T,Y16-64,AT,2009-01-01,20.8
LI_GAP_MD60,T,Y16-64,AT,2010-01-01,23.8
LI_GAP_MD60,T,Y16-64,AT,2011-01-01,19.1
LI_GAP_MD60,T,Y16-64,AT,2012-01-01,23.5
LI_GAP_MD60,T,Y16-64,AT,2013-01-01,23.2
LI_GAP_MD60,T,Y16-64,AT,2014-01-01,21.1
LI_GAP_MD60,T,Y16-64,AT,2015-01-01,21.7
LI_GAP_MD60,T,Y16-64,AT,2016-01-01,20.5
LI_GAP_MD60,T,Y16-64,AT,2017-01-01,25.6
LI_GAP_MD60,T,Y16-64,BE,2006-01-01,21.4
LI_GAP_MD60,T,Y16-64,BE,2007-01-01,20.5
LI_GAP_MD60,T,Y16-64,BE,2008-01-01,19.0
LI_GAP_MD60,T,Y16-64,BE,2009-01-01,20.8
LI_GAP_MD60,T,Y16-64,BE,2010-01-01,21.1
LI_GAP_MD60,T,Y16-64,BE,2011-01-01,20.0
LI_GAP_MD60,T,Y16-64,BE,2012-01-01,21.0
LI_GAP_MD60,T,Y16-64,BE,2013-01-01,22.8
LI_GAP_MD60,T,Y16-64,BE,2014-01-01,21.6
LI_GAP_MD60,T,Y16-64,BE,2015-01-01,19.7
LI_GAP_MD60,T,Y16-64,BE,2016-01-01,21.3
LI_GAP_MD60,T,Y16-64,BE,2017-01-01,19.3
LI_GAP_MD60,T,Y16-64,BG,2006-01-01,31.4
LI_GAP_MD60,T,Y16-64,BG,2007-01-01,39.1
LI_GAP_MD60,T,Y16-64,BG,2008-01-01,29.8
LI_GAP_MD60,T,Y16-64,BG,2009-01-01,30.2
LI_GAP_MD60,T,Y16-64,BG,2010-01-01,29.6
LI_GAP_MD60,T,Y16-64,BG,2011-01-01,31.6
LI_GAP_MD60,T,Y16-64,BG,2012-01-01,34.6
LI_GAP_MD60,T,Y16-64,BG,2013-01-01,34.5
LI_GAP_MD60,T,Y16-64,BG,2014-01-01,36.4
LI_GAP_MD60,T,Y16-64,BG,2015-01-01,34.5
LI_GAP_MD60,T,Y16-64,BG,2016-01-01,36.3
LI_GAP_MD60,T,Y16-64,BG,2017-01-01,34.6
LI_GAP_MD60,T,Y16-64,CH,2006-01-01,
LI_GAP_MD60,T,Y16-64,CH,2007-01-01,24.3
LI_GAP_MD60,T,Y16-64,CH,2008-01-01,20.6
LI_GAP_MD60,T,Y16-64,CH,2009-01-01,20.3
LI_GAP_MD60,T,Y16-64,CH,2010-01-01,20.8
LI_GAP_MD60,T,Y16-64,CH,2011-01-01,22.0
LI_GAP_MD60,T,Y16-64,CH,2012-01-01,21.8
LI_GAP_MD60,T,Y16-64,CH,2013-01-01,18.9
LI_GAP_MD60,T,Y16-64,CH,2014-01-01,21.1
LI_GAP_MD60,T,Y16-64,CH,2015-01-01,20.3
LI_GAP_MD60,T,Y16-64,CH,2016-01-01,19.8
LI_GAP_MD60,T,Y16-64,CH,2017-01-01,
LI_GAP_MD60,T,Y16-64,CY,2006-01-01,17.8
LI_GAP_MD60,T,Y16-64,CY,2007-01-01,18.0
LI_GAP_MD60,T,Y16-64,CY,2008-01-01,13.8
LI_GAP_MD60,T,Y16-64,CY,2009-01-01,18.3
LI_GAP_MD60,T,Y16-64,CY,2010-01-01,19.6
LI_GAP_MD60,T,Y16-64,CY,2011-01-01,20.3
LI_GAP_MD60,T,Y16-64,CY,2012-01-01,20.3
LI_GAP_MD60,T,Y16-64,CY,2013-01-01,18.5
LI_GAP_MD60,T,Y16-64,CY,2014-01-01,19.3
LI_GAP_MD60,T,Y16-64,CY,2015-01-01,21.7
LI_GAP_MD60,T,Y16-64,CY,2016-01-01,18.0
LI_GAP_MD60,T,Y16-64,CY,2017-01-01,15.3
LI_GAP_MD60,T,Y16-64,CZ,2006-01-01,18.0
LI_GAP_MD60,T,Y16-64,CZ,2007-01-01,19.0
LI_GAP_MD60,T,Y16-64,CZ,2008-01-01,20.0
LI_GAP_MD60,T,Y16-64,CZ,2009-01-01,22.0
LI_GAP_MD60,T,Y16-64,CZ,2010-01-01,22.2
LI_GAP_MD60,T,Y16-64,CZ,2011-01-01,19.4
LI_GAP_MD60,T,Y16-64,CZ,2012-01-01,21.2
LI_GAP_MD60,T,Y16-64,CZ,2013-01-01,17.3
LI_GAP_MD60,T,Y16-64,CZ,2014-01-01,19.0
LI_GAP_MD60,T,Y16-64,CZ,2015-01-01,19.6
LI_GAP_MD60,T,Y16-64,CZ,2016-01-01,20.7
LI_GAP_MD60,T,Y16-64,CZ,2017-01-01,18.0
LI_GAP_MD60,T,Y16-64,DE,2006-01-01,21.7
LI_GAP_MD60,T,Y16-64,DE,2007-01-01,25.9
LI_GAP_MD60,T,Y16-64,DE,2008-01-01,24.7
LI_GAP_MD60,T,Y16-64,DE,2009-01-01,23.6
LI_GAP_MD60,T,Y16-64,DE,2010-01-01,22.6
LI_GAP_MD60,T,Y16-64,DE,2011-01-01,24.4
LI_GAP_MD60,T,Y16-64,DE,2012-01-01,22.8
LI_GAP_MD60,T,Y16-64,DE,2013-01-01,22.0
LI_GAP_MD60,T,Y16-64,DE,2014-01-01,24.8
LI_GAP_MD60,T,Y16-64,DE,2015-01-01,24.6
LI_GAP_MD60,T,Y16-64,DE,2016-01-01,23.1
LI_GAP_MD60,T,Y16-64,DE,2017-01-01,23.5
LI_GAP_MD60,T,Y16-64,DK,2006-01-01,23.4
LI_GAP_MD60,T,Y16-64,DK,2007-01-01,24.4
LI_GAP_MD60,T,Y16-64,DK,2008-01-01,24.7
LI_GAP_MD60,T,Y16-64,DK,2009-01-01,29.5
LI_GAP_MD60,T,Y16-64,DK,2010-01-01,29.5
LI_GAP_MD60,T,Y16-64,DK,2011-01-01,26.2
LI_GAP_MD60,T,Y16-64,DK,2012-01-01,23.6
LI_GAP_MD60,T,Y16-64,DK,2013-01-01,25.5
LI_GAP_MD60,T,Y16-64,DK,2014-01-01,29.5
LI_GAP_MD60,T,Y16-64,DK,2015-01-01,25.1
LI_GAP_MD60,T,Y16-64,DK,2016-01-01,25.8
LI_GAP_MD60,T,Y16-64,DK,2017-01-01,25.4
LI_GAP_MD60,T,Y16-64,EA18,2006-01-01,24.1
LI_GAP_MD60,T,Y16-64,EA18,2007-01-01,24.5
LI_GAP_MD60,T,Y16-64,EA18,2008-01-01,23.6
LI_GAP_MD60,T,Y16-64,EA18,2009-01-01,24.1
LI_GAP_MD60,T,Y16-64,EA18,2010-01-01,24.9
LI_GAP_MD60,T,Y16-64,EA18,2011-01-01,25.2
LI_GAP_MD60,T,Y16-64,EA18,2012-01-01,25.3
LI_GAP_MD60,T,Y16-64,EA18,2013-01-01,25.9
LI_GAP_MD60,T,Y16-64,EA18,2014-01-01,27.1
LI_GAP_MD60,T,Y16-64,EA18,2015-01-01,27.4
LI_GAP_MD60,T,Y16-64,EA18,2016-01-01,27.7
LI_GAP_MD60,T,Y16-64,EA18,2017-01-01,27.0
LI_GAP_MD60,T,Y16-64,EA19,2006-01-01,24.2
LI_GAP_MD60,T,Y16-64,EA19,2007-01-01,24.5
LI_GAP_MD60,T,Y16-64,EA19,2008-01-01,23.7
LI_GAP_MD60,T,Y16-64,EA19,2009-01-01,24.2
LI_GAP_MD60,T,Y16-64,EA19,2010-01-01,25.0
LI_GAP_MD60,T,Y16-64,EA19,2011-01-01,25.3
LI_GAP_MD60,T,Y16-64,EA19,2012-01-01,25.3
LI_GAP_MD60,T,Y16-64,EA19,2013-01-01,25.9
LI_GAP_MD60,T,Y16-64,EA19,2014-01-01,27.1
LI_GAP_MD60,T,Y16-64,EA19,2015-01-01,27.5
LI_GAP_MD60,T,Y16-64,EA19,2016-01-01,27.7
LI_GAP_MD60,T,Y16-64,EA19,2017-01-01,27.0
LI_GAP_MD60,T,Y16-64,EE,2006-01-01,27.8
LI_GAP_MD60,T,Y16-64,EE,2007-01-01,25.7
LI_GAP_MD60,T,Y16-64,EE,2008-01-01,26.5
LI_GAP_MD60,T,Y16-64,EE,2009-01-01,23.5
LI_GAP_MD60,T,Y16-64,EE,2010-01-01,26.6
LI_GAP_MD60,T,Y16-64,EE,2011-01-01,29.7
LI_GAP_MD60,T,Y16-64,EE,2012-01-01,29.9
LI_GAP_MD60,T,Y16-64,EE,2013-01-01,27.7
