hhtyp,indic_il,currency,geotime,date,value
A1,LI_C_MD60,PPS,AT,2006-01-01,10452
A1,LI_C_MD60,PPS,AT,2007-01-01,10686
A1,LI_C_MD60,PPS,AT,2008-01-01,11359
A1,LI_C_MD60,PPS,AT,2009-01-01,11683
A1,LI_C_MD60,PPS,AT,2010-01-01,11710
A1,LI_C_MD60,PPS,AT,2011-01-01,12255
A1,LI_C_MD60,PPS,AT,2012-01-01,12361
A1,LI_C_MD60,PPS,AT,2013-01-01,
A1,LI_C_MD60,PPS,AT,2014-01-01,12997
A1,LI_C_MD60,PPS,AT,2015-01-01,
A1,LI_C_MD60,PPS,AT,2016-01-01,13867
A1,LI_C_MD60,PPS,AT,2017-01-01,14001
A1,LI_C_MD60,PPS,BE,2006-01-01,9707
A1,LI_C_MD60,PPS,BE,2007-01-01,9787
A1,LI_C_MD60,PPS,BE,2008-01-01,10046
A1,LI_C_MD60,PPS,BE,2009-01-01,10501
A1,LI_C_MD60,PPS,BE,2010-01-01,10399
A1,LI_C_MD60,PPS,BE,2011-01-01,10895
A1,LI_C_MD60,PPS,BE,2012-01-01,11038
A1,LI_C_MD60,PPS,BE,2013-01-01,
A1,LI_C_MD60,PPS,BE,2014-01-01,11755
A1,LI_C_MD60,PPS,BE,2015-01-01,
A1,LI_C_MD60,PPS,BE,2016-01-01,12788
A1,LI_C_MD60,PPS,BE,2017-01-01,12532
A1,LI_C_MD60,PPS,BG,2006-01-01,1920
A1,LI_C_MD60,PPS,BG,2007-01-01,1979
A1,LI_C_MD60,PPS,BG,2008-01-01,2859
A1,LI_C_MD60,PPS,BG,2009-01-01,3436
A1,LI_C_MD60,PPS,BG,2010-01-01,3531
A1,LI_C_MD60,PPS,BG,2011-01-01,3499
A1,LI_C_MD60,PPS,BG,2012-01-01,3418
A1,LI_C_MD60,PPS,BG,2013-01-01,
A1,LI_C_MD60,PPS,BG,2014-01-01,4052
A1,LI_C_MD60,PPS,BG,2015-01-01,
A1,LI_C_MD60,PPS,BG,2016-01-01,4048
A1,LI_C_MD60,PPS,BG,2017-01-01,4510
A1,LI_C_MD60,PPS,CH,2006-01-01,
A1,LI_C_MD60,PPS,CH,2007-01-01,12337
A1,LI_C_MD60,PPS,CH,2008-01-01,12950
A1,LI_C_MD60,PPS,CH,2009-01-01,13519
A1,LI_C_MD60,PPS,CH,2010-01-01,13367
A1,LI_C_MD60,PPS,CH,2011-01-01,13756
A1,LI_C_MD60,PPS,CH,2012-01-01,14486
A1,LI_C_MD60,PPS,CH,2013-01-01,
A1,LI_C_MD60,PPS,CH,2014-01-01,15447
A1,LI_C_MD60,PPS,CH,2015-01-01,
A1,LI_C_MD60,PPS,CH,2016-01-01,16561
A1,LI_C_MD60,PPS,CH,2017-01-01,
A1,LI_C_MD60,PPS,CY,2006-01-01,9817
A1,LI_C_MD60,PPS,CY,2007-01-01,10951
A1,LI_C_MD60,PPS,CY,2008-01-01,10945
A1,LI_C_MD60,PPS,CY,2009-01-01,11256
A1,LI_C_MD60,PPS,CY,2010-01-01,10816
A1,LI_C_MD60,PPS,CY,2011-01-01,11497
A1,LI_C_MD60,PPS,CY,2012-01-01,11444
A1,LI_C_MD60,PPS,CY,2013-01-01,
A1,LI_C_MD60,PPS,CY,2014-01-01,9457
A1,LI_C_MD60,PPS,CY,2015-01-01,
A1,LI_C_MD60,PPS,CY,2016-01-01,9707
A1,LI_C_MD60,PPS,CY,2017-01-01,9905
A1,LI_C_MD60,PPS,CZ,2006-01-01,4956
A1,LI_C_MD60,PPS,CZ,2007-01-01,5305
A1,LI_C_MD60,PPS,CZ,2008-01-01,5835
A1,LI_C_MD60,PPS,CZ,2009-01-01,5666
A1,LI_C_MD60,PPS,CZ,2010-01-01,5796
A1,LI_C_MD60,PPS,CZ,2011-01-01,5993
A1,LI_C_MD60,PPS,CZ,2012-01-01,6188
A1,LI_C_MD60,PPS,CZ,2013-01-01,
A1,LI_C_MD60,PPS,CZ,2014-01-01,6654
A1,LI_C_MD60,PPS,CZ,2015-01-01,
A1,LI_C_MD60,PPS,CZ,2016-01-01,7486
A1,LI_C_MD60,PPS,CZ,2017-01-01,7565
A1,LI_C_MD60,PPS,DE,2006-01-01,9100
A1,LI_C_MD60,PPS,DE,2007-01-01,10395
A1,LI_C_MD60,PPS,DE,2008-01-01,10804
A1,LI_C_MD60,PPS,DE,2009-01-01,10770
A1,LI_C_MD60,PPS,DE,2010-01-01,10544
A1,LI_C_MD60,PPS,DE,2011-01-01,11037
A1,LI_C_MD60,PPS,DE,2012-01-01,11525
A1,LI_C_MD60,PPS,DE,2013-01-01,
A1,LI_C_MD60,PPS,DE,2014-01-01,11530
A1,LI_C_MD60,PPS,DE,2015-01-01,
A1,LI_C_MD60,PPS,DE,2016-01-01,12707
A1,LI_C_MD60,PPS,DE,2017-01-01,12729
A1,LI_C_MD60,PPS,DK,2006-01-01,9688
A1,LI_C_MD60,PPS,DK,2007-01-01,10121
A1,LI_C_MD60,PPS,DK,2008-01-01,10561
A1,LI_C_MD60,PPS,DK,2009-01-01,10751
A1,LI_C_MD60,PPS,DK,2010-01-01,10770
A1,LI_C_MD60,PPS,DK,2011-01-01,11510
A1,LI_C_MD60,PPS,DK,2012-01-01,11537
A1,LI_C_MD60,PPS,DK,2013-01-01,
A1,LI_C_MD60,PPS,DK,2014-01-01,11992
A1,LI_C_MD60,PPS,DK,2015-01-01,
A1,LI_C_MD60,PPS,DK,2016-01-01,12800
A1,LI_C_MD60,PPS,DK,2017-01-01,12714
A1,LI_C_MD60,PPS,EE,2006-01-01,3376
A1,LI_C_MD60,PPS,EE,2007-01-01,3895
A1,LI_C_MD60,PPS,EE,2008-01-01,4538
A1,LI_C_MD60,PPS,EE,2009-01-01,4861
A1,LI_C_MD60,PPS,EE,2010-01-01,4448
A1,LI_C_MD60,PPS,EE,2011-01-01,4491
A1,LI_C_MD60,PPS,EE,2012-01-01,4734
A1,LI_C_MD60,PPS,EE,2013-01-01,
A1,LI_C_MD60,PPS,EE,2014-01-01,5545
A1,LI_C_MD60,PPS,EE,2015-01-01,
A1,LI_C_MD60,PPS,EE,2016-01-01,7122
A1,LI_C_MD60,PPS,EE,2017-01-01,7475
A1,LI_C_MD60,PPS,EL,2006-01-01,6697
A1,LI_C_MD60,PPS,EL,2007-01-01,6873
A1,LI_C_MD60,PPS,EL,2008-01-01,7219
A1,LI_C_MD60,PPS,EL,2009-01-01,7521
A1,LI_C_MD60,PPS,EL,2010-01-01,7559
A1,LI_C_MD60,PPS,EL,2011-01-01,6976
A1,LI_C_MD60,PPS,EL,2012-01-01,6038
A1,LI_C_MD60,PPS,EL,2013-01-01,
A1,LI_C_MD60,PPS,EL,2014-01-01,5204
A1,LI_C_MD60,PPS,EL,2015-01-01,
A1,LI_C_MD60,PPS,EL,2016-01-01,5438
A1,LI_C_MD60,PPS,EL,2017-01-01,5423
A1,LI_C_MD60,PPS,ES,2006-01-01,7335
A1,LI_C_MD60,PPS,ES,2007-01-01,7614
A1,LI_C_MD60,PPS,ES,2008-01-01,9026
A1,LI_C_MD60,PPS,ES,2009-01-01,9338
A1,LI_C_MD60,PPS,ES,2010-01-01,8967
A1,LI_C_MD60,PPS,ES,2011-01-01,8655
A1,LI_C_MD60,PPS,ES,2012-01-01,8582
A1,LI_C_MD60,PPS,ES,2013-01-01,
A1,LI_C_MD60,PPS,ES,2014-01-01,8517
A1,LI_C_MD60,PPS,ES,2015-01-01,
A1,LI_C_MD60,PPS,ES,2016-01-01,9200
A1,LI_C_MD60,PPS,ES,2017-01-01,9308
A1,LI_C_MD60,PPS,FI,2006-01-01,8886
A1,LI_C_MD60,PPS,FI,2007-01-01,9145
A1,LI_C_MD60,PPS,FI,2008-01-01,9933
A1,LI_C_MD60,PPS,FI,2009-01-01,10421
A1,LI_C_MD60,PPS,FI,2010-01-01,10327
A1,LI_C_MD60,PPS,FI,2011-01-01,10760
A1,LI_C_MD60,PPS,FI,2012-01-01,11146
A1,LI_C_MD60,PPS,FI,2013-01-01,
A1,LI_C_MD60,PPS,FI,2014-01-01,11550
A1,LI_C_MD60,PPS,FI,2015-01-01,
A1,LI_C_MD60,PPS,FI,2016-01-01,11997
A1,LI_C_MD60,PPS,FI,2017-01-01,11884
A1,LI_C_MD60,PPS,FR,2006-01-01,8989
A1,LI_C_MD60,PPS,FR,2007-01-01,9089
A1,LI_C_MD60,PPS,FR,2008-01-01,10496
A1,LI_C_MD60,PPS,FR,2009-01-01,10644
A1,LI_C_MD60,PPS,FR,2010-01-01,10669
A1,LI_C_MD60,PPS,FR,2011-01-01,10897
A1,LI_C_MD60,PPS,FR,2012-01-01,11271
A1,LI_C_MD60,PPS,FR,2013-01-01,
A1,LI_C_MD60,PPS,FR,2014-01-01,11584
A1,LI_C_MD60,PPS,FR,2015-01-01,
A1,LI_C_MD60,PPS,FR,2016-01-01,12375
A1,LI_C_MD60,PPS,FR,2017-01-01,12271
A1,LI_C_MD60,PPS,HR,2006-01-01,
A1,LI_C_MD60,PPS,HR,2007-01-01,
A1,LI_C_MD60,PPS,HR,2008-01-01,
A1,LI_C_MD60,PPS,HR,2009-01-01,
A1,LI_C_MD60,PPS,HR,2010-01-01,4567
A1,LI_C_MD60,PPS,HR,2011-01-01,4454
A1,LI_C_MD60,PPS,HR,2012-01-01,4417
A1,LI_C_MD60,PPS,HR,2013-01-01,
A1,LI_C_MD60,PPS,HR,2014-01-01,4644
A1,LI_C_MD60,PPS,HR,2015-01-01,
A1,LI_C_MD60,PPS,HR,2016-01-01,5389
A1,LI_C_MD60,PPS,HR,2017-01-01,
A1,LI_C_MD60,PPS,HU,2006-01-01,3646
A1,LI_C_MD60,PPS,HU,2007-01-01,3894
A1,LI_C_MD60,PPS,HU,2008-01-01,3958
A1,LI_C_MD60,PPS,HU,2009-01-01,4097
A1,LI_C_MD60,PPS,HU,2010-01-01,4025
A1,LI_C_MD60,PPS,HU,2011-01-01,4281
A1,LI_C_MD60,PPS,HU,2012-01-01,4563
A1,LI_C_MD60,PPS,HU,2013-01-01,
A1,LI_C_MD60,PPS,HU,2014-01-01,4535
A1,LI_C_MD60,PPS,HU,2015-01-01,
A1,LI_C_MD60,PPS,HU,2016-01-01,4963
A1,LI_C_MD60,PPS,HU,2017-01-01,5019
A1,LI_C_MD60,PPS,IE,2006-01-01,9563
A1,LI_C_MD60,PPS,IE,2007-01-01,10633
A1,LI_C_MD60,PPS,IE,2008-01-01,10901
A1,LI_C_MD60,PPS,IE,2009-01-01,10386
A1,LI_C_MD60,PPS,IE,2010-01-01,10102
A1,LI_C_MD60,PPS,IE,2011-01-01,9999
A1,LI_C_MD60,PPS,IE,2012-01-01,9962
A1,LI_C_MD60,PPS,IE,2013-01-01,
A1,LI_C_MD60,PPS,IE,2014-01-01,9939
A1,LI_C_MD60,PPS,IE,2015-01-01,
A1,LI_C_MD60,PPS,IE,2016-01-01,10998
A1,LI_C_MD60,PPS,IE,2017-01-01,
A1,LI_C_MD60,PPS,IS,2006-01-01,11136
A1,LI_C_MD60,PPS,IS,2007-01-01,11937
