sex,indic_il,unit,age,geo\time,date,value
F,LI_R_MD60BT,PC,TOTAL,AT,2005-01-01,49.24 
F,LI_R_MD60BT,PC,TOTAL,AT,2006-01-01,46.77 
F,LI_R_MD60BT,PC,TOTAL,AT,2007-01-01,48.85 
F,LI_R_MD60BT,PC,TOTAL,AT,2008-01-01,40.59 b
F,LI_R_MD60BT,PC,TOTAL,AT,2009-01-01,40.70 
F,LI_R_MD60BT,PC,TOTAL,AT,2010-01-01,40.82 
F,LI_R_MD60BT,PC,TOTAL,AT,2011-01-01,45.26 
F,LI_R_MD60BT,PC,TOTAL,AT,2012-01-01,42.26 
F,LI_R_MD60BT,PC,TOTAL,AT,2013-01-01,42.64
F,LI_R_MD60BT,PC,TOTAL,AT,2014-01-01,43.13 
F,LI_R_MD60BT,PC,TOTAL,AT,2015-01-01,45.21
F,LI_R_MD60BT,PC,TOTAL,AT,2016-01-01,45.52 
F,LI_R_MD60BT,PC,TOTAL,AT,2017-01-01,40.23 
F,LI_R_MD60BT,PC,TOTAL,BE,2005-01-01,46.92 
F,LI_R_MD60BT,PC,TOTAL,BE,2006-01-01,43.88 
F,LI_R_MD60BT,PC,TOTAL,BE,2007-01-01,44.21 
F,LI_R_MD60BT,PC,TOTAL,BE,2008-01-01,43.21 
F,LI_R_MD60BT,PC,TOTAL,BE,2009-01-01,42.91 
F,LI_R_MD60BT,PC,TOTAL,BE,2010-01-01,44.73 
F,LI_R_MD60BT,PC,TOTAL,BE,2011-01-01,43.66 
F,LI_R_MD60BT,PC,TOTAL,BE,2012-01-01,43.42 
F,LI_R_MD60BT,PC,TOTAL,BE,2013-01-01,41.51
F,LI_R_MD60BT,PC,TOTAL,BE,2014-01-01,42.60 
F,LI_R_MD60BT,PC,TOTAL,BE,2015-01-01,43.68
F,LI_R_MD60BT,PC,TOTAL,BE,2016-01-01,40.22 
F,LI_R_MD60BT,PC,TOTAL,BE,2017-01-01,37.41 
F,LI_R_MD60BT,PC,TOTAL,BG,2005-01-01,: 
F,LI_R_MD60BT,PC,TOTAL,BG,2006-01-01,26.05 
F,LI_R_MD60BT,PC,TOTAL,BG,2007-01-01,13.21 
F,LI_R_MD60BT,PC,TOTAL,BG,2008-01-01,19.65 
F,LI_R_MD60BT,PC,TOTAL,BG,2009-01-01,15.96 
F,LI_R_MD60BT,PC,TOTAL,BG,2010-01-01,22.57 
F,LI_R_MD60BT,PC,TOTAL,BG,2011-01-01,18.34 
F,LI_R_MD60BT,PC,TOTAL,BG,2012-01-01,17.09 
F,LI_R_MD60BT,PC,TOTAL,BG,2013-01-01,21.0
F,LI_R_MD60BT,PC,TOTAL,BG,2014-01-01,19.00 
F,LI_R_MD60BT,PC,TOTAL,BG,2015-01-01,21.45
