age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2006-01-01,46
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2007-01-01,45
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2008-01-01,49
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2009-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2010-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2011-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2012-01-01,53
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2014-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2016-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,AT,2017-01-01,61
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2006-01-01,56
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2007-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2008-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2009-01-01,57
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2010-01-01,55
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2011-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2012-01-01,60
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2014-01-01,62
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2016-01-01,65
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BE,2017-01-01,70
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2006-01-01,68
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2007-01-01,75
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2008-01-01,77
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2009-01-01,78
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2010-01-01,76
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2011-01-01,75
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2012-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2014-01-01,67
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2016-01-01,71
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,BG,2017-01-01,75
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2006-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2007-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2008-01-01,48
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2009-01-01,52
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2010-01-01,54
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2011-01-01,53
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2012-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2014-01-01,42
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2015-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2016-01-01,38
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CH,2017-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2006-01-01,38
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2007-01-01,51
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2008-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2009-01-01,50
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2010-01-01,48
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2011-01-01,46
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2012-01-01,45
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2013-01-01,
Y_LT60,T,WI0-02,LI_R_MD60,TOTAL,CY,2014-01-01,51
