indic_il,sex,geo\time,date,value
R_PN_WK,T,AT,2006-01-01,0.65 
R_PN_WK,T,AT,2007-01-01,0.62 
R_PN_WK,T,AT,2008-01-01,0.61 b
R_PN_WK,T,AT,2009-01-01,0.56 
R_PN_WK,T,AT,2010-01-01,0.57 
R_PN_WK,T,AT,2011-01-01,0.59 
R_PN_WK,T,AT,2012-01-01,0.58 
R_PN_WK,T,AT,2013-01-01,0.59
R_PN_WK,T,AT,2014-01-01,0.60 
R_PN_WK,T,AT,2015-01-01,0.62
R_PN_WK,T,AT,2016-01-01,0.62 
R_PN_WK,T,AT,2017-01-01,0.64 
R_PN_WK,T,BE,2006-01-01,0.42 
R_PN_WK,T,BE,2007-01-01,0.44 
R_PN_WK,T,BE,2008-01-01,0.45 
R_PN_WK,T,BE,2009-01-01,0.45 
R_PN_WK,T,BE,2010-01-01,0.46 
R_PN_WK,T,BE,2011-01-01,0.44 
R_PN_WK,T,BE,2012-01-01,0.46 
R_PN_WK,T,BE,2013-01-01,0.47
R_PN_WK,T,BE,2014-01-01,0.47 
R_PN_WK,T,BE,2015-01-01,0.47
R_PN_WK,T,BE,2016-01-01,0.48 
R_PN_WK,T,BE,2017-01-01,0.50 
R_PN_WK,T,BG,2006-01-01,0.37 
R_PN_WK,T,BG,2007-01-01,0.37 
R_PN_WK,T,BG,2008-01-01,0.34 
R_PN_WK,T,BG,2009-01-01,0.34 
R_PN_WK,T,BG,2010-01-01,0.43 
R_PN_WK,T,BG,2011-01-01,0.41 
R_PN_WK,T,BG,2012-01-01,0.42 
R_PN_WK,T,BG,2013-01-01,0.39
R_PN_WK,T,BG,2014-01-01,0.44 
R_PN_WK,T,BG,2015-01-01,0.41
R_PN_WK,T,BG,2016-01-01,0.45 b
R_PN_WK,T,BG,2017-01-01,0.37 
R_PN_WK,T,CH,2006-01-01,: 
R_PN_WK,T,CH,2007-01-01,0.39 
R_PN_WK,T,CH,2008-01-01,0.36 
R_PN_WK,T,CH,2009-01-01,0.40 
R_PN_WK,T,CH,2010-01-01,0.41 
R_PN_WK,T,CH,2011-01-01,0.39 
R_PN_WK,T,CH,2012-01-01,0.41 
R_PN_WK,T,CH,2013-01-01,0.41
R_PN_WK,T,CH,2014-01-01,0.44 b
R_PN_WK,T,CH,2015-01-01,0.43
R_PN_WK,T,CH,2016-01-01,0.45 
R_PN_WK,T,CH,2017-01-01,: 
R_PN_WK,T,CY,2006-01-01,0.28 
R_PN_WK,T,CY,2007-01-01,0.29 
R_PN_WK,T,CY,2008-01-01,0.33 b
R_PN_WK,T,CY,2009-01-01,0.37 
R_PN_WK,T,CY,2010-01-01,0.37 
R_PN_WK,T,CY,2011-01-01,0.39 
R_PN_WK,T,CY,2012-01-01,0.39 
R_PN_WK,T,CY,2013-01-01,0.4
R_PN_WK,T,CY,2014-01-01,0.39 
R_PN_WK,T,CY,2015-01-01,0.43
R_PN_WK,T,CY,2016-01-01,0.44 
R_PN_WK,T,CY,2017-01-01,0.43 
R_PN_WK,T,CZ,2006-01-01,0.52 
R_PN_WK,T,CZ,2007-01-01,0.51 
R_PN_WK,T,CZ,2008-01-01,0.51 
R_PN_WK,T,CZ,2009-01-01,0.51 
R_PN_WK,T,CZ,2010-01-01,0.54 
R_PN_WK,T,CZ,2011-01-01,0.53 
R_PN_WK,T,CZ,2012-01-01,0.55 
R_PN_WK,T,CZ,2013-01-01,0.56
R_PN_WK,T,CZ,2014-01-01,0.55 
R_PN_WK,T,CZ,2015-01-01,0.51
R_PN_WK,T,CZ,2016-01-01,0.50 
R_PN_WK,T,CZ,2017-01-01,0.51 
R_PN_WK,T,DE,2006-01-01,0.46 
R_PN_WK,T,DE,2007-01-01,0.46 
R_PN_WK,T,DE,2008-01-01,0.44 
R_PN_WK,T,DE,2009-01-01,0.47 
R_PN_WK,T,DE,2010-01-01,0.49 
R_PN_WK,T,DE,2011-01-01,0.51 
R_PN_WK,T,DE,2012-01-01,0.47 
R_PN_WK,T,DE,2013-01-01,0.47
R_PN_WK,T,DE,2014-01-01,0.45 
R_PN_WK,T,DE,2015-01-01,0.46
R_PN_WK,T,DE,2016-01-01,0.46 
R_PN_WK,T,DE,2017-01-01,0.46 
R_PN_WK,T,DK,2006-01-01,0.37 
R_PN_WK,T,DK,2007-01-01,0.39 
R_PN_WK,T,DK,2008-01-01,0.41 
R_PN_WK,T,DK,2009-01-01,0.42 
R_PN_WK,T,DK,2010-01-01,0.44 
R_PN_WK,T,DK,2011-01-01,0.43 b
R_PN_WK,T,DK,2012-01-01,0.42 
R_PN_WK,T,DK,2013-01-01,0.44
R_PN_WK,T,DK,2014-01-01,0.45 
R_PN_WK,T,DK,2015-01-01,0.45
R_PN_WK,T,DK,2016-01-01,0.47 
R_PN_WK,T,DK,2017-01-01,0.48 
R_PN_WK,T,EA18,2006-01-01,0.51 
R_PN_WK,T,EA18,2007-01-01,0.49 
R_PN_WK,T,EA18,2008-01-01,0.49 
R_PN_WK,T,EA18,2009-01-01,0.51 
R_PN_WK,T,EA18,2010-01-01,0.52 
R_PN_WK,T,EA18,2011-01-01,0.54 
R_PN_WK,T,EA18,2012-01-01,0.54 
R_PN_WK,T,EA18,2013-01-01,0.56
R_PN_WK,T,EA18,2014-01-01,0.57 
R_PN_WK,T,EA18,2015-01-01,0.58
R_PN_WK,T,EA18,2016-01-01,0.58 
R_PN_WK,T,EA18,2017-01-01,0.60 
R_PN_WK,T,EA19,2006-01-01,0.51 
R_PN_WK,T,EA19,2007-01-01,0.49 
R_PN_WK,T,EA19,2008-01-01,0.49 
R_PN_WK,T,EA19,2009-01-01,0.51 
R_PN_WK,T,EA19,2010-01-01,0.52 
