indic_il,age,sex,tenure,geo\time,date,value
LI_R_MD60,Y_GE65,T,OWN,AT,2006-01-01,16.8 
LI_R_MD60,Y_GE65,T,OWN,AT,2007-01-01,13.6 
LI_R_MD60,Y_GE65,T,OWN,AT,2008-01-01,18.9 b
LI_R_MD60,Y_GE65,T,OWN,AT,2009-01-01,17.2 
LI_R_MD60,Y_GE65,T,OWN,AT,2010-01-01,16.4 
LI_R_MD60,Y_GE65,T,OWN,AT,2011-01-01,16.7 
LI_R_MD60,Y_GE65,T,OWN,AT,2012-01-01,14.9 
LI_R_MD60,Y_GE65,T,OWN,AT,2013-01-01,15.4 
LI_R_MD60,Y_GE65,T,OWN,AT,2014-01-01,13.8 
LI_R_MD60,Y_GE65,T,OWN,AT,2015-01-01,12.9 
LI_R_MD60,Y_GE65,T,OWN,AT,2016-01-01,12.5 
LI_R_MD60,Y_GE65,T,OWN,AT,2017-01-01,11.9 
LI_R_MD60,Y_GE65,T,OWN,BE,2006-01-01,21.7 
LI_R_MD60,Y_GE65,T,OWN,BE,2007-01-01,22.1 
LI_R_MD60,Y_GE65,T,OWN,BE,2008-01-01,19.4 
LI_R_MD60,Y_GE65,T,OWN,BE,2009-01-01,19.7 
LI_R_MD60,Y_GE65,T,OWN,BE,2010-01-01,18.1 
LI_R_MD60,Y_GE65,T,OWN,BE,2011-01-01,18.8 
LI_R_MD60,Y_GE65,T,OWN,BE,2012-01-01,18.0 
LI_R_MD60,Y_GE65,T,OWN,BE,2013-01-01,16.9 
LI_R_MD60,Y_GE65,T,OWN,BE,2014-01-01,15.4 
LI_R_MD60,Y_GE65,T,OWN,BE,2015-01-01,13.3 
LI_R_MD60,Y_GE65,T,OWN,BE,2016-01-01,13.0 
LI_R_MD60,Y_GE65,T,OWN,BE,2017-01-01,14.6 
LI_R_MD60,Y_GE65,T,OWN,BG,2006-01-01,19.9 
LI_R_MD60,Y_GE65,T,OWN,BG,2007-01-01,24.3 
LI_R_MD60,Y_GE65,T,OWN,BG,2008-01-01,33.7 
LI_R_MD60,Y_GE65,T,OWN,BG,2009-01-01,39.1 
LI_R_MD60,Y_GE65,T,OWN,BG,2010-01-01,32.2 
LI_R_MD60,Y_GE65,T,OWN,BG,2011-01-01,31.1 
LI_R_MD60,Y_GE65,T,OWN,BG,2012-01-01,28.1 
LI_R_MD60,Y_GE65,T,OWN,BG,2013-01-01,27.8 
LI_R_MD60,Y_GE65,T,OWN,BG,2014-01-01,22.5 
LI_R_MD60,Y_GE65,T,OWN,BG,2015-01-01,31.7 
LI_R_MD60,Y_GE65,T,OWN,BG,2016-01-01,24.3 b
LI_R_MD60,Y_GE65,T,OWN,BG,2017-01-01,32.0 
LI_R_MD60,Y_GE65,T,OWN,CH,2006-01-01,: 
LI_R_MD60,Y_GE65,T,OWN,CH,2007-01-01,24.0 
LI_R_MD60,Y_GE65,T,OWN,CH,2008-01-01,27.4 
LI_R_MD60,Y_GE65,T,OWN,CH,2009-01-01,28.6 
LI_R_MD60,Y_GE65,T,OWN,CH,2010-01-01,28.2 
LI_R_MD60,Y_GE65,T,OWN,CH,2011-01-01,29.1 
LI_R_MD60,Y_GE65,T,OWN,CH,2012-01-01,28.5 
LI_R_MD60,Y_GE65,T,OWN,CH,2013-01-01,30.1 
LI_R_MD60,Y_GE65,T,OWN,CH,2014-01-01,25.3 b
LI_R_MD60,Y_GE65,T,OWN,CH,2015-01-01,26.3 
LI_R_MD60,Y_GE65,T,OWN,CH,2016-01-01,24.4 
LI_R_MD60,Y_GE65,T,OWN,CH,2017-01-01,: 
LI_R_MD60,Y_GE65,T,OWN,CY,2006-01-01,52.6 
LI_R_MD60,Y_GE65,T,OWN,CY,2007-01-01,51.1 
LI_R_MD60,Y_GE65,T,OWN,CY,2008-01-01,47.2 b
LI_R_MD60,Y_GE65,T,OWN,CY,2009-01-01,46.9 
LI_R_MD60,Y_GE65,T,OWN,CY,2010-01-01,40.4 
LI_R_MD60,Y_GE65,T,OWN,CY,2011-01-01,36.1 
LI_R_MD60,Y_GE65,T,OWN,CY,2012-01-01,29.3 
LI_R_MD60,Y_GE65,T,OWN,CY,2013-01-01,20.1 
LI_R_MD60,Y_GE65,T,OWN,CY,2014-01-01,22.2 
LI_R_MD60,Y_GE65,T,OWN,CY,2015-01-01,17.1 
LI_R_MD60,Y_GE65,T,OWN,CY,2016-01-01,19.8 
LI_R_MD60,Y_GE65,T,OWN,CY,2017-01-01,21.7 
LI_R_MD60,Y_GE65,T,OWN,CZ,2006-01-01,4.9 
LI_R_MD60,Y_GE65,T,OWN,CZ,2007-01-01,4.9 
LI_R_MD60,Y_GE65,T,OWN,CZ,2008-01-01,6.7 
LI_R_MD60,Y_GE65,T,OWN,CZ,2009-01-01,6.6 
LI_R_MD60,Y_GE65,T,OWN,CZ,2010-01-01,6.1 
LI_R_MD60,Y_GE65,T,OWN,CZ,2011-01-01,6.1 
LI_R_MD60,Y_GE65,T,OWN,CZ,2012-01-01,5.9 
LI_R_MD60,Y_GE65,T,OWN,CZ,2013-01-01,5.7 
LI_R_MD60,Y_GE65,T,OWN,CZ,2014-01-01,6.8 
LI_R_MD60,Y_GE65,T,OWN,CZ,2015-01-01,7.1 
LI_R_MD60,Y_GE65,T,OWN,CZ,2016-01-01,7.4 
LI_R_MD60,Y_GE65,T,OWN,CZ,2017-01-01,9.6 
LI_R_MD60,Y_GE65,T,OWN,DE,2006-01-01,11.9 
LI_R_MD60,Y_GE65,T,OWN,DE,2007-01-01,14.7 
LI_R_MD60,Y_GE65,T,OWN,DE,2008-01-01,12.2 
LI_R_MD60,Y_GE65,T,OWN,DE,2009-01-01,11.2 
LI_R_MD60,Y_GE65,T,OWN,DE,2010-01-01,11.3 
LI_R_MD60,Y_GE65,T,OWN,DE,2011-01-01,11.2 
LI_R_MD60,Y_GE65,T,OWN,DE,2012-01-01,11.2 
LI_R_MD60,Y_GE65,T,OWN,DE,2013-01-01,11.0 
LI_R_MD60,Y_GE65,T,OWN,DE,2014-01-01,12.1 
LI_R_MD60,Y_GE65,T,OWN,DE,2015-01-01,12.0 
LI_R_MD60,Y_GE65,T,OWN,DE,2016-01-01,13.2 
LI_R_MD60,Y_GE65,T,OWN,DE,2017-01-01,12.8 
LI_R_MD60,Y_GE65,T,OWN,DK,2006-01-01,23.7 
LI_R_MD60,Y_GE65,T,OWN,DK,2007-01-01,24.4 
LI_R_MD60,Y_GE65,T,OWN,DK,2008-01-01,24.2 
LI_R_MD60,Y_GE65,T,OWN,DK,2009-01-01,25.8 
LI_R_MD60,Y_GE65,T,OWN,DK,2010-01-01,24.2 
LI_R_MD60,Y_GE65,T,OWN,DK,2011-01-01,17.2 b
LI_R_MD60,Y_GE65,T,OWN,DK,2012-01-01,15.2 
LI_R_MD60,Y_GE65,T,OWN,DK,2013-01-01,12.3 
LI_R_MD60,Y_GE65,T,OWN,DK,2014-01-01,11.4 
LI_R_MD60,Y_GE65,T,OWN,DK,2015-01-01,9.8 
LI_R_MD60,Y_GE65,T,OWN,DK,2016-01-01,8.9 
LI_R_MD60,Y_GE65,T,OWN,DK,2017-01-01,9.5 
LI_R_MD60,Y_GE65,T,OWN,EA18,2006-01-01,19.5 
LI_R_MD60,Y_GE65,T,OWN,EA18,2007-01-01,19.1 
LI_R_MD60,Y_GE65,T,OWN,EA18,2008-01-01,17.3 
LI_R_MD60,Y_GE65,T,OWN,EA18,2009-01-01,16.6 
LI_R_MD60,Y_GE65,T,OWN,EA18,2010-01-01,14.5 
LI_R_MD60,Y_GE65,T,OWN,EA18,2011-01-01,14.4 
LI_R_MD60,Y_GE65,T,OWN,EA18,2012-01-01,13.1 
LI_R_MD60,Y_GE65,T,OWN,EA18,2013-01-01,12.1 
LI_R_MD60,Y_GE65,T,OWN,EA18,2014-01-01,11.8 
LI_R_MD60,Y_GE65,T,OWN,EA18,2015-01-01,11.9 
LI_R_MD60,Y_GE65,T,OWN,EA18,2016-01-01,12.4 
LI_R_MD60,Y_GE65,T,OWN,EA18,2017-01-01,12.5 e
LI_R_MD60,Y_GE65,T,OWN,EA19,2006-01-01,19.5 
LI_R_MD60,Y_GE65,T,OWN,EA19,2007-01-01,19.3 e
LI_R_MD60,Y_GE65,T,OWN,EA19,2008-01-01,17.4 
LI_R_MD60,Y_GE65,T,OWN,EA19,2009-01-01,16.7 
LI_R_MD60,Y_GE65,T,OWN,EA19,2010-01-01,14.4 
LI_R_MD60,Y_GE65,T,OWN,EA19,2011-01-01,14.4 
LI_R_MD60,Y_GE65,T,OWN,EA19,2012-01-01,13.2 
LI_R_MD60,Y_GE65,T,OWN,EA19,2013-01-01,12.1 
LI_R_MD60,Y_GE65,T,OWN,EA19,2014-01-01,11.9 
LI_R_MD60,Y_GE65,T,OWN,EA19,2015-01-01,12.0 
LI_R_MD60,Y_GE65,T,OWN,EA19,2016-01-01,12.5 
LI_R_MD60,Y_GE65,T,OWN,EA19,2017-01-01,12.7 e
LI_R_MD60,Y_GE65,T,OWN,EE,2006-01-01,24.6 
LI_R_MD60,Y_GE65,T,OWN,EE,2007-01-01,32.6 
LI_R_MD60,Y_GE65,T,OWN,EE,2008-01-01,38.5 
LI_R_MD60,Y_GE65,T,OWN,EE,2009-01-01,33.4 
LI_R_MD60,Y_GE65,T,OWN,EE,2010-01-01,15.0 
LI_R_MD60,Y_GE65,T,OWN,EE,2011-01-01,13.1 
LI_R_MD60,Y_GE65,T,OWN,EE,2012-01-01,17.2 
LI_R_MD60,Y_GE65,T,OWN,EE,2013-01-01,24.2 
LI_R_MD60,Y_GE65,T,OWN,EE,2014-01-01,32.3 b
LI_R_MD60,Y_GE65,T,OWN,EE,2015-01-01,35.5 
LI_R_MD60,Y_GE65,T,OWN,EE,2016-01-01,39.7 
LI_R_MD60,Y_GE65,T,OWN,EE,2017-01-01,40.7 
LI_R_MD60,Y_GE65,T,OWN,EL,2006-01-01,26.5 
LI_R_MD60,Y_GE65,T,OWN,EL,2007-01-01,23.7 
LI_R_MD60,Y_GE65,T,OWN,EL,2008-01-01,22.8 
LI_R_MD60,Y_GE65,T,OWN,EL,2009-01-01,21.8 
LI_R_MD60,Y_GE65,T,OWN,EL,2010-01-01,21.3 
LI_R_MD60,Y_GE65,T,OWN,EL,2011-01-01,23.6 
LI_R_MD60,Y_GE65,T,OWN,EL,2012-01-01,17.2 
LI_R_MD60,Y_GE65,T,OWN,EL,2013-01-01,14.9 
LI_R_MD60,Y_GE65,T,OWN,EL,2014-01-01,14.7 
LI_R_MD60,Y_GE65,T,OWN,EL,2015-01-01,13.2 
LI_R_MD60,Y_GE65,T,OWN,EL,2016-01-01,12.2 
LI_R_MD60,Y_GE65,T,OWN,EL,2017-01-01,12.3 
LI_R_MD60,Y_GE65,T,OWN,ES,2006-01-01,28.9 
LI_R_MD60,Y_GE65,T,OWN,ES,2007-01-01,25.6 
LI_R_MD60,Y_GE65,T,OWN,ES,2008-01-01,24.5 b
LI_R_MD60,Y_GE65,T,OWN,ES,2009-01-01,23.4 
LI_R_MD60,Y_GE65,T,OWN,ES,2010-01-01,21.4 
LI_R_MD60,Y_GE65,T,OWN,ES,2011-01-01,19.4 
LI_R_MD60,Y_GE65,T,OWN,ES,2012-01-01,14.4 
LI_R_MD60,Y_GE65,T,OWN,ES,2013-01-01,12.0 
LI_R_MD60,Y_GE65,T,OWN,ES,2014-01-01,10.9 
LI_R_MD60,Y_GE65,T,OWN,ES,2015-01-01,11.9 
LI_R_MD60,Y_GE65,T,OWN,ES,2016-01-01,12.6 
LI_R_MD60,Y_GE65,T,OWN,ES,2017-01-01,14.2 
LI_R_MD60,Y_GE65,T,OWN,EU27,2006-01-01,19.4 e
LI_R_MD60,Y_GE65,T,OWN,EU27,2007-01-01,19.2 
LI_R_MD60,Y_GE65,T,OWN,EU27,2008-01-01,18.6 
LI_R_MD60,Y_GE65,T,OWN,EU27,2009-01-01,17.5 
LI_R_MD60,Y_GE65,T,OWN,EU27,2010-01-01,15.5 
LI_R_MD60,Y_GE65,T,OWN,EU27,2011-01-01,15.4 
LI_R_MD60,Y_GE65,T,OWN,EU27,2012-01-01,13.9 
LI_R_MD60,Y_GE65,T,OWN,EU27,2013-01-01,13.0 
LI_R_MD60,Y_GE65,T,OWN,EU27,2014-01-01,12.9 
LI_R_MD60,Y_GE65,T,OWN,EU27,2015-01-01,13.1 
LI_R_MD60,Y_GE65,T,OWN,EU27,2016-01-01,13.4 
LI_R_MD60,Y_GE65,T,OWN,EU27,2017-01-01,13.4 e
LI_R_MD60,Y_GE65,T,OWN,EU28,2006-01-01,: 
LI_R_MD60,Y_GE65,T,OWN,EU28,2007-01-01,: 
LI_R_MD60,Y_GE65,T,OWN,EU28,2008-01-01,: 
LI_R_MD60,Y_GE65,T,OWN,EU28,2009-01-01,: 
LI_R_MD60,Y_GE65,T,OWN,EU28,2010-01-01,15.7 
LI_R_MD60,Y_GE65,T,OWN,EU28,2011-01-01,15.6 
LI_R_MD60,Y_GE65,T,OWN,EU28,2012-01-01,14.0 
LI_R_MD60,Y_GE65,T,OWN,EU28,2013-01-01,13.1 
LI_R_MD60,Y_GE65,T,OWN,EU28,2014-01-01,13.0 
LI_R_MD60,Y_GE65,T,OWN,EU28,2015-01-01,13.2 
