hhtyp,indic_il,sex,geotime,date,value
A1,R_GE65_LT65,DIFF,AT,2006-01-01,0.2
A1,R_GE65_LT65,DIFF,AT,2007-01-01,0.19
A1,R_GE65_LT65,DIFF,AT,2008-01-01,0.21
A1,R_GE65_LT65,DIFF,AT,2009-01-01,0.16
A1,R_GE65_LT65,DIFF,AT,2010-01-01,0.11
A1,R_GE65_LT65,DIFF,AT,2011-01-01,0.14
A1,R_GE65_LT65,DIFF,AT,2012-01-01,0.11
A1,R_GE65_LT65,DIFF,AT,2013-01-01,0.07
A1,R_GE65_LT65,DIFF,AT,2014-01-01,0.11
A1,R_GE65_LT65,DIFF,AT,2015-01-01,0.09
A1,R_GE65_LT65,DIFF,AT,2016-01-01,0.14
A1,R_GE65_LT65,DIFF,AT,2017-01-01,0.12
A1,R_GE65_LT65,DIFF,BE,2006-01-01,-0.07
A1,R_GE65_LT65,DIFF,BE,2007-01-01,-0.1
A1,R_GE65_LT65,DIFF,BE,2008-01-01,0.0
A1,R_GE65_LT65,DIFF,BE,2009-01-01,0.02
A1,R_GE65_LT65,DIFF,BE,2010-01-01,-0.03
A1,R_GE65_LT65,DIFF,BE,2011-01-01,-0.01
A1,R_GE65_LT65,DIFF,BE,2012-01-01,0.02
A1,R_GE65_LT65,DIFF,BE,2013-01-01,0.05
A1,R_GE65_LT65,DIFF,BE,2014-01-01,0.01
A1,R_GE65_LT65,DIFF,BE,2015-01-01,-0.04
A1,R_GE65_LT65,DIFF,BE,2016-01-01,-0.06
A1,R_GE65_LT65,DIFF,BE,2017-01-01,-0.02
A1,R_GE65_LT65,DIFF,BG,2006-01-01,-0.09
A1,R_GE65_LT65,DIFF,BG,2007-01-01,0.04
A1,R_GE65_LT65,DIFF,BG,2008-01-01,0.08
A1,R_GE65_LT65,DIFF,BG,2009-01-01,-0.01
A1,R_GE65_LT65,DIFF,BG,2010-01-01,0.17
A1,R_GE65_LT65,DIFF,BG,2011-01-01,0.16
A1,R_GE65_LT65,DIFF,BG,2012-01-01,0.09
A1,R_GE65_LT65,DIFF,BG,2013-01-01,0.08
A1,R_GE65_LT65,DIFF,BG,2014-01-01,0.02
A1,R_GE65_LT65,DIFF,BG,2015-01-01,0.03
A1,R_GE65_LT65,DIFF,BG,2016-01-01,0.17
A1,R_GE65_LT65,DIFF,BG,2017-01-01,0.14
A1,R_GE65_LT65,DIFF,CH,2006-01-01,
A1,R_GE65_LT65,DIFF,CH,2007-01-01,0.08
A1,R_GE65_LT65,DIFF,CH,2008-01-01,0.11
