hhtyp,sex,indic_il,geotime,date,value
A1,DIFF,R_GE60_LT60,AT,2006-01-01,0.22
A1,DIFF,R_GE60_LT60,AT,2007-01-01,0.14
A1,DIFF,R_GE60_LT60,AT,2008-01-01,0.18
A1,DIFF,R_GE60_LT60,AT,2009-01-01,0.08
A1,DIFF,R_GE60_LT60,AT,2010-01-01,0.11
A1,DIFF,R_GE60_LT60,AT,2011-01-01,0.11
A1,DIFF,R_GE60_LT60,AT,2012-01-01,0.11
A1,DIFF,R_GE60_LT60,AT,2013-01-01,0.07
A1,DIFF,R_GE60_LT60,AT,2014-01-01,0.12
A1,DIFF,R_GE60_LT60,AT,2015-01-01,0.05
A1,DIFF,R_GE60_LT60,AT,2016-01-01,0.11
A1,DIFF,R_GE60_LT60,AT,2017-01-01,0.1
A1,DIFF,R_GE60_LT60,BE,2006-01-01,-0.04
A1,DIFF,R_GE60_LT60,BE,2007-01-01,-0.04
A1,DIFF,R_GE60_LT60,BE,2008-01-01,0.02
A1,DIFF,R_GE60_LT60,BE,2009-01-01,0.05
A1,DIFF,R_GE60_LT60,BE,2010-01-01,-0.03
A1,DIFF,R_GE60_LT60,BE,2011-01-01,-0.01
A1,DIFF,R_GE60_LT60,BE,2012-01-01,0.03
A1,DIFF,R_GE60_LT60,BE,2013-01-01,0.01
A1,DIFF,R_GE60_LT60,BE,2014-01-01,0.0
A1,DIFF,R_GE60_LT60,BE,2015-01-01,-0.03
A1,DIFF,R_GE60_LT60,BE,2016-01-01,-0.05
A1,DIFF,R_GE60_LT60,BE,2017-01-01,0.0
A1,DIFF,R_GE60_LT60,BG,2006-01-01,0.04
A1,DIFF,R_GE60_LT60,BG,2007-01-01,0.01
A1,DIFF,R_GE60_LT60,BG,2008-01-01,0.16
A1,DIFF,R_GE60_LT60,BG,2009-01-01,0.08
A1,DIFF,R_GE60_LT60,BG,2010-01-01,0.21
A1,DIFF,R_GE60_LT60,BG,2011-01-01,0.21
A1,DIFF,R_GE60_LT60,BG,2012-01-01,0.18
A1,DIFF,R_GE60_LT60,BG,2013-01-01,0.15
A1,DIFF,R_GE60_LT60,BG,2014-01-01,0.06
A1,DIFF,R_GE60_LT60,BG,2015-01-01,0.09
A1,DIFF,R_GE60_LT60,BG,2016-01-01,0.27
A1,DIFF,R_GE60_LT60,BG,2017-01-01,0.2
A1,DIFF,R_GE60_LT60,CH,2006-01-01,
A1,DIFF,R_GE60_LT60,CH,2007-01-01,0.09
A1,DIFF,R_GE60_LT60,CH,2008-01-01,0.15
A1,DIFF,R_GE60_LT60,CH,2009-01-01,0.16
A1,DIFF,R_GE60_LT60,CH,2010-01-01,0.1
A1,DIFF,R_GE60_LT60,CH,2011-01-01,0.15
A1,DIFF,R_GE60_LT60,CH,2012-01-01,0.2
A1,DIFF,R_GE60_LT60,CH,2013-01-01,0.12
A1,DIFF,R_GE60_LT60,CH,2014-01-01,0.15
A1,DIFF,R_GE60_LT60,CH,2015-01-01,0.12
A1,DIFF,R_GE60_LT60,CH,2016-01-01,0.1
A1,DIFF,R_GE60_LT60,CH,2017-01-01,
A1,DIFF,R_GE60_LT60,CY,2006-01-01,-0.09
A1,DIFF,R_GE60_LT60,CY,2007-01-01,-0.14
A1,DIFF,R_GE60_LT60,CY,2008-01-01,-0.06
A1,DIFF,R_GE60_LT60,CY,2009-01-01,0.0
A1,DIFF,R_GE60_LT60,CY,2010-01-01,0.06
A1,DIFF,R_GE60_LT60,CY,2011-01-01,0.14
A1,DIFF,R_GE60_LT60,CY,2012-01-01,0.06
A1,DIFF,R_GE60_LT60,CY,2013-01-01,-0.03
A1,DIFF,R_GE60_LT60,CY,2014-01-01,0.05
A1,DIFF,R_GE60_LT60,CY,2015-01-01,0.09
A1,DIFF,R_GE60_LT60,CY,2016-01-01,0.01
A1,DIFF,R_GE60_LT60,CY,2017-01-01,-0.08
A1,DIFF,R_GE60_LT60,CZ,2006-01-01,-0.1
