currency,indic_il,hhtyp,geo\time,date,value
PPS,LI_C_MD60,A1,AT,2006-01-01,10452 
PPS,LI_C_MD60,A1,AT,2007-01-01,10686 
PPS,LI_C_MD60,A1,AT,2008-01-01,11359 b
PPS,LI_C_MD60,A1,AT,2009-01-01,11683 
PPS,LI_C_MD60,A1,AT,2010-01-01,11710 
PPS,LI_C_MD60,A1,AT,2011-01-01,12255 
PPS,LI_C_MD60,A1,AT,2012-01-01,12361 
PPS,LI_C_MD60,A1,AT,2013-01-01,12542
PPS,LI_C_MD60,A1,AT,2014-01-01,12997 
PPS,LI_C_MD60,A1,AT,2015-01-01,13189
PPS,LI_C_MD60,A1,AT,2016-01-01,13867 
PPS,LI_C_MD60,A1,AT,2017-01-01,14001 
PPS,LI_C_MD60,A1,BE,2006-01-01,9707 
PPS,LI_C_MD60,A1,BE,2007-01-01,9787 
PPS,LI_C_MD60,A1,BE,2008-01-01,10046 
PPS,LI_C_MD60,A1,BE,2009-01-01,10501 
PPS,LI_C_MD60,A1,BE,2010-01-01,10399 
PPS,LI_C_MD60,A1,BE,2011-01-01,10895 
PPS,LI_C_MD60,A1,BE,2012-01-01,11038 
PPS,LI_C_MD60,A1,BE,2013-01-01,11738
PPS,LI_C_MD60,A1,BE,2014-01-01,11755 
PPS,LI_C_MD60,A1,BE,2015-01-01,11953
PPS,LI_C_MD60,A1,BE,2016-01-01,12788 
PPS,LI_C_MD60,A1,BE,2017-01-01,12532 
PPS,LI_C_MD60,A1,BG,2006-01-01,1920 b
PPS,LI_C_MD60,A1,BG,2007-01-01,1979 
PPS,LI_C_MD60,A1,BG,2008-01-01,2859 
PPS,LI_C_MD60,A1,BG,2009-01-01,3436 
PPS,LI_C_MD60,A1,BG,2010-01-01,3531 
PPS,LI_C_MD60,A1,BG,2011-01-01,3499 
PPS,LI_C_MD60,A1,BG,2012-01-01,3418 
PPS,LI_C_MD60,A1,BG,2013-01-01,3540
PPS,LI_C_MD60,A1,BG,2014-01-01,4052 
PPS,LI_C_MD60,A1,BG,2015-01-01,4129
PPS,LI_C_MD60,A1,BG,2016-01-01,4048 b
PPS,LI_C_MD60,A1,BG,2017-01-01,4510 
PPS,LI_C_MD60,A1,CH,2006-01-01,: 
PPS,LI_C_MD60,A1,CH,2007-01-01,12337 
PPS,LI_C_MD60,A1,CH,2008-01-01,12950 
PPS,LI_C_MD60,A1,CH,2009-01-01,13519 
PPS,LI_C_MD60,A1,CH,2010-01-01,13367 
PPS,LI_C_MD60,A1,CH,2011-01-01,13756 
PPS,LI_C_MD60,A1,CH,2012-01-01,14486 
PPS,LI_C_MD60,A1,CH,2013-01-01,15439
PPS,LI_C_MD60,A1,CH,2014-01-01,15447 b
PPS,LI_C_MD60,A1,CH,2015-01-01,15954
PPS,LI_C_MD60,A1,CH,2016-01-01,16561 
PPS,LI_C_MD60,A1,CH,2017-01-01,: 
PPS,LI_C_MD60,A1,CY,2006-01-01,9817 
PPS,LI_C_MD60,A1,CY,2007-01-01,10951 
PPS,LI_C_MD60,A1,CY,2008-01-01,10945 b
PPS,LI_C_MD60,A1,CY,2009-01-01,11256 
PPS,LI_C_MD60,A1,CY,2010-01-01,10816 
PPS,LI_C_MD60,A1,CY,2011-01-01,11497 
PPS,LI_C_MD60,A1,CY,2012-01-01,11444 
PPS,LI_C_MD60,A1,CY,2013-01-01,10299
PPS,LI_C_MD60,A1,CY,2014-01-01,9457 
PPS,LI_C_MD60,A1,CY,2015-01-01,9188
PPS,LI_C_MD60,A1,CY,2016-01-01,9707 
