indic_il,age,sex,geo\time,date,value
LIP_MD60,TOTAL,F,AT,2004-01-01,: 
LIP_MD60,TOTAL,F,AT,2007-01-01,7.3 
LIP_MD60,TOTAL,F,AT,2008-01-01,6.3 
LIP_MD60,TOTAL,F,AT,2009-01-01,7.9 
LIP_MD60,TOTAL,F,AT,2010-01-01,7.1 
LIP_MD60,TOTAL,F,AT,2011-01-01,11.0 b
LIP_MD60,TOTAL,F,AT,2012-01-01,9.9 
LIP_MD60,TOTAL,F,AT,2013-01-01,10.0 
LIP_MD60,TOTAL,F,AT,2014-01-01,10.4 
LIP_MD60,TOTAL,F,AT,2015-01-01,9.6 
LIP_MD60,TOTAL,F,AT,2016-01-01,8.2 
LIP_MD60,TOTAL,F,AT,2017-01-01,10.4 
LIP_MD60,TOTAL,F,BE,2004-01-01,: 
LIP_MD60,TOTAL,F,BE,2007-01-01,8.3 
LIP_MD60,TOTAL,F,BE,2008-01-01,9.7 
LIP_MD60,TOTAL,F,BE,2009-01-01,10.4 
LIP_MD60,TOTAL,F,BE,2010-01-01,10.0 
LIP_MD60,TOTAL,F,BE,2011-01-01,7.8 
LIP_MD60,TOTAL,F,BE,2012-01-01,10.3 
LIP_MD60,TOTAL,F,BE,2013-01-01,8.4 
LIP_MD60,TOTAL,F,BE,2014-01-01,9.4 
LIP_MD60,TOTAL,F,BE,2015-01-01,9.7 
LIP_MD60,TOTAL,F,BE,2016-01-01,11.0 
LIP_MD60,TOTAL,F,BE,2017-01-01,12.6 
LIP_MD60,TOTAL,F,BG,2004-01-01,: 
LIP_MD60,TOTAL,F,BG,2007-01-01,: 
LIP_MD60,TOTAL,F,BG,2008-01-01,: 
LIP_MD60,TOTAL,F,BG,2009-01-01,11.5 
LIP_MD60,TOTAL,F,BG,2010-01-01,18.9 
LIP_MD60,TOTAL,F,BG,2011-01-01,17.8 
LIP_MD60,TOTAL,F,BG,2012-01-01,14.6 
LIP_MD60,TOTAL,F,BG,2013-01-01,15.0 
LIP_MD60,TOTAL,F,BG,2014-01-01,17.3 
LIP_MD60,TOTAL,F,BG,2015-01-01,18.4 
LIP_MD60,TOTAL,F,BG,2016-01-01,17.1 b
LIP_MD60,TOTAL,F,BG,2017-01-01,17.1 
LIP_MD60,TOTAL,F,CH,2004-01-01,: 
LIP_MD60,TOTAL,F,CH,2007-01-01,: 
LIP_MD60,TOTAL,F,CH,2008-01-01,: 
LIP_MD60,TOTAL,F,CH,2009-01-01,: 
LIP_MD60,TOTAL,F,CH,2010-01-01,: 
LIP_MD60,TOTAL,F,CH,2011-01-01,: 
LIP_MD60,TOTAL,F,CH,2012-01-01,: 
LIP_MD60,TOTAL,F,CH,2013-01-01,: 
LIP_MD60,TOTAL,F,CH,2014-01-01,7.7 
LIP_MD60,TOTAL,F,CH,2015-01-01,6.5 
LIP_MD60,TOTAL,F,CH,2016-01-01,7.7 
LIP_MD60,TOTAL,F,CH,2017-01-01,: 
LIP_MD60,TOTAL,F,CY,2004-01-01,: 
LIP_MD60,TOTAL,F,CY,2007-01-01,: 
LIP_MD60,TOTAL,F,CY,2008-01-01,11.5 
LIP_MD60,TOTAL,F,CY,2009-01-01,12.6 
LIP_MD60,TOTAL,F,CY,2010-01-01,10.9 
LIP_MD60,TOTAL,F,CY,2011-01-01,9.6 
LIP_MD60,TOTAL,F,CY,2012-01-01,10.3 
LIP_MD60,TOTAL,F,CY,2013-01-01,11.2 
LIP_MD60,TOTAL,F,CY,2014-01-01,8.9 
LIP_MD60,TOTAL,F,CY,2015-01-01,8.2 
LIP_MD60,TOTAL,F,CY,2016-01-01,8.6 
LIP_MD60,TOTAL,F,CY,2017-01-01,8.0 
LIP_MD60,TOTAL,F,CZ,2004-01-01,: 
LIP_MD60,TOTAL,F,CZ,2007-01-01,: 
LIP_MD60,TOTAL,F,CZ,2008-01-01,4.3 
LIP_MD60,TOTAL,F,CZ,2009-01-01,4.2 
LIP_MD60,TOTAL,F,CZ,2010-01-01,5.9 
LIP_MD60,TOTAL,F,CZ,2011-01-01,4.5 
LIP_MD60,TOTAL,F,CZ,2012-01-01,5.2 
LIP_MD60,TOTAL,F,CZ,2013-01-01,4.9 
LIP_MD60,TOTAL,F,CZ,2014-01-01,3.4 
LIP_MD60,TOTAL,F,CZ,2015-01-01,5.1 
LIP_MD60,TOTAL,F,CZ,2016-01-01,5.2 
LIP_MD60,TOTAL,F,CZ,2017-01-01,5.5 
LIP_MD60,TOTAL,F,DE,2004-01-01,11 
LIP_MD60,TOTAL,F,DE,2007-01-01,: 
LIP_MD60,TOTAL,F,DE,2008-01-01,7.7 
LIP_MD60,TOTAL,F,DE,2009-01-01,9.0 
LIP_MD60,TOTAL,F,DE,2010-01-01,9.2 
LIP_MD60,TOTAL,F,DE,2011-01-01,10.8 
LIP_MD60,TOTAL,F,DE,2012-01-01,10.9 
LIP_MD60,TOTAL,F,DE,2013-01-01,11.1 
LIP_MD60,TOTAL,F,DE,2014-01-01,9.5 
LIP_MD60,TOTAL,F,DE,2015-01-01,11.3 
LIP_MD60,TOTAL,F,DE,2016-01-01,11.4 
LIP_MD60,TOTAL,F,DE,2017-01-01,12.4 
LIP_MD60,TOTAL,F,DK,2004-01-01,: 
LIP_MD60,TOTAL,F,DK,2007-01-01,4.9 
