age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2006-01-01,38.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2007-01-01,38.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2008-01-01,44.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2009-01-01,43.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2010-01-01,48.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2011-01-01,45.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2012-01-01,44.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2013-01-01,42.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2014-01-01,47.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2015-01-01,47.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2016-01-01,46.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,AT,2017-01-01,53.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2006-01-01,42.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2007-01-01,42.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2008-01-01,39.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2009-01-01,40.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2010-01-01,37.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2011-01-01,47.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2012-01-01,44.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2013-01-01,48.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2014-01-01,48.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2015-01-01,43.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2016-01-01,46.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BE,2017-01-01,50.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2006-01-01,49.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2007-01-01,53.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2008-01-01,56.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2009-01-01,58.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2010-01-01,57.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2011-01-01,60.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2012-01-01,55.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2013-01-01,51.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2014-01-01,43.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2015-01-01,59.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2016-01-01,48.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,BG,2017-01-01,54.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2006-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2007-01-01,44.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2008-01-01,37.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2009-01-01,37.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2010-01-01,49.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2011-01-01,45.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2012-01-01,43.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2013-01-01,42.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2014-01-01,36.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2015-01-01,35.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2016-01-01,36.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CH,2017-01-01,
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2006-01-01,40.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2007-01-01,41.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2008-01-01,40.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2009-01-01,42.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2010-01-01,40.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2011-01-01,44.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2012-01-01,42.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2013-01-01,43.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2014-01-01,47.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2015-01-01,40.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2016-01-01,37.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CY,2017-01-01,37.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2006-01-01,33.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2007-01-01,34.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2008-01-01,38.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2009-01-01,32.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2010-01-01,33.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2011-01-01,41.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2012-01-01,39.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2013-01-01,36.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2014-01-01,49.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2015-01-01,50.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2016-01-01,47.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2017-01-01,50.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2006-01-01,46.1
