age,sex,workint,indic_il,hhtyp,geotime,date,value
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2006-01-01,55.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2007-01-01,54.5 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2008-01-01,56.1 b
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2009-01-01,59.3 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2010-01-01,67.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2011-01-01,58.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2012-01-01,67.4 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2013-01-01,59.9
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2014-01-01,62.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2015-01-01,51.6
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2016-01-01,59.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,AT,2017-01-01,69.1 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2006-01-01,70.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2007-01-01,70.0 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2008-01-01,71.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2009-01-01,75.2 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2010-01-01,71.7 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2011-01-01,74.8 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2012-01-01,73.9 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2013-01-01,71.5
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2014-01-01,73.6 
Y_LT60,T,WI0-02,LI_R_MD60,HH_DCH,BE,2015-01-01,71.3
