age,indic_il,sex,wstatus,geotime,date,value
Y_GE18,LI_R_MD60,T,EMP,AT,2006-01-01,6.4
Y_GE18,LI_R_MD60,T,EMP,AT,2007-01-01,6.1
Y_GE18,LI_R_MD60,T,EMP,AT,2008-01-01,8.5
Y_GE18,LI_R_MD60,T,EMP,AT,2009-01-01,8.2
Y_GE18,LI_R_MD60,T,EMP,AT,2010-01-01,7.5
Y_GE18,LI_R_MD60,T,EMP,AT,2011-01-01,7.6
Y_GE18,LI_R_MD60,T,EMP,AT,2012-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,AT,2013-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,AT,2014-01-01,7.2
Y_GE18,LI_R_MD60,T,EMP,AT,2015-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,AT,2016-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,AT,2017-01-01,7.7
Y_GE18,LI_R_MD60,T,EMP,BE,2006-01-01,4.1
Y_GE18,LI_R_MD60,T,EMP,BE,2007-01-01,4.3
Y_GE18,LI_R_MD60,T,EMP,BE,2008-01-01,4.8
Y_GE18,LI_R_MD60,T,EMP,BE,2009-01-01,4.6
Y_GE18,LI_R_MD60,T,EMP,BE,2010-01-01,4.5
Y_GE18,LI_R_MD60,T,EMP,BE,2011-01-01,4.2
Y_GE18,LI_R_MD60,T,EMP,BE,2012-01-01,4.5
Y_GE18,LI_R_MD60,T,EMP,BE,2013-01-01,4.4
Y_GE18,LI_R_MD60,T,EMP,BE,2014-01-01,4.8
Y_GE18,LI_R_MD60,T,EMP,BE,2015-01-01,4.6
Y_GE18,LI_R_MD60,T,EMP,BE,2016-01-01,4.7
Y_GE18,LI_R_MD60,T,EMP,BE,2017-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,BG,2006-01-01,5.4
Y_GE18,LI_R_MD60,T,EMP,BG,2007-01-01,5.8
Y_GE18,LI_R_MD60,T,EMP,BG,2008-01-01,7.5
Y_GE18,LI_R_MD60,T,EMP,BG,2009-01-01,7.4
Y_GE18,LI_R_MD60,T,EMP,BG,2010-01-01,7.7
Y_GE18,LI_R_MD60,T,EMP,BG,2011-01-01,8.2
Y_GE18,LI_R_MD60,T,EMP,BG,2012-01-01,7.4
Y_GE18,LI_R_MD60,T,EMP,BG,2013-01-01,7.2
Y_GE18,LI_R_MD60,T,EMP,BG,2014-01-01,9.2
Y_GE18,LI_R_MD60,T,EMP,BG,2015-01-01,7.7
Y_GE18,LI_R_MD60,T,EMP,BG,2016-01-01,11.4
Y_GE18,LI_R_MD60,T,EMP,BG,2017-01-01,9.9
Y_GE18,LI_R_MD60,T,EMP,CH,2006-01-01,
Y_GE18,LI_R_MD60,T,EMP,CH,2007-01-01,7.7
Y_GE18,LI_R_MD60,T,EMP,CH,2008-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,CH,2009-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,CH,2010-01-01,7.6
Y_GE18,LI_R_MD60,T,EMP,CH,2011-01-01,7.7
Y_GE18,LI_R_MD60,T,EMP,CH,2012-01-01,8.5
Y_GE18,LI_R_MD60,T,EMP,CH,2013-01-01,7.6
Y_GE18,LI_R_MD60,T,EMP,CH,2014-01-01,6.3
Y_GE18,LI_R_MD60,T,EMP,CH,2015-01-01,8.2
Y_GE18,LI_R_MD60,T,EMP,CH,2016-01-01,7.3
Y_GE18,LI_R_MD60,T,EMP,CH,2017-01-01,
Y_GE18,LI_R_MD60,T,EMP,CY,2006-01-01,7.2
Y_GE18,LI_R_MD60,T,EMP,CY,2007-01-01,6.3
Y_GE18,LI_R_MD60,T,EMP,CY,2008-01-01,6.3
Y_GE18,LI_R_MD60,T,EMP,CY,2009-01-01,6.8
Y_GE18,LI_R_MD60,T,EMP,CY,2010-01-01,7.3
Y_GE18,LI_R_MD60,T,EMP,CY,2011-01-01,7.3
Y_GE18,LI_R_MD60,T,EMP,CY,2012-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,CY,2013-01-01,8.9
Y_GE18,LI_R_MD60,T,EMP,CY,2014-01-01,7.8
Y_GE18,LI_R_MD60,T,EMP,CY,2015-01-01,9.1
Y_GE18,LI_R_MD60,T,EMP,CY,2016-01-01,8.2
Y_GE18,LI_R_MD60,T,EMP,CY,2017-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,CZ,2006-01-01,3.5
Y_GE18,LI_R_MD60,T,EMP,CZ,2007-01-01,3.3
Y_GE18,LI_R_MD60,T,EMP,CZ,2008-01-01,3.6
Y_GE18,LI_R_MD60,T,EMP,CZ,2009-01-01,3.2
Y_GE18,LI_R_MD60,T,EMP,CZ,2010-01-01,3.7
Y_GE18,LI_R_MD60,T,EMP,CZ,2011-01-01,4.0
Y_GE18,LI_R_MD60,T,EMP,CZ,2012-01-01,4.5
Y_GE18,LI_R_MD60,T,EMP,CZ,2013-01-01,4.0
Y_GE18,LI_R_MD60,T,EMP,CZ,2014-01-01,3.6
Y_GE18,LI_R_MD60,T,EMP,CZ,2015-01-01,4.0
Y_GE18,LI_R_MD60,T,EMP,CZ,2016-01-01,3.8
Y_GE18,LI_R_MD60,T,EMP,CZ,2017-01-01,3.5
