worktime,geotime,date,value
FT,AT,2006-01-01,5.3
FT,AT,2007-01-01,5.3
FT,AT,2008-01-01,7.5
FT,AT,2009-01-01,6.6
FT,AT,2010-01-01,6.4
FT,AT,2011-01-01,6.3
FT,AT,2012-01-01,6.4
FT,AT,2013-01-01,6.8
FT,AT,2014-01-01,5.6
FT,AT,2015-01-01,5.9
FT,AT,2016-01-01,6.9
FT,AT,2017-01-01,5.8
FT,BE,2006-01-01,3.6
FT,BE,2007-01-01,3.5
FT,BE,2008-01-01,3.4
FT,BE,2009-01-01,3.8
FT,BE,2010-01-01,3.9
FT,BE,2011-01-01,3.1
FT,BE,2012-01-01,3.4
FT,BE,2013-01-01,3.5
FT,BE,2014-01-01,3.9
FT,BE,2015-01-01,3.7
FT,BE,2016-01-01,3.7
FT,BE,2017-01-01,4.3
FT,BG,2006-01-01,4.5
FT,BG,2007-01-01,5.1
FT,BG,2008-01-01,6.3
FT,BG,2009-01-01,6.2
FT,BG,2010-01-01,6.4
FT,BG,2011-01-01,7.0
FT,BG,2012-01-01,6.6
FT,BG,2013-01-01,6.4
FT,BG,2014-01-01,8.1
FT,BG,2015-01-01,6.7
FT,BG,2016-01-01,10.2
FT,BG,2017-01-01,8.3
FT,CH,2006-01-01,
FT,CH,2007-01-01,6.7
FT,CH,2008-01-01,7.6
FT,CH,2009-01-01,6.7
FT,CH,2010-01-01,6.4
FT,CH,2011-01-01,6.4
FT,CH,2012-01-01,7.4
FT,CH,2013-01-01,6.6
FT,CH,2014-01-01,5.2
FT,CH,2015-01-01,6.5
FT,CH,2016-01-01,5.4
FT,CH,2017-01-01,
FT,CY,2006-01-01,6.2
FT,CY,2007-01-01,5.7
FT,CY,2008-01-01,5.8
FT,CY,2009-01-01,6.0
FT,CY,2010-01-01,7.2
FT,CY,2011-01-01,6.7
FT,CY,2012-01-01,6.9
FT,CY,2013-01-01,7.8
FT,CY,2014-01-01,6.3
FT,CY,2015-01-01,7.6
FT,CY,2016-01-01,7.3
FT,CY,2017-01-01,7.0
FT,CZ,2006-01-01,3.2
FT,CZ,2007-01-01,3.2
FT,CZ,2008-01-01,3.4
FT,CZ,2009-01-01,2.9
FT,CZ,2010-01-01,3.4
FT,CZ,2011-01-01,3.8
FT,CZ,2012-01-01,4.2
FT,CZ,2013-01-01,3.5
FT,CZ,2014-01-01,3.3
FT,CZ,2015-01-01,3.8
FT,CZ,2016-01-01,3.5
FT,CZ,2017-01-01,3.2
FT,DE,2006-01-01,4.0
FT,DE,2007-01-01,6.1
FT,DE,2008-01-01,5.4
FT,DE,2009-01-01,5.1
FT,DE,2010-01-01,5.4
FT,DE,2011-01-01,6.1
FT,DE,2012-01-01,5.7
FT,DE,2013-01-01,6.3
FT,DE,2014-01-01,7.5
FT,DE,2015-01-01,7.1
FT,DE,2016-01-01,6.5
FT,DE,2017-01-01,6.6
FT,DK,2006-01-01,4.1
FT,DK,2007-01-01,3.7
FT,DK,2008-01-01,4.5
FT,DK,2009-01-01,5.2
FT,DK,2010-01-01,5.1
FT,DK,2011-01-01,5.3
FT,DK,2012-01-01,4.4
FT,DK,2013-01-01,4.2
FT,DK,2014-01-01,3.5
FT,DK,2015-01-01,4.0
FT,DK,2016-01-01,3.2
FT,DK,2017-01-01,3.7
FT,EA18,2006-01-01,6.5
FT,EA18,2007-01-01,7.0
FT,EA18,2008-01-01,6.9
FT,EA18,2009-01-01,6.8
FT,EA18,2010-01-01,6.8
FT,EA18,2011-01-01,7.1
FT,EA18,2012-01-01,7.1
FT,EA18,2013-01-01,7.0
FT,EA18,2014-01-01,7.7
FT,EA18,2015-01-01,7.6
FT,EA18,2016-01-01,7.7
FT,EA18,2017-01-01,7.9
FT,EA19,2006-01-01,6.6
FT,EA19,2007-01-01,7.0
FT,EA19,2008-01-01,7.0
FT,EA19,2009-01-01,6.9
FT,EA19,2010-01-01,6.8
FT,EA19,2011-01-01,7.2
FT,EA19,2012-01-01,7.1
FT,EA19,2013-01-01,7.0
FT,EA19,2014-01-01,7.7
FT,EA19,2015-01-01,7.6
FT,EA19,2016-01-01,7.7
FT,EA19,2017-01-01,7.8
FT,EE,2006-01-01,6.7
FT,EE,2007-01-01,7.2
FT,EE,2008-01-01,6.9
FT,EE,2009-01-01,6.9
FT,EE,2010-01-01,5.5
FT,EE,2011-01-01,7.0
FT,EE,2012-01-01,7.1
FT,EE,2013-01-01,6.4
FT,EE,2014-01-01,10.5
FT,EE,2015-01-01,8.9
FT,EE,2016-01-01,8.6
FT,EE,2017-01-01,8.0
FT,EL,2006-01-01,12.7
FT,EL,2007-01-01,12.9
FT,EL,2008-01-01,13.5
FT,EL,2009-01-01,12.5
FT,EL,2010-01-01,11.7
FT,EL,2011-01-01,10.4
FT,EL,2012-01-01,13.4
FT,EL,2013-01-01,10.7
FT,EL,2014-01-01,11.9
FT,EL,2015-01-01,11.6
FT,EL,2016-01-01,12.2
FT,EL,2017-01-01,11.2
FT,ES,2006-01-01,9.7
FT,ES,2007-01-01,9.7
FT,ES,2008-01-01,9.4
FT,ES,2009-01-01,9.6
FT,ES,2010-01-01,9.2
FT,ES,2011-01-01,9.3
FT,ES,2012-01-01,8.7
FT,ES,2013-01-01,8.9
FT,ES,2014-01-01,10.2
FT,ES,2015-01-01,10.3
FT,ES,2016-01-01,10.7
FT,ES,2017-01-01,10.7
FT,EU27,2006-01-01,7.0
FT,EU27,2007-01-01,7.2
FT,EU27,2008-01-01,7.3
FT,EU27,2009-01-01,7.0
FT,EU27,2010-01-01,7.1
FT,EU27,2011-01-01,7.4
FT,EU27,2012-01-01,7.4
FT,EU27,2013-01-01,7.2
FT,EU27,2014-01-01,7.7
FT,EU27,2015-01-01,7.8
FT,EU27,2016-01-01,7.8
FT,EU27,2017-01-01,8.0
FT,EU28,2006-01-01,
FT,EU28,2007-01-01,
FT,EU28,2008-01-01,
FT,EU28,2009-01-01,
FT,EU28,2010-01-01,7.1
FT,EU28,2011-01-01,7.4
FT,EU28,2012-01-01,7.4
FT,EU28,2013-01-01,7.2
FT,EU28,2014-01-01,7.7
FT,EU28,2015-01-01,7.7
FT,EU28,2016-01-01,7.8
FT,EU28,2017-01-01,8.0
FT,FI,2006-01-01,3.4
FT,FI,2007-01-01,3.4
FT,FI,2008-01-01,3.9
FT,FI,2009-01-01,2.9
FT,FI,2010-01-01,3.0
FT,FI,2011-01-01,3.4
FT,FI,2012-01-01,3.0
FT,FI,2013-01-01,2.7
FT,FI,2014-01-01,3.1
FT,FI,2015-01-01,2.9
FT,FI,2016-01-01,2.7
FT,FI,2017-01-01,2.3
FT,FR,2006-01-01,5.1
FT,FR,2007-01-01,5.3
FT,FR,2008-01-01,5.3
FT,FR,2009-01-01,5.3
FT,FR,2010-01-01,5.2
FT,FR,2011-01-01,5.9
FT,FR,2012-01-01,6.6
FT,FR,2013-01-01,5.9
FT,FR,2014-01-01,6.3
FT,FR,2015-01-01,6.0
FT,FR,2016-01-01,6.5
FT,FR,2017-01-01,5.8
FT,HR,2006-01-01,
FT,HR,2007-01-01,
FT,HR,2008-01-01,
FT,HR,2009-01-01,
FT,HR,2010-01-01,5.9
