hhtyp,incgrp,unit,age,sex,geotime,date,value
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2006-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2007-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2008-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2009-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2010-01-01,7.0
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2011-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2012-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2013-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2014-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2015-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2016-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,F,AT,2017-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2006-01-01,9.9
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2007-01-01,8.2
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2008-01-01,7.8
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2009-01-01,9.7
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2010-01-01,8.9
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2011-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2012-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2013-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2014-01-01,6.5
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2015-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2016-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,BE,2017-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2006-01-01,10.0
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2007-01-01,9.8
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2008-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2009-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2010-01-01,7.6
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2011-01-01,7.2
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2012-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2013-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2014-01-01,6.8
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2015-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2016-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,F,BG,2017-01-01,6.4
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2006-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2007-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2008-01-01,5.1
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2009-01-01,5.9
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2010-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2011-01-01,6.2
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2012-01-01,7.4
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2013-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2014-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2015-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2016-01-01,7.1
TOTAL,TOTAL,PC_POP,TOTAL,F,CH,2017-01-01,
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2006-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2007-01-01,6.3
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2008-01-01,5.0
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2009-01-01,6.7
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2010-01-01,5.7
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2011-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2012-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2013-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2014-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2015-01-01,5.4
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2016-01-01,4.2
TOTAL,TOTAL,PC_POP,TOTAL,F,CY,2017-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2006-01-01,4.6
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2007-01-01,4.1
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2008-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2009-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2010-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2011-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2012-01-01,3.1
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2013-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2014-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2015-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2016-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ,2017-01-01,3.1
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2006-01-01,4.8
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2007-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2008-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2009-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2010-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2011-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2012-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2013-01-01,4.5
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2014-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2015-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2016-01-01,3.8
TOTAL,TOTAL,PC_POP,TOTAL,F,DE,2017-01-01,3.9
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2006-01-01,4.0
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2007-01-01,4.9
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2008-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2009-01-01,4.7
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2010-01-01,4.3
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2011-01-01,5.5
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2012-01-01,3.6
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2013-01-01,3.7
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2014-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2015-01-01,3.4
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2016-01-01,3.5
TOTAL,TOTAL,PC_POP,TOTAL,F,DK,2017-01-01,4.4
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2006-01-01,7.9
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2007-01-01,7.7
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2008-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2009-01-01,6.6
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2010-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2011-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2012-01-01,5.8
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2013-01-01,6.1
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2014-01-01,6.0
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2015-01-01,5.6
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18,2016-01-01,5.5
