unit,deg_urb,geotime,date,value
PC,DEG1,AT,2006-01-01,16.4 
PC,DEG1,AT,2007-01-01,17.6 
PC,DEG1,AT,2008-01-01,17.6 b
PC,DEG1,AT,2009-01-01,17.2 
PC,DEG1,AT,2010-01-01,17.5 
PC,DEG1,AT,2011-01-01,17.9 
PC,DEG1,AT,2012-01-01,18.7 
PC,DEG1,AT,2013-01-01,19.0 
PC,DEG1,AT,2014-01-01,19.4 
PC,DEG1,AT,2015-01-01,19.0 
PC,DEG1,AT,2016-01-01,19.7 
PC,DEG1,AT,2017-01-01,18.8 
PC,DEG1,BE,2006-01-01,18.1 
PC,DEG1,BE,2007-01-01,17.8 
PC,DEG1,BE,2008-01-01,19.3 b
PC,DEG1,BE,2009-01-01,17.0 
PC,DEG1,BE,2010-01-01,17.7 
PC,DEG1,BE,2011-01-01,18.2 
PC,DEG1,BE,2012-01-01,21.4 b
PC,DEG1,BE,2013-01-01,21.1 
PC,DEG1,BE,2014-01-01,21.3 
PC,DEG1,BE,2015-01-01,19.4 
PC,DEG1,BE,2016-01-01,18.8 
PC,DEG1,BE,2017-01-01,19.0 
PC,DEG1,BG,2006-01-01,21.8 
PC,DEG1,BG,2007-01-01,23.4 
PC,DEG1,BG,2008-01-01,19.6 
PC,DEG1,BG,2009-01-01,14.6 
PC,DEG1,BG,2010-01-01,13.7 
PC,DEG1,BG,2011-01-01,15.8 
PC,DEG1,BG,2012-01-01,18.2 b
PC,DEG1,BG,2013-01-01,18.9 
PC,DEG1,BG,2014-01-01,17.7 
PC,DEG1,BG,2015-01-01,19.1 
PC,DEG1,BG,2016-01-01,21.8 b
PC,DEG1,BG,2017-01-01,19.6 
PC,DEG1,CH,2006-01-01,
PC,DEG1,CH,2007-01-01,: u
PC,DEG1,CH,2008-01-01,: u
PC,DEG1,CH,2009-01-01,23.6 
PC,DEG1,CH,2010-01-01,24.6 
PC,DEG1,CH,2011-01-01,23.3 
PC,DEG1,CH,2012-01-01,23.3 b
PC,DEG1,CH,2013-01-01,23.0 
PC,DEG1,CH,2014-01-01,24.4 b
PC,DEG1,CH,2015-01-01,23.6 
PC,DEG1,CH,2016-01-01,24.5 
PC,DEG1,CH,2017-01-01,
PC,DEG1,CY,2006-01-01,9.3 
PC,DEG1,CY,2007-01-01,8.3 
PC,DEG1,CY,2008-01-01,8.4 b
PC,DEG1,CY,2009-01-01,7.6 
PC,DEG1,CY,2010-01-01,7.4 
PC,DEG1,CY,2011-01-01,8.0 
PC,DEG1,CY,2012-01-01,9.1 b
PC,DEG1,CY,2013-01-01,9.6 
PC,DEG1,CY,2014-01-01,10.1 
PC,DEG1,CY,2015-01-01,10.0 
PC,DEG1,CY,2016-01-01,8.9 
PC,DEG1,CY,2017-01-01,8.9 
PC,DEG1,CZ,2006-01-01,21.7 
PC,DEG1,CZ,2007-01-01,21.2 
PC,DEG1,CZ,2008-01-01,21.0 
PC,DEG1,CZ,2009-01-01,19.9 
PC,DEG1,CZ,2010-01-01,20.7 
PC,DEG1,CZ,2011-01-01,20.4 
PC,DEG1,CZ,2012-01-01,20.9 b
PC,DEG1,CZ,2013-01-01,22.6 
PC,DEG1,CZ,2014-01-01,22.3 
PC,DEG1,CZ,2015-01-01,21.6 
PC,DEG1,CZ,2016-01-01,21.6 
PC,DEG1,CZ,2017-01-01,20.4 
PC,DEG1,DE,2006-01-01,
