unit,s_adj,bop_item,stk_flow,partner,geo\time,date,value
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,1999-01-01,12.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2000-01-01,16.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2001-01-01,18.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2002-01-01,19.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2003-01-01,20.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2004-01-01,23.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2005-01-01,55.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2006-01-01,61.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2007-01-01,74.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2008-01-01,72.7
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2009-01-01,81.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2010-01-01,74.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2011-01-01,72.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2012-01-01,74.7
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2013-01-01,75.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2014-01-01,77.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2015-01-01,75.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2016-01-01,65.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,AT,2017-01-01,66.7
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,1999-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2000-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2001-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2002-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2003-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2004-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2005-01-01,130.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2006-01-01,143.8 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2007-01-01,154.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2008-01-01,192.0
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2009-01-01,208.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2010-01-01,223.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2011-01-01,236.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2012-01-01,236.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2013-01-01,220.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2014-01-01,228.5
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2015-01-01,228.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2016-01-01,221.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BE,2017-01-01,199.9
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,1999-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2000-01-01,20.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2001-01-01,21.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2002-01-01,23.2 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2003-01-01,27.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2004-01-01,37.8 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2005-01-01,50.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2006-01-01,66.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2007-01-01,81.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2008-01-01,87.5
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2009-01-01,94.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2010-01-01,90.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2011-01-01,87.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2012-01-01,90.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2013-01-01,89.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2014-01-01,93.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2015-01-01,93.6
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2016-01-01,90.6
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,BG,2017-01-01,88.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,1999-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2000-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2001-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2002-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2003-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2004-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2005-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2006-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2007-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2008-01-01,701.6
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2009-01-01,711.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2010-01-01,773.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2011-01-01,700.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2012-01-01,866.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2013-01-01,863.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2014-01-01,849.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2015-01-01,1049.7
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2016-01-01,1069.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CY,2017-01-01,1017.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,1995-01-01,12.4 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,1996-01-01,12.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,1997-01-01,16.4 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,1998-01-01,20.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,1999-01-01,28.2 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2000-01-01,34.4 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2001-01-01,38.2 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2002-01-01,43.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2003-01-01,41.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2004-01-01,43.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2005-01-01,48.9 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2006-01-01,51.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2007-01-01,58.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2008-01-01,60.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2009-01-01,66.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2010-01-01,70.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2011-01-01,69.6
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2012-01-01,74.7
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2013-01-01,77.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2014-01-01,77.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2015-01-01,75.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2016-01-01,78.4
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,CZ,2017-01-01,78.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,1999-01-01,16.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2000-01-01,26.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2001-01-01,25.6 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2002-01-01,28.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2003-01-01,29.4 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2004-01-01,28.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2005-01-01,30.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2006-01-01,32.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2007-01-01,33.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2008-01-01,31.9
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2009-01-01,34.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2010-01-01,35.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2011-01-01,35.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2012-01-01,39.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2013-01-01,41.0
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2014-01-01,41.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2015-01-01,41.9
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2016-01-01,42.0
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DE,2017-01-01,42.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,1999-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2000-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2001-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2002-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2003-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2004-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2005-01-01,46.3 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2006-01-01,44.7 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2007-01-01,47.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2008-01-01,44.6
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2009-01-01,46.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2010-01-01,43.5
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2011-01-01,43.9
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2012-01-01,43.6
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2013-01-01,41.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2014-01-01,49.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2015-01-01,50.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2016-01-01,56.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,DK,2017-01-01,54.3
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,1999-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2000-01-01,48.2 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2001-01-01,54.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2002-01-01,55.2 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2003-01-01,68.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2004-01-01,80.8 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2005-01-01,90.1 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2006-01-01,75.5 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2007-01-01,75.0 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2008-01-01,77.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2009-01-01,89.1
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2010-01-01,95.0
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2011-01-01,89.9
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2012-01-01,94.2
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2013-01-01,98.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2014-01-01,103.7
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2015-01-01,97.9
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2016-01-01,98.8
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EE,2017-01-01,95.5
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,1995-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,1996-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,1997-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,1998-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,1999-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,2000-01-01,: 
PC_GDP,NSA,FA__D__F,L_LE,WRL_REST,EL,2001-01-01,: 
