unit,s_adj,partner,stk_flow,bop_item,geotime,date,value
PC_GDP,NSA,WRL_REST,BAL,CA,AT,1995-01-01,-2.7
PC_GDP,NSA,WRL_REST,BAL,CA,AT,1996-01-01,-2.8
PC_GDP,NSA,WRL_REST,BAL,CA,AT,1997-01-01,-2.6
PC_GDP,NSA,WRL_REST,BAL,CA,AT,1998-01-01,-1.9
PC_GDP,NSA,WRL_REST,BAL,CA,AT,1999-01-01,-2.3
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2000-01-01,-0.7
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2001-01-01,-0.8
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2002-01-01,2.1
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2003-01-01,1.5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2004-01-01,2.1
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2005-01-01,2.3
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2006-01-01,3.3
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2007-01-01,3.8
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2008-01-01,4.5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2009-01-01,2.6
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2010-01-01,2.9
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2011-01-01,1.6
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2012-01-01,1.5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2013-01-01,1.9
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2014-01-01,2.5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2015-01-01,1.7
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2016-01-01,2.5
PC_GDP,NSA,WRL_REST,BAL,CA,AT,2017-01-01,2.0
PC_GDP,NSA,WRL_REST,BAL,CA,BE,1995-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,1996-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,1997-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,1998-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,1999-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2000-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2001-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2002-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2003-01-01,3.5
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2004-01-01,3.3
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2005-01-01,2.1
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2006-01-01,1.9
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2007-01-01,2.0
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2008-01-01,-1.0
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2009-01-01,-1.1
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2010-01-01,1.8
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2011-01-01,-1.1
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2012-01-01,-0.1
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2013-01-01,-0.3
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2014-01-01,-0.9
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2015-01-01,-1.0
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2016-01-01,-0.6
PC_GDP,NSA,WRL_REST,BAL,CA,BE,2017-01-01,0.7
PC_GDP,NSA,WRL_REST,BAL,CA,BG,1995-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BG,1996-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BG,1997-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,BG,1998-01-01,-0.2
PC_GDP,NSA,WRL_REST,BAL,CA,BG,1999-01-01,-4.6
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2000-01-01,-5.3
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2001-01-01,-5.4
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2002-01-01,-2.4
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2003-01-01,-5.3
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2004-01-01,-6.4
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2005-01-01,-11.4
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2006-01-01,-17.2
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2007-01-01,-23.9
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2008-01-01,-22.0
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2009-01-01,-8.3
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2010-01-01,-1.7
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2011-01-01,0.3
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2012-01-01,-0.9
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2013-01-01,1.3
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2014-01-01,1.2
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2015-01-01,0.0
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2016-01-01,2.6
PC_GDP,NSA,WRL_REST,BAL,CA,BG,2017-01-01,6.7
PC_GDP,NSA,WRL_REST,BAL,CA,CY,1995-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,1996-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,1997-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,1998-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,1999-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2000-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2001-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2002-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2003-01-01,
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2004-01-01,-5.1
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2005-01-01,-6.0
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2006-01-01,-8.2
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2007-01-01,-11.8
PC_GDP,NSA,WRL_REST,BAL,CA,CY,2008-01-01,-15.5
