unit,s_adj,bop_item,stk_flow,partner,geotime,date,value
PC_GDP,NSA,CA,DEB,WRL_REST,AT,1995-01-01,39.8
PC_GDP,NSA,CA,DEB,WRL_REST,AT,1996-01-01,41.5
PC_GDP,NSA,CA,DEB,WRL_REST,AT,1997-01-01,45.2
PC_GDP,NSA,CA,DEB,WRL_REST,AT,1998-01-01,46.5
PC_GDP,NSA,CA,DEB,WRL_REST,AT,1999-01-01,48.1
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2000-01-01,51.3
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2001-01-01,52.9
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2002-01-01,51.0
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2003-01-01,50.6
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2004-01-01,53.0
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2005-01-01,56.5
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2006-01-01,59.9
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2007-01-01,63.1
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2008-01-01,61.8
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2009-01-01,53.7
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2010-01-01,58.5
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2011-01-01,63.8
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2012-01-01,63.1
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2013-01-01,58.5
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2014-01-01,58.7
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2015-01-01,57.3
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2016-01-01,59.1
PC_GDP,NSA,CA,DEB,WRL_REST,AT,2017-01-01,60.7
PC_GDP,NSA,CA,DEB,WRL_REST,BE,1995-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,1996-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,1997-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,1998-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,1999-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2000-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2001-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2002-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2003-01-01,79.9
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2004-01-01,83.0
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2005-01-01,89.9
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2006-01-01,94.1
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2007-01-01,99.0
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2008-01-01,102.5
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2009-01-01,87.2
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2010-01-01,91.4
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2011-01-01,97.4
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2012-01-01,98.4
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2013-01-01,97.4
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2014-01-01,97.6
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2015-01-01,95.2
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2016-01-01,97.6
PC_GDP,NSA,CA,DEB,WRL_REST,BE,2017-01-01,99.0
PC_GDP,NSA,CA,DEB,WRL_REST,BG,1995-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BG,1996-01-01,
PC_GDP,NSA,CA,DEB,WRL_REST,BG,1997-01-01,
