currency,bop_item,sector10,sectpart,stk_flow,partner,geotime,date,value
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,1999-01-01,307
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2000-01-01,3364
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2001-01-01,3109
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2002-01-01,5792
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2003-01-01,8
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2004-01-01,3552
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2005-01-01,138
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2006-01-01,4516
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2007-01-01,7305
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2008-01-01,14632
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2009-01-01,875
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2010-01-01,5759
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2011-01-01,11031
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2012-01-01,10208
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2015-01-01,5223
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2016-01-01,1881
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,AT,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2003-01-01,4294
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2004-01-01,7683
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2005-01-01,1377
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2006-01-01,6543
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2007-01-01,9721
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2008-01-01,21263
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2009-01-01,43129
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2010-01-01,38918
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2011-01-01,22938
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2012-01-01,21252
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2015-01-01,14747
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2016-01-01,27133
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BE,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2004-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2005-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2006-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2007-01-01,16432
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2008-01-01,11625
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2009-01-01,4928
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2010-01-01,1825
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2011-01-01,2325
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2012-01-01,2088
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2015-01-01,4383
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2016-01-01,1203
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,BG,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2004-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2005-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2006-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2007-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2008-01-01,1537
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2009-01-01,1393
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2010-01-01,2484
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2011-01-01,3006
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2012-01-01,1994
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2015-01-01,8416
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2016-01-01,1803
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CY,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1995-01-01,67020
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1996-01-01,34625
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1997-01-01,40451
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1998-01-01,115865
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,1999-01-01,215703
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2000-01-01,190768
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2001-01-01,208297
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2002-01-01,270931
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2003-01-01,53501
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2004-01-01,101776
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2005-01-01,279632
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2006-01-01,90261
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2007-01-01,179064
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2008-01-01,36327
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2009-01-01,37694
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2010-01-01,94992
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2011-01-01,46805
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2012-01-01,121260
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2015-01-01,49747
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2016-01-01,186549
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,CZ,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1995-01-01,20286
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1996-01-01,34531
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1997-01-01,27039
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1998-01-01,58853
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,1999-01-01,49943
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2000-01-01,153251
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2001-01-01,15071
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2002-01-01,36741
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2003-01-01,23754
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2004-01-01,24567
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2005-01-01,21787
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2006-01-01,48647
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2007-01-01,65106
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2008-01-01,43267
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2009-01-01,32202
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2010-01-01,45158
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2011-01-01,7492
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2012-01-01,26449
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2013-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2014-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2015-01-01,67536
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2016-01-01,31170
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DE,2017-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1995-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1996-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1997-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1998-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,1999-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2000-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2001-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2002-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2003-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2004-01-01,
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2005-01-01,24399
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2006-01-01,33365
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2007-01-01,33070
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2008-01-01,80298
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2009-01-01,15059
MIO_NAC,FA__D__F,S1,S1,NET,WRL_REST,DK,2010-01-01,62538
