currency,partner,sector10,sectpart,stk_flow,bop_item,geotime,date,value
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,1995-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,1996-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,1997-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,1998-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,1999-01-01,2976
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2000-01-01,6161
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2001-01-01,3737
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2002-01-01,6855
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2003-01-01,5679
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2004-01-01,6679
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2005-01-01,62517
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2006-01-01,13005
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2007-01-01,56523
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2008-01-01,18945
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2009-01-01,10784
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2010-01-01,10336
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2011-01-01,27826
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2012-01-01,14216
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2013-01-01,8200
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2014-01-01,551
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2015-01-01,2002
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2016-01-01,24727
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,AT,2017-01-01,13703
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BE,1995-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BE,1996-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BE,1997-01-01,
MIO_NAC,WRL_REST,S1,S1,ASS,FA__D__F,BE,1998-01-01,
