unit,bop_item,sector10,sectpart,stk_flow,partner,s_adj,geotime,date,value
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,1995-01-01,5250
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,1996-01-01,5166
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,1997-01-01,4764
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,1998-01-01,3812
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,1999-01-01,4804
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2000-01-01,1951
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2001-01-01,2265
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2002-01-01,4309
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2003-01-01,3471
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2004-01-01,4862
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2005-01-01,5749
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2006-01-01,7918
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2007-01-01,10824
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2008-01-01,13028
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2009-01-01,7355
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2010-01-01,8623
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2011-01-01,4727
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2012-01-01,4276
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,AT,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,1998-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,1999-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2000-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2001-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2002-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2003-01-01,9029
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2004-01-01,9376
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2005-01-01,5768
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2006-01-01,6065
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2007-01-01,5472
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2008-01-01,5393
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2009-01-01,4405
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2010-01-01,5578
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2011-01-01,4483
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2012-01-01,2113
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BE,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,1998-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,1999-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2000-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2001-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2002-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2003-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2004-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2005-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2006-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2007-01-01,16296
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2008-01-01,15451
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2009-01-01,5139
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2010-01-01,709
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2011-01-01,1251
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2012-01-01,368
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,BG,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,1998-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,1999-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2000-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2001-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2002-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2003-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2004-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2005-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2006-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2007-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2008-01-01,2907
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2009-01-01,1369
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2010-01-01,2117
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2011-01-01,729
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2012-01-01,1127
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CY,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,1995-01-01,36153
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,1996-01-01,111850
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,1997-01-01,112718
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,1998-01-01,40426
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,1999-01-01,50671
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2000-01-01,105072
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2001-01-01,124809
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2002-01-01,136497
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2003-01-01,160700
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2004-01-01,128594
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2005-01-01,44465
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2006-01-01,75213
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2007-01-01,155188
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2008-01-01,49231
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2009-01-01,37927
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2010-01-01,104180
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2011-01-01,72089
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2012-01-01,10303
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,CZ,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,1995-01-01,25845
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,1996-01-01,15301
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,1997-01-01,10429
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,1998-01-01,14743
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,1999-01-01,30157
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2000-01-01,31938
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2001-01-01,11169
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2002-01-01,37644
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2003-01-01,37268
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2004-01-01,101085
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2005-01-01,103396
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2006-01-01,134632
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2007-01-01,168041
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2008-01-01,142425
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2009-01-01,139376
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2010-01-01,146109
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2011-01-01,165496
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2012-01-01,193177
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2013-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2014-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2015-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2016-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DE,2017-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,1995-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,1996-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,1997-01-01,
MIO_NAC,CKA,S1,S1,BAL,WRL_REST,NSA,DK,1998-01-01,
