unit,geotime,date,value
PCH_1Y,AT,1995-01-01,2
PCH_1Y,AT,1996-01-01,3
PCH_1Y,AT,1997-01-01,
PCH_1Y,AT,1998-01-01,
PCH_1Y,AT,1999-01-01,
PCH_1Y,AT,2000-01-01,
PCH_1Y,AT,2001-01-01,
PCH_1Y,AT,2002-01-01,
PCH_1Y,AT,2003-01-01,
PCH_1Y,AT,2004-01-01,
PCH_1Y,AT,2005-01-01,
PCH_1Y,AT,2006-01-01,
PCH_1Y,AT,2007-01-01,
PCH_1Y,AT,2008-01-01,
PCH_1Y,AT,2009-01-01,
PCH_1Y,AT,2010-01-01,
PCH_1Y,AT,2011-01-01,
PCH_1Y,AT,2012-01-01,
PCH_1Y,AT,2013-01-01,
PCH_1Y,AT,2014-01-01,
PCH_1Y,AT,2015-01-01,
PCH_1Y,AT,2016-01-01,
PCH_1Y,AT,2017-01-01,
PCH_1Y,BE,1995-01-01,2
PCH_1Y,BE,1996-01-01,3
PCH_1Y,BE,1997-01-01,
PCH_1Y,BE,1998-01-01,
PCH_1Y,BE,1999-01-01,
PCH_1Y,BE,2000-01-01,
PCH_1Y,BE,2001-01-01,
PCH_1Y,BE,2002-01-01,
PCH_1Y,BE,2003-01-01,
PCH_1Y,BE,2004-01-01,
PCH_1Y,BE,2005-01-01,
PCH_1Y,BE,2006-01-01,
PCH_1Y,BE,2007-01-01,
PCH_1Y,BE,2008-01-01,
PCH_1Y,BE,2009-01-01,
PCH_1Y,BE,2010-01-01,
PCH_1Y,BE,2011-01-01,
PCH_1Y,BE,2012-01-01,
PCH_1Y,BE,2013-01-01,
PCH_1Y,BE,2014-01-01,
PCH_1Y,BE,2015-01-01,
PCH_1Y,BE,2016-01-01,
PCH_1Y,BE,2017-01-01,
PCH_1Y,BG,1995-01-01,13
PCH_1Y,BG,1996-01-01,21
PCH_1Y,BG,1997-01-01,
PCH_1Y,BG,1998-01-01,
PCH_1Y,BG,1999-01-01,
PCH_1Y,BG,2000-01-01,
PCH_1Y,BG,2001-01-01,
PCH_1Y,BG,2002-01-01,
PCH_1Y,BG,2003-01-01,
PCH_1Y,BG,2004-01-01,
PCH_1Y,BG,2005-01-01,
PCH_1Y,BG,2006-01-01,
PCH_1Y,BG,2007-01-01,
PCH_1Y,BG,2008-01-01,
PCH_1Y,BG,2009-01-01,
PCH_1Y,BG,2010-01-01,
PCH_1Y,BG,2011-01-01,
PCH_1Y,BG,2012-01-01,
PCH_1Y,BG,2013-01-01,
PCH_1Y,BG,2014-01-01,
PCH_1Y,BG,2015-01-01,
PCH_1Y,BG,2016-01-01,
PCH_1Y,BG,2017-01-01,
PCH_1Y,CY,1995-01-01,2
PCH_1Y,CY,1996-01-01,3
PCH_1Y,CY,1997-01-01,
PCH_1Y,CY,1998-01-01,
PCH_1Y,CY,1999-01-01,
PCH_1Y,CY,2000-01-01,
PCH_1Y,CY,2001-01-01,
PCH_1Y,CY,2002-01-01,
PCH_1Y,CY,2003-01-01,
PCH_1Y,CY,2004-01-01,
PCH_1Y,CY,2005-01-01,
PCH_1Y,CY,2006-01-01,
PCH_1Y,CY,2007-01-01,
PCH_1Y,CY,2008-01-01,
PCH_1Y,CY,2009-01-01,
PCH_1Y,CY,2010-01-01,
PCH_1Y,CY,2011-01-01,
PCH_1Y,CY,2012-01-01,
PCH_1Y,CY,2013-01-01,
PCH_1Y,CY,2014-01-01,
PCH_1Y,CY,2015-01-01,
PCH_1Y,CY,2016-01-01,
PCH_1Y,CY,2017-01-01,
PCH_1Y,CZ,1995-01-01,3
PCH_1Y,CZ,1996-01-01,5
PCH_1Y,CZ,1997-01-01,
PCH_1Y,CZ,1998-01-01,
PCH_1Y,CZ,1999-01-01,
PCH_1Y,CZ,2000-01-01,
PCH_1Y,CZ,2001-01-01,
PCH_1Y,CZ,2002-01-01,
PCH_1Y,CZ,2003-01-01,
PCH_1Y,CZ,2004-01-01,
PCH_1Y,CZ,2005-01-01,
PCH_1Y,CZ,2006-01-01,
PCH_1Y,CZ,2007-01-01,
PCH_1Y,CZ,2008-01-01,
PCH_1Y,CZ,2009-01-01,
PCH_1Y,CZ,2010-01-01,
PCH_1Y,CZ,2011-01-01,
PCH_1Y,CZ,2012-01-01,
PCH_1Y,CZ,2013-01-01,
PCH_1Y,CZ,2014-01-01,
PCH_1Y,CZ,2015-01-01,
PCH_1Y,CZ,2016-01-01,
PCH_1Y,CZ,2017-01-01,
PCH_1Y,DE,1995-01-01,3
PCH_1Y,DE,1996-01-01,4
PCH_1Y,DE,1997-01-01,
PCH_1Y,DE,1998-01-01,
PCH_1Y,DE,1999-01-01,
PCH_1Y,DE,2000-01-01,
PCH_1Y,DE,2001-01-01,
PCH_1Y,DE,2002-01-01,
PCH_1Y,DE,2003-01-01,
PCH_1Y,DE,2004-01-01,
PCH_1Y,DE,2005-01-01,
PCH_1Y,DE,2006-01-01,
PCH_1Y,DE,2007-01-01,
PCH_1Y,DE,2008-01-01,
PCH_1Y,DE,2009-01-01,
PCH_1Y,DE,2010-01-01,
PCH_1Y,DE,2011-01-01,
PCH_1Y,DE,2012-01-01,
PCH_1Y,DE,2013-01-01,
PCH_1Y,DE,2014-01-01,
PCH_1Y,DE,2015-01-01,
PCH_1Y,DE,2016-01-01,
PCH_1Y,DE,2017-01-01,
PCH_1Y,DK,1995-01-01,3
PCH_1Y,DK,1996-01-01,1
PCH_1Y,DK,1997-01-01,
PCH_1Y,DK,1998-01-01,
PCH_1Y,DK,1999-01-01,
PCH_1Y,DK,2000-01-01,
PCH_1Y,DK,2001-01-01,
PCH_1Y,DK,2002-01-01,
PCH_1Y,DK,2003-01-01,
PCH_1Y,DK,2004-01-01,
PCH_1Y,DK,2005-01-01,
PCH_1Y,DK,2006-01-01,
PCH_1Y,DK,2007-01-01,
PCH_1Y,DK,2008-01-01,
PCH_1Y,DK,2009-01-01,
PCH_1Y,DK,2010-01-01,
PCH_1Y,DK,2011-01-01,
PCH_1Y,DK,2012-01-01,
PCH_1Y,DK,2013-01-01,
PCH_1Y,DK,2014-01-01,
PCH_1Y,DK,2015-01-01,
PCH_1Y,DK,2016-01-01,
PCH_1Y,DK,2017-01-01,
PCH_1Y,EE,1995-01-01,16
PCH_1Y,EE,1996-01-01,6
PCH_1Y,EE,1997-01-01,
PCH_1Y,EE,1998-01-01,
PCH_1Y,EE,1999-01-01,
PCH_1Y,EE,2000-01-01,
PCH_1Y,EE,2001-01-01,
PCH_1Y,EE,2002-01-01,
PCH_1Y,EE,2003-01-01,
PCH_1Y,EE,2004-01-01,
PCH_1Y,EE,2005-01-01,
PCH_1Y,EE,2006-01-01,
PCH_1Y,EE,2007-01-01,
PCH_1Y,EE,2008-01-01,
PCH_1Y,EE,2009-01-01,
PCH_1Y,EE,2010-01-01,
PCH_1Y,EE,2011-01-01,
PCH_1Y,EE,2012-01-01,
PCH_1Y,EE,2013-01-01,
PCH_1Y,EE,2014-01-01,
PCH_1Y,EE,2015-01-01,
PCH_1Y,EE,2016-01-01,
PCH_1Y,EE,2017-01-01,
PCH_1Y,EL,1995-01-01,0
PCH_1Y,EL,1996-01-01,2
