unit,geotime,date,value
PC,AT,2007-01-01,11.1
PC,AT,2008-01-01,10.8
PC,AT,2009-01-01,11.7
PC,AT,2010-01-01,11.8
PC,AT,2011-01-01,11.2
PC,AT,2012-01-01,12.8
PC,AT,2013-01-01,14.2
PC,AT,2014-01-01,14.4
PC,AT,2015-01-01,14.2
PC,AT,2016-01-01,13.9
PC,AT,2017-01-01,14.8
PC,BE,2007-01-01,6.6
PC,BE,2008-01-01,6.8
PC,BE,2009-01-01,8.8
PC,BE,2010-01-01,8.4
PC,BE,2011-01-01,7.7
PC,BE,2012-01-01,8.6
PC,BE,2013-01-01,8.7
PC,BE,2014-01-01,9.6
PC,BE,2015-01-01,10.2
PC,BE,2016-01-01,10.0
PC,BE,2017-01-01,9.8
PC,BG,2007-01-01,3.5
PC,BG,2008-01-01,3.6
PC,BG,2009-01-01,4.6
PC,BG,2010-01-01,4.1
PC,BG,2011-01-01,3.7
PC,BG,2012-01-01,3.8
PC,BG,2013-01-01,4.0
PC,BG,2014-01-01,3.9
PC,BG,2015-01-01,4.4
PC,BG,2016-01-01,5.1
PC,BG,2017-01-01,5.4
PC,CY,2007-01-01,14.6
PC,CY,2008-01-01,19.1
PC,CY,2009-01-01,20.1
PC,CY,2010-01-01,19.3
PC,CY,2011-01-01,14.8
PC,CY,2012-01-01,11.7
PC,CY,2013-01-01,18.1
PC,CY,2014-01-01,5.2
PC,CY,2015-01-01,10.9
PC,CY,2016-01-01,6.9
PC,CY,2017-01-01,9.9
PC,CZ,2007-01-01,14.1
PC,CZ,2008-01-01,14.1
PC,CZ,2009-01-01,15.2
PC,CZ,2010-01-01,16.1
PC,CZ,2011-01-01,16.4
PC,CZ,2012-01-01,16.1
PC,CZ,2013-01-01,15.1
PC,CZ,2014-01-01,15.3
PC,CZ,2015-01-01,15.5
PC,CZ,2016-01-01,15.0
PC,CZ,2017-01-01,15.3
PC,DE,2007-01-01,13.0
PC,DE,2008-01-01,12.4
PC,DE,2009-01-01,14.0
PC,DE,2010-01-01,14.0
PC,DE,2011-01-01,13.5
PC,DE,2012-01-01,14.2
PC,DE,2013-01-01,14.3
PC,DE,2014-01-01,14.3
PC,DE,2015-01-01,14.9
PC,DE,2016-01-01,15.2
PC,DE,2017-01-01,14.8
PC,DK,2007-01-01,11.7
PC,DK,2008-01-01,10.7
PC,DK,2009-01-01,12.3
PC,DK,2010-01-01,9.3
PC,DK,2011-01-01,9.3
PC,DK,2012-01-01,9.3
PC,DK,2013-01-01,9.3
PC,DK,2014-01-01,9.8
PC,DK,2015-01-01,10.7
PC,DK,2016-01-01,10.6
PC,DK,2017-01-01,9.6
PC,EE,2007-01-01,7.8
PC,EE,2008-01-01,7.5
PC,EE,2009-01-01,6.9
PC,EE,2010-01-01,10.4
PC,EE,2011-01-01,14.8
PC,EE,2012-01-01,14.1
PC,EE,2013-01-01,14.9
PC,EE,2014-01-01,16.3
PC,EE,2015-01-01,15.5
PC,EE,2016-01-01,15.6
PC,EE,2017-01-01,12.0
PC,EL,2007-01-01,4.2
PC,EL,2008-01-01,4.9
PC,EL,2009-01-01,7.7
PC,EL,2010-01-01,5.6
PC,EL,2011-01-01,4.6
PC,EL,2012-01-01,3.2
PC,EL,2013-01-01,2.7
PC,EL,2014-01-01,3.7
PC,EL,2015-01-01,4.6
PC,EL,2016-01-01,5.0
PC,EL,2017-01-01,4.3
PC,ES,2007-01-01,4.2
PC,ES,2008-01-01,4.2
PC,ES,2009-01-01,4.8
PC,ES,2010-01-01,4.8
PC,ES,2011-01-01,4.8
PC,ES,2012-01-01,5.0
PC,ES,2013-01-01,5.4
PC,ES,2014-01-01,5.2
PC,ES,2015-01-01,5.5
PC,ES,2016-01-01,5.8
PC,ES,2017-01-01,6.0
PC,FI,2007-01-01,17.5
PC,FI,2008-01-01,17.3
PC,FI,2009-01-01,13.9
PC,FI,2010-01-01,10.0
PC,FI,2011-01-01,8.0
PC,FI,2012-01-01,7.3
PC,FI,2013-01-01,6.2
PC,FI,2014-01-01,6.7
PC,FI,2015-01-01,7.0
PC,FI,2016-01-01,6.8
PC,FI,2017-01-01,6.6
PC,FR,2007-01-01,16.7
PC,FR,2008-01-01,17.6
PC,FR,2009-01-01,19.7
PC,FR,2010-01-01,20.4
PC,FR,2011-01-01,18.7
PC,FR,2012-01-01,20.0
PC,FR,2013-01-01,20.4
PC,FR,2014-01-01,20.8
PC,FR,2015-01-01,21.7
PC,FR,2016-01-01,21.7
PC,FR,2017-01-01,20.5
PC,HR,2007-01-01,6.5
PC,HR,2008-01-01,6.7
PC,HR,2009-01-01,7.6
PC,HR,2010-01-01,7.0
PC,HR,2011-01-01,5.8
PC,HR,2012-01-01,7.2
PC,HR,2013-01-01,7.9
PC,HR,2014-01-01,6.6
PC,HR,2015-01-01,7.1
PC,HR,2016-01-01,9.7
PC,HR,2017-01-01,9.3
PC,HU,2007-01-01,21.3
PC,HU,2008-01-01,20.2
PC,HU,2009-01-01,22.2
PC,HU,2010-01-01,21.8
PC,HU,2011-01-01,20.9
PC,HU,2012-01-01,17.3
PC,HU,2013-01-01,16.3
PC,HU,2014-01-01,14.5
