na_item,unit,geo\time,date,value
P6,CLV_PCH_PRE,AT,1995-01-01,: 
P6,CLV_PCH_PRE,AT,1996-01-01,-1.6 
P6,CLV_PCH_PRE,AT,1997-01-01,0.8 
P6,CLV_PCH_PRE,AT,1998-01-01,3.6 
P6,CLV_PCH_PRE,AT,1999-01-01,1.8 
P6,CLV_PCH_PRE,AT,2000-01-01,1.3 
P6,CLV_PCH_PRE,AT,2001-01-01,5.3
P6,CLV_PCH_PRE,AT,2002-01-01,0.4
P6,CLV_PCH_PRE,AT,2003-01-01,-5.2
P6,CLV_PCH_PRE,AT,2004-01-01,-2.5
P6,CLV_PCH_PRE,AT,2005-01-01,-1.1
P6,CLV_PCH_PRE,AT,2006-01-01,-2.0
P6,CLV_PCH_PRE,AT,2007-01-01,-0.3
P6,CLV_PCH_PRE,AT,2008-01-01,-0.8
P6,CLV_PCH_PRE,AT,2009-01-01,-4.4
P6,CLV_PCH_PRE,AT,2010-01-01,0.4
P6,CLV_PCH_PRE,AT,2011-01-01,-1.2 
P6,CLV_PCH_PRE,AT,2012-01-01,-1.7 
P6,CLV_PCH_PRE,AT,2013-01-01,-3.2 
P6,CLV_PCH_PRE,AT,2014-01-01,-0.8 
P6,CLV_PCH_PRE,AT,2015-01-01,0.6 
P6,CLV_PCH_PRE,AT,2016-01-01,0.5 
P6,CLV_PCH_PRE,AT,2017-01-01,-0.6 
P6,CLV_PCH_PRE,BE,1995-01-01,: 
P6,CLV_PCH_PRE,BE,1996-01-01,-1.2 
P6,CLV_PCH_PRE,BE,1997-01-01,-0.8 
P6,CLV_PCH_PRE,BE,1998-01-01,0.0 
P6,CLV_PCH_PRE,BE,1999-01-01,0.4 
P6,CLV_PCH_PRE,BE,2000-01-01,0.2 
P6,CLV_PCH_PRE,BE,2001-01-01,-0.2
P6,CLV_PCH_PRE,BE,2002-01-01,-0.2
P6,CLV_PCH_PRE,BE,2003-01-01,-4.1
P6,CLV_PCH_PRE,BE,2004-01-01,-5.0
P6,CLV_PCH_PRE,BE,2005-01-01,-2.8
P6,CLV_PCH_PRE,BE,2006-01-01,-4.3
P6,CLV_PCH_PRE,BE,2007-01-01,-2.2
P6,CLV_PCH_PRE,BE,2008-01-01,-1.3
P6,CLV_PCH_PRE,BE,2009-01-01,0.6
P6,CLV_PCH_PRE,BE,2010-01-01,-2.4
P6,CLV_PCH_PRE,BE,2011-01-01,-0.4 
P6,CLV_PCH_PRE,BE,2012-01-01,-2.8 
P6,CLV_PCH_PRE,BE,2013-01-01,-2.9 
P6,CLV_PCH_PRE,BE,2014-01-01,1.5 
P6,CLV_PCH_PRE,BE,2015-01-01,0.6 
P6,CLV_PCH_PRE,BE,2016-01-01,5.4 
P6,CLV_PCH_PRE,BE,2017-01-01,-0.3 
P6,CLV_PCH_PRE,BG,1995-01-01,: 
P6,CLV_PCH_PRE,BG,1996-01-01,23.8 
P6,CLV_PCH_PRE,BG,1997-01-01,-3.1 
P6,CLV_PCH_PRE,BG,1998-01-01,-21.7 
P6,CLV_PCH_PRE,BG,1999-01-01,-22.3 
P6,CLV_PCH_PRE,BG,2000-01-01,-29.4 
P6,CLV_PCH_PRE,BG,2001-01-01,0.7
P6,CLV_PCH_PRE,BG,2002-01-01,5.0
P6,CLV_PCH_PRE,BG,2003-01-01,0.8
P6,CLV_PCH_PRE,BG,2004-01-01,13.3
P6,CLV_PCH_PRE,BG,2005-01-01,1.3
P6,CLV_PCH_PRE,BG,2006-01-01,-1.9
P6,CLV_PCH_PRE,BG,2007-01-01,11.7
P6,CLV_PCH_PRE,BG,2008-01-01,-0.5
P6,CLV_PCH_PRE,BG,2009-01-01,-1.7
P6,CLV_PCH_PRE,BG,2010-01-01,-1.7
P6,CLV_PCH_PRE,BG,2011-01-01,5.5 
P6,CLV_PCH_PRE,BG,2012-01-01,-1.1 
P6,CLV_PCH_PRE,BG,2013-01-01,5.8 
P6,CLV_PCH_PRE,BG,2014-01-01,-0.6 
P6,CLV_PCH_PRE,BG,2015-01-01,2.8 
P6,CLV_PCH_PRE,BG,2016-01-01,5.9 
P6,CLV_PCH_PRE,BG,2017-01-01,0.5 
P6,CLV_PCH_PRE,CY,1995-01-01,: 
P6,CLV_PCH_PRE,CY,1996-01-01,0.2 
P6,CLV_PCH_PRE,CY,1997-01-01,-10.2 
P6,CLV_PCH_PRE,CY,1998-01-01,1.5 
P6,CLV_PCH_PRE,CY,1999-01-01,-2.2 
P6,CLV_PCH_PRE,CY,2000-01-01,-3.4 
P6,CLV_PCH_PRE,CY,2001-01-01,1.3
P6,CLV_PCH_PRE,CY,2002-01-01,-7.4
P6,CLV_PCH_PRE,CY,2003-01-01,-8.6
P6,CLV_PCH_PRE,CY,2004-01-01,-8.0
P6,CLV_PCH_PRE,CY,2005-01-01,-4.7
P6,CLV_PCH_PRE,CY,2006-01-01,-7.3
P6,CLV_PCH_PRE,CY,2007-01-01,-2.5
P6,CLV_PCH_PRE,CY,2008-01-01,-3.6
P6,CLV_PCH_PRE,CY,2009-01-01,5.3
P6,CLV_PCH_PRE,CY,2010-01-01,-8.2
P6,CLV_PCH_PRE,CY,2011-01-01,-1.4 
P6,CLV_PCH_PRE,CY,2012-01-01,-5.8 
P6,CLV_PCH_PRE,CY,2013-01-01,-1.7 
P6,CLV_PCH_PRE,CY,2014-01-01,0.6 
P6,CLV_PCH_PRE,CY,2015-01-01,2.3 
P6,CLV_PCH_PRE,CY,2016-01-01,2.4 p
P6,CLV_PCH_PRE,CY,2017-01-01,0.7 p
P6,CLV_PCH_PRE,CZ,1995-01-01,: 
P6,CLV_PCH_PRE,CZ,1996-01-01,-3.7 
P6,CLV_PCH_PRE,CZ,1997-01-01,-2.6 
P6,CLV_PCH_PRE,CZ,1998-01-01,5.4 
P6,CLV_PCH_PRE,CZ,1999-01-01,0.6 
P6,CLV_PCH_PRE,CZ,2000-01-01,2.6 
P6,CLV_PCH_PRE,CZ,2001-01-01,8.9
P6,CLV_PCH_PRE,CZ,2002-01-01,-3.0
P6,CLV_PCH_PRE,CZ,2003-01-01,3.1
P6,CLV_PCH_PRE,CZ,2004-01-01,18.5
P6,CLV_PCH_PRE,CZ,2005-01-01,10.4
P6,CLV_PCH_PRE,CZ,2006-01-01,4.7
P6,CLV_PCH_PRE,CZ,2007-01-01,3.1
P6,CLV_PCH_PRE,CZ,2008-01-01,1.2
P6,CLV_PCH_PRE,CZ,2009-01-01,0.2
P6,CLV_PCH_PRE,CZ,2010-01-01,2.0
P6,CLV_PCH_PRE,CZ,2011-01-01,2.1 
P6,CLV_PCH_PRE,CZ,2012-01-01,1.2 
P6,CLV_PCH_PRE,CZ,2013-01-01,-3.6 
P6,CLV_PCH_PRE,CZ,2014-01-01,5.0 
P6,CLV_PCH_PRE,CZ,2015-01-01,3.1 
P6,CLV_PCH_PRE,CZ,2016-01-01,2.1 
P6,CLV_PCH_PRE,CZ,2017-01-01,1.4 
P6,CLV_PCH_PRE,DE,1995-01-01,-3.0 
P6,CLV_PCH_PRE,DE,1996-01-01,-0.3 
P6,CLV_PCH_PRE,DE,1997-01-01,2.1 
P6,CLV_PCH_PRE,DE,1998-01-01,3.4 
P6,CLV_PCH_PRE,DE,1999-01-01,0.7 
P6,CLV_PCH_PRE,DE,2000-01-01,1.6 
P6,CLV_PCH_PRE,DE,2001-01-01,5.2
P6,CLV_PCH_PRE,DE,2002-01-01,0.4
P6,CLV_PCH_PRE,DE,2003-01-01,-3.8
P6,CLV_PCH_PRE,DE,2004-01-01,0.2
P6,CLV_PCH_PRE,DE,2005-01-01,-1.1
P6,CLV_PCH_PRE,DE,2006-01-01,2.7
P6,CLV_PCH_PRE,DE,2007-01-01,1.4
P6,CLV_PCH_PRE,DE,2008-01-01,-1.1
P6,CLV_PCH_PRE,DE,2009-01-01,-4.3
P6,CLV_PCH_PRE,DE,2010-01-01,1.8
P6,CLV_PCH_PRE,DE,2011-01-01,1.2 
P6,CLV_PCH_PRE,DE,2012-01-01,-0.3 
P6,CLV_PCH_PRE,DE,2013-01-01,-2.1 
P6,CLV_PCH_PRE,DE,2014-01-01,1.0 
P6,CLV_PCH_PRE,DE,2015-01-01,2.4 
P6,CLV_PCH_PRE,DE,2016-01-01,0.1 
P6,CLV_PCH_PRE,DE,2017-01-01,-0.7 
P6,CLV_PCH_PRE,DK,1995-01-01,-6.9 
P6,CLV_PCH_PRE,DK,1996-01-01,-1.5 
P6,CLV_PCH_PRE,DK,1997-01-01,-5.7 
P6,CLV_PCH_PRE,DK,1998-01-01,-0.2 
P6,CLV_PCH_PRE,DK,1999-01-01,6.7 
P6,CLV_PCH_PRE,DK,2000-01-01,0.4 
P6,CLV_PCH_PRE,DK,2001-01-01,2.9
P6,CLV_PCH_PRE,DK,2002-01-01,0.5
P6,CLV_PCH_PRE,DK,2003-01-01,-6.9
P6,CLV_PCH_PRE,DK,2004-01-01,-8.2
P6,CLV_PCH_PRE,DK,2005-01-01,0.0
P6,CLV_PCH_PRE,DK,2006-01-01,0.7
P6,CLV_PCH_PRE,DK,2007-01-01,-4.2
