unit,bop_item,stk_flow,partner,geotime,date,value
PC_WRL,G,CRE,WRL_REST,AT,1995-01-01,1.06
PC_WRL,G,CRE,WRL_REST,AT,1996-01-01,1.03
PC_WRL,G,CRE,WRL_REST,AT,1997-01-01,1.03
PC_WRL,G,CRE,WRL_REST,AT,1998-01-01,1.12
PC_WRL,G,CRE,WRL_REST,AT,1999-01-01,1.11
PC_WRL,G,CRE,WRL_REST,AT,2000-01-01,0.98
PC_WRL,G,CRE,WRL_REST,AT,2001-01-01,1.06
PC_WRL,G,CRE,WRL_REST,AT,2002-01-01,1.12
PC_WRL,G,CRE,WRL_REST,AT,2003-01-01,1.14
PC_WRL,G,CRE,WRL_REST,AT,2004-01-01,1.16
PC_WRL,G,CRE,WRL_REST,AT,2005-01-01,1.11
PC_WRL,G,CRE,WRL_REST,AT,2006-01-01,1.08
PC_WRL,G,CRE,WRL_REST,AT,2007-01-01,1.15
PC_WRL,G,CRE,WRL_REST,AT,2008-01-01,1.1
PC_WRL,G,CRE,WRL_REST,AT,2009-01-01,1.08
PC_WRL,G,CRE,WRL_REST,AT,2010-01-01,0.97
PC_WRL,G,CRE,WRL_REST,AT,2011-01-01,0.95
PC_WRL,G,CRE,WRL_REST,AT,2012-01-01,0.88
PC_WRL,G,CRE,WRL_REST,AT,2013-01-01,0.89
PC_WRL,G,CRE,WRL_REST,AT,2014-01-01,0.9
PC_WRL,G,CRE,WRL_REST,AT,2015-01-01,0.88
PC_WRL,G,CRE,WRL_REST,AT,2016-01-01,0.92
PC_WRL,G,CRE,WRL_REST,AT,2017-01-01,0.9
PC_WRL,G,CRE,WRL_REST,BE,1995-01-01,
PC_WRL,G,CRE,WRL_REST,BE,1996-01-01,
PC_WRL,G,CRE,WRL_REST,BE,1997-01-01,
PC_WRL,G,CRE,WRL_REST,BE,1998-01-01,
PC_WRL,G,CRE,WRL_REST,BE,1999-01-01,
PC_WRL,G,CRE,WRL_REST,BE,2000-01-01,2.34
PC_WRL,G,CRE,WRL_REST,BE,2001-01-01,2.38
PC_WRL,G,CRE,WRL_REST,BE,2002-01-01,2.24
PC_WRL,G,CRE,WRL_REST,BE,2003-01-01,2.32
PC_WRL,G,CRE,WRL_REST,BE,2004-01-01,2.3
PC_WRL,G,CRE,WRL_REST,BE,2005-01-01,2.21
PC_WRL,G,CRE,WRL_REST,BE,2006-01-01,2.06
PC_WRL,G,CRE,WRL_REST,BE,2007-01-01,2.11
PC_WRL,G,CRE,WRL_REST,BE,2008-01-01,2.01
PC_WRL,G,CRE,WRL_REST,BE,2009-01-01,1.97
PC_WRL,G,CRE,WRL_REST,BE,2010-01-01,1.82
PC_WRL,G,CRE,WRL_REST,BE,2011-01-01,1.81
PC_WRL,G,CRE,WRL_REST,BE,2012-01-01,1.66
PC_WRL,G,CRE,WRL_REST,BE,2013-01-01,1.69
PC_WRL,G,CRE,WRL_REST,BE,2014-01-01,1.67
PC_WRL,G,CRE,WRL_REST,BE,2015-01-01,1.57
PC_WRL,G,CRE,WRL_REST,BE,2016-01-01,1.75
PC_WRL,G,CRE,WRL_REST,BE,2017-01-01,1.75
PC_WRL,G,CRE,WRL_REST,BG,1995-01-01,
PC_WRL,G,CRE,WRL_REST,BG,1996-01-01,
PC_WRL,G,CRE,WRL_REST,BG,1997-01-01,
PC_WRL,G,CRE,WRL_REST,BG,1998-01-01,
PC_WRL,G,CRE,WRL_REST,BG,1999-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2000-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2001-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2002-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2003-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2004-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2005-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2006-01-01,
PC_WRL,G,CRE,WRL_REST,BG,2007-01-01,0.12
PC_WRL,G,CRE,WRL_REST,BG,2008-01-01,0.13
PC_WRL,G,CRE,WRL_REST,BG,2009-01-01,0.12
PC_WRL,G,CRE,WRL_REST,BG,2010-01-01,0.13
PC_WRL,G,CRE,WRL_REST,BG,2011-01-01,0.15
PC_WRL,G,CRE,WRL_REST,BG,2012-01-01,0.14
PC_WRL,G,CRE,WRL_REST,BG,2013-01-01,0.15
