na_item,co_nco,sector,finpos,unit,geotime,date,value
F,NCO,S12,LIAB,PC_GDP,AT,1995-01-01,271.3 
F,NCO,S12,LIAB,PC_GDP,AT,1996-01-01,282.8 
F,NCO,S12,LIAB,PC_GDP,AT,1997-01-01,291.7 
F,NCO,S12,LIAB,PC_GDP,AT,1998-01-01,309.5 
F,NCO,S12,LIAB,PC_GDP,AT,1999-01-01,337.8 
F,NCO,S12,LIAB,PC_GDP,AT,2000-01-01,354.6 
F,NCO,S12,LIAB,PC_GDP,AT,2001-01-01,360.0 
F,NCO,S12,LIAB,PC_GDP,AT,2002-01-01,352.1 
F,NCO,S12,LIAB,PC_GDP,AT,2003-01-01,370.0 
F,NCO,S12,LIAB,PC_GDP,AT,2004-01-01,393.2 
F,NCO,S12,LIAB,PC_GDP,AT,2005-01-01,459.5 
F,NCO,S12,LIAB,PC_GDP,AT,2006-01-01,478.1 
F,NCO,S12,LIAB,PC_GDP,AT,2007-01-01,500.3 
F,NCO,S12,LIAB,PC_GDP,AT,2008-01-01,536.4 
F,NCO,S12,LIAB,PC_GDP,AT,2009-01-01,536.0 
F,NCO,S12,LIAB,PC_GDP,AT,2010-01-01,511.9 
F,NCO,S12,LIAB,PC_GDP,AT,2011-01-01,495.6 
F,NCO,S12,LIAB,PC_GDP,AT,2012-01-01,484.3 
F,NCO,S12,LIAB,PC_GDP,AT,2013-01-01,461.1 
F,NCO,S12,LIAB,PC_GDP,AT,2014-01-01,444.7 
F,NCO,S12,LIAB,PC_GDP,AT,2015-01-01,429.8 
F,NCO,S12,LIAB,PC_GDP,AT,2016-01-01,404.3 
F,NCO,S12,LIAB,PC_GDP,AT,2017-01-01,396.5 
F,NCO,S12,LIAB,PC_GDP,BE,1995-01-01,363.2 
F,NCO,S12,LIAB,PC_GDP,BE,1996-01-01,390.1 
F,NCO,S12,LIAB,PC_GDP,BE,1997-01-01,404.6 
F,NCO,S12,LIAB,PC_GDP,BE,1998-01-01,451.0 
F,NCO,S12,LIAB,PC_GDP,BE,1999-01-01,466.3 
F,NCO,S12,LIAB,PC_GDP,BE,2000-01-01,451.4 
F,NCO,S12,LIAB,PC_GDP,BE,2001-01-01,471.2 
F,NCO,S12,LIAB,PC_GDP,BE,2002-01-01,448.6 
F,NCO,S12,LIAB,PC_GDP,BE,2003-01-01,484.9 
F,NCO,S12,LIAB,PC_GDP,BE,2004-01-01,519.6 
F,NCO,S12,LIAB,PC_GDP,BE,2005-01-01,579.5 
F,NCO,S12,LIAB,PC_GDP,BE,2006-01-01,614.9 
F,NCO,S12,LIAB,PC_GDP,BE,2007-01-01,666.9 
F,NCO,S12,LIAB,PC_GDP,BE,2008-01-01,620.7 
F,NCO,S12,LIAB,PC_GDP,BE,2009-01-01,632.1 
F,NCO,S12,LIAB,PC_GDP,BE,2010-01-01,593.9 
F,NCO,S12,LIAB,PC_GDP,BE,2011-01-01,602.9 
F,NCO,S12,LIAB,PC_GDP,BE,2012-01-01,559.8 
F,NCO,S12,LIAB,PC_GDP,BE,2013-01-01,557.8 
F,NCO,S12,LIAB,PC_GDP,BE,2014-01-01,565.0 
F,NCO,S12,LIAB,PC_GDP,BE,2015-01-01,565.8 
F,NCO,S12,LIAB,PC_GDP,BE,2016-01-01,562.3 
F,NCO,S12,LIAB,PC_GDP,BE,2017-01-01,547.2 
F,NCO,S12,LIAB,PC_GDP,BG,1995-01-01,131.1 
F,NCO,S12,LIAB,PC_GDP,BG,1996-01-01,218.2 
F,NCO,S12,LIAB,PC_GDP,BG,1997-01-01,81.2 
F,NCO,S12,LIAB,PC_GDP,BG,1998-01-01,61.7 
F,NCO,S12,LIAB,PC_GDP,BG,1999-01-01,77.2 
F,NCO,S12,LIAB,PC_GDP,BG,2000-01-01,88.3 
F,NCO,S12,LIAB,PC_GDP,BG,2001-01-01,85.4 
F,NCO,S12,LIAB,PC_GDP,BG,2002-01-01,83.9 
F,NCO,S12,LIAB,PC_GDP,BG,2003-01-01,95.2 
F,NCO,S12,LIAB,PC_GDP,BG,2004-01-01,115.6 
F,NCO,S12,LIAB,PC_GDP,BG,2005-01-01,136.0 
F,NCO,S12,LIAB,PC_GDP,BG,2006-01-01,181.2 
F,NCO,S12,LIAB,PC_GDP,BG,2007-01-01,196.5 
F,NCO,S12,LIAB,PC_GDP,BG,2008-01-01,170.0 
F,NCO,S12,LIAB,PC_GDP,BG,2009-01-01,171.6 
F,NCO,S12,LIAB,PC_GDP,BG,2010-01-01,158.4 
F,NCO,S12,LIAB,PC_GDP,BG,2011-01-01,154.7 
F,NCO,S12,LIAB,PC_GDP,BG,2012-01-01,167.8 
