na_item,co_nco,sector,finpos,unit,geotime,date,value
F,NCO,S12,LIAB,MIO_NAC,AT,1995-01-01,479107
F,NCO,S12,LIAB,MIO_NAC,AT,1996-01-01,516240
F,NCO,S12,LIAB,MIO_NAC,AT,1997-01-01,550546
F,NCO,S12,LIAB,MIO_NAC,AT,1998-01-01,607681
F,NCO,S12,LIAB,MIO_NAC,AT,1999-01-01,688613
F,NCO,S12,LIAB,MIO_NAC,AT,2000-01-01,757465
F,NCO,S12,LIAB,MIO_NAC,AT,2001-01-01,793898
F,NCO,S12,LIAB,MIO_NAC,AT,2002-01-01,798297
F,NCO,S12,LIAB,MIO_NAC,AT,2003-01-01,857899
F,NCO,S12,LIAB,MIO_NAC,AT,2004-01-01,952876
F,NCO,S12,LIAB,MIO_NAC,AT,2005-01-01,1167563
F,NCO,S12,LIAB,MIO_NAC,AT,2006-01-01,1280383
F,NCO,S12,LIAB,MIO_NAC,AT,2007-01-01,1420781
F,NCO,S12,LIAB,MIO_NAC,AT,2008-01-01,1575738
F,NCO,S12,LIAB,MIO_NAC,AT,2009-01-01,1543904
F,NCO,S12,LIAB,MIO_NAC,AT,2010-01-01,1514665
F,NCO,S12,LIAB,MIO_NAC,AT,2011-01-01,1537010
F,NCO,S12,LIAB,MIO_NAC,AT,2012-01-01,1543115
F,NCO,S12,LIAB,MIO_NAC,AT,2013-01-01,1493546
F,NCO,S12,LIAB,MIO_NAC,AT,2014-01-01,1481380
F,NCO,S12,LIAB,MIO_NAC,AT,2015-01-01,1479500
F,NCO,S12,LIAB,MIO_NAC,AT,2016-01-01,1440426
F,NCO,S12,LIAB,MIO_NAC,AT,2017-01-01,1466702
F,NCO,S12,LIAB,MIO_NAC,BE,1995-01-01,768618
F,NCO,S12,LIAB,MIO_NAC,BE,1996-01-01,842465
F,NCO,S12,LIAB,MIO_NAC,BE,1997-01-01,914168
F,NCO,S12,LIAB,MIO_NAC,BE,1998-01-01,1057538
F,NCO,S12,LIAB,MIO_NAC,BE,1999-01-01,1138733
F,NCO,S12,LIAB,MIO_NAC,BE,2000-01-01,1165626
F,NCO,S12,LIAB,MIO_NAC,BE,2001-01-01,1252307
F,NCO,S12,LIAB,MIO_NAC,BE,2002-01-01,1233922
F,NCO,S12,LIAB,MIO_NAC,BE,2003-01-01,1370512
F,NCO,S12,LIAB,MIO_NAC,BE,2004-01-01,1552181
F,NCO,S12,LIAB,MIO_NAC,BE,2005-01-01,1805074
F,NCO,S12,LIAB,MIO_NAC,BE,2006-01-01,2008667
F,NCO,S12,LIAB,MIO_NAC,BE,2007-01-01,2298836
F,NCO,S12,LIAB,MIO_NAC,BE,2008-01-01,2197637
F,NCO,S12,LIAB,MIO_NAC,BE,2009-01-01,2204691
F,NCO,S12,LIAB,MIO_NAC,BE,2010-01-01,2168326
F,NCO,S12,LIAB,MIO_NAC,BE,2011-01-01,2285631
F,NCO,S12,LIAB,MIO_NAC,BE,2012-01-01,2169220
F,NCO,S12,LIAB,MIO_NAC,BE,2013-01-01,2188507
F,NCO,S12,LIAB,MIO_NAC,BE,2014-01-01,2260373
F,NCO,S12,LIAB,MIO_NAC,BE,2015-01-01,2321308
F,NCO,S12,LIAB,MIO_NAC,BE,2016-01-01,2376566
F,NCO,S12,LIAB,MIO_NAC,BE,2017-01-01,2392255
F,NCO,S12,LIAB,MIO_NAC,BG,1995-01-01,1662
F,NCO,S12,LIAB,MIO_NAC,BG,1996-01-01,4729
F,NCO,S12,LIAB,MIO_NAC,BG,1997-01-01,15321
F,NCO,S12,LIAB,MIO_NAC,BG,1998-01-01,16235
F,NCO,S12,LIAB,MIO_NAC,BG,1999-01-01,19195
F,NCO,S12,LIAB,MIO_NAC,BG,2000-01-01,24656
F,NCO,S12,LIAB,MIO_NAC,BG,2001-01-01,26274
F,NCO,S12,LIAB,MIO_NAC,BG,2002-01-01,28360
F,NCO,S12,LIAB,MIO_NAC,BG,2003-01-01,34617
F,NCO,S12,LIAB,MIO_NAC,BG,2004-01-01,47280
F,NCO,S12,LIAB,MIO_NAC,BG,2005-01-01,63463
F,NCO,S12,LIAB,MIO_NAC,BG,2006-01-01,96430
F,NCO,S12,LIAB,MIO_NAC,BG,2007-01-01,124696
F,NCO,S12,LIAB,MIO_NAC,BG,2008-01-01,123667
F,NCO,S12,LIAB,MIO_NAC,BG,2009-01-01,125274
F,NCO,S12,LIAB,MIO_NAC,BG,2010-01-01,118468
F,NCO,S12,LIAB,MIO_NAC,BG,2011-01-01,124924
F,NCO,S12,LIAB,MIO_NAC,BG,2012-01-01,137672
F,NCO,S12,LIAB,MIO_NAC,BG,2013-01-01,143539
F,NCO,S12,LIAB,MIO_NAC,BG,2014-01-01,151616
F,NCO,S12,LIAB,MIO_NAC,BG,2015-01-01,161054
F,NCO,S12,LIAB,MIO_NAC,BG,2016-01-01,179022
F,NCO,S12,LIAB,MIO_NAC,BG,2017-01-01,180951
F,NCO,S12,LIAB,MIO_NAC,CY,1995-01-01,20960
F,NCO,S12,LIAB,MIO_NAC,CY,1996-01-01,24542
F,NCO,S12,LIAB,MIO_NAC,CY,1997-01-01,26328
F,NCO,S12,LIAB,MIO_NAC,CY,1998-01-01,29894
F,NCO,S12,LIAB,MIO_NAC,CY,1999-01-01,45887
F,NCO,S12,LIAB,MIO_NAC,CY,2000-01-01,39915
